# OWD receiver: Rx3-OWD  port=5003
[1781005987.494157] seq=1 owd=40.346 ms
[1781005987.514098] seq=2 owd=40.155 ms
[1781005987.534187] seq=3 owd=40.196 ms
[1781005987.554108] seq=4 owd=40.145 ms
[1781005987.574131] seq=5 owd=40.152 ms
[1781005987.594146] seq=6 owd=40.235 ms
[1781005987.614133] seq=7 owd=40.198 ms
[1781005987.634039] seq=8 owd=40.103 ms
[1781005987.654085] seq=9 owd=40.122 ms
[1781005987.674006] seq=10 owd=40.075 ms
[1781005987.694021] seq=11 owd=40.096 ms
[1781005987.713986] seq=12 owd=40.151 ms
[1781005987.733933] seq=13 owd=40.086 ms
[1781005987.753905] seq=14 owd=40.066 ms
[1781005987.774026] seq=15 owd=40.187 ms
[1781005987.794005] seq=16 owd=40.170 ms
[1781005987.814160] seq=17 owd=40.127 ms
[1781005987.833906] seq=18 owd=40.064 ms
[1781005987.854108] seq=19 owd=40.178 ms
[1781005987.874049] seq=20 owd=40.212 ms
[1781005987.894116] seq=21 owd=40.169 ms
[1781005987.914031] seq=22 owd=40.192 ms
[1781005987.933973] seq=23 owd=40.145 ms
[1781005987.953999] seq=24 owd=40.166 ms
[1781005987.973985] seq=25 owd=40.155 ms
[1781005987.993981] seq=26 owd=40.151 ms
[1781005988.013998] seq=27 owd=40.174 ms
[1781005988.033956] seq=28 owd=40.134 ms
[1781005988.054018] seq=29 owd=40.199 ms
[1781005988.073989] seq=30 owd=40.170 ms
[1781005988.093950] seq=31 owd=40.114 ms
[1781005988.113974] seq=32 owd=40.155 ms
[1781005988.133979] seq=33 owd=40.159 ms
[1781005988.154037] seq=34 owd=40.218 ms
[1781005988.173948] seq=35 owd=40.128 ms
[1781005988.193977] seq=36 owd=40.157 ms
[1781005988.213999] seq=37 owd=40.179 ms
[1781005988.234009] seq=38 owd=40.188 ms
[1781005988.254001] seq=39 owd=40.179 ms
[1781005988.273999] seq=40 owd=40.178 ms
[1781005988.293871] seq=41 owd=40.051 ms
[1781005988.314007] seq=42 owd=40.188 ms
[1781005988.333971] seq=43 owd=40.143 ms
[1781005988.353985] seq=44 owd=40.164 ms
[1781005988.373987] seq=45 owd=40.167 ms
[1781005988.393954] seq=46 owd=40.133 ms
[1781005988.413980] seq=47 owd=40.160 ms
[1781005988.433864] seq=48 owd=40.043 ms
[1781005988.453983] seq=49 owd=40.164 ms
[1781005988.473981] seq=50 owd=40.161 ms
[1781005988.493980] seq=51 owd=40.159 ms
[1781005988.513848] seq=52 owd=40.026 ms
[1781005988.533987] seq=53 owd=40.167 ms
[1781005988.553955] seq=54 owd=40.135 ms
[1781005988.573978] seq=55 owd=40.158 ms
[1781005988.593980] seq=56 owd=40.158 ms
[1781005988.613978] seq=57 owd=40.159 ms
[1781005988.633969] seq=58 owd=40.148 ms
[1781005988.653947] seq=59 owd=40.127 ms
[1781005988.673946] seq=60 owd=40.126 ms
[1781005988.694000] seq=61 owd=40.180 ms
[1781005988.713974] seq=62 owd=40.155 ms
[1781005988.733980] seq=63 owd=40.160 ms
[1781005988.753868] seq=64 owd=40.046 ms
[1781005988.773871] seq=65 owd=40.050 ms
[1781005988.793980] seq=66 owd=40.159 ms
[1781005988.813986] seq=67 owd=40.157 ms
[1781005988.853957] seq=69 owd=40.139 ms
[1781005988.894120] seq=71 owd=40.123 ms
[1781005989.053998] seq=79 owd=40.179 ms
[1781005989.113949] seq=82 owd=40.133 ms
[1781005989.153948] seq=84 owd=40.131 ms
[1781005989.193992] seq=86 owd=40.174 ms
[1781005989.213946] seq=87 owd=40.130 ms
[1781005989.233956] seq=88 owd=40.138 ms
[1781005989.253869] seq=89 owd=40.049 ms
[1781005989.273864] seq=90 owd=40.046 ms
[1781005989.313946] seq=92 owd=40.129 ms
[1781005989.353946] seq=94 owd=40.128 ms
[1781005989.473876] seq=100 owd=40.059 ms
[1781005989.493975] seq=101 owd=40.156 ms
[1781005989.513976] seq=102 owd=40.157 ms
[1781005989.533989] seq=103 owd=40.172 ms
[1781005989.573990] seq=105 owd=40.086 ms
[1781005989.613878] seq=107 owd=40.051 ms
[1781005989.633869] seq=108 owd=40.045 ms
[1781005989.653980] seq=109 owd=40.105 ms
[1781005989.674084] seq=110 owd=40.118 ms
[1781005989.713919] seq=112 owd=40.079 ms
