# OWD receiver: Rx2-OWD  port=5002
[1781006063.313835] seq=1 owd=10.289 ms
[1781006063.333805] seq=2 owd=10.234 ms
[1781006063.354037] seq=3 owd=10.325 ms
[1781006063.373732] seq=4 owd=10.162 ms
[1781006063.393757] seq=5 owd=10.180 ms
[1781006063.413766] seq=6 owd=10.190 ms
[1781006063.433748] seq=7 owd=10.174 ms
[1781006063.453661] seq=8 owd=10.093 ms
[1781006063.473616] seq=9 owd=10.053 ms
[1781006063.493692] seq=10 owd=10.112 ms
[1781006063.513866] seq=11 owd=10.196 ms
[1781006063.533765] seq=12 owd=10.187 ms
[1781006063.553869] seq=13 owd=10.140 ms
[1781006063.573870] seq=14 owd=10.118 ms
[1781006063.593683] seq=15 owd=10.104 ms
[1781006063.613665] seq=16 owd=10.087 ms
[1781006063.633653] seq=17 owd=10.084 ms
[1781006063.653679] seq=18 owd=10.100 ms
[1781006063.673685] seq=19 owd=10.109 ms
[1781006063.693758] seq=20 owd=10.183 ms
[1781006063.713649] seq=21 owd=10.073 ms
[1781006063.733652] seq=22 owd=10.076 ms
[1781006063.753772] seq=23 owd=10.195 ms
[1781006063.773750] seq=24 owd=10.171 ms
[1781006063.793626] seq=25 owd=10.060 ms
[1781006063.813724] seq=26 owd=10.161 ms
[1781006063.833687] seq=27 owd=10.140 ms
[1781006063.853713] seq=28 owd=10.138 ms
[1781006063.873704] seq=29 owd=10.133 ms
[1781006063.893710] seq=30 owd=10.141 ms
[1781006063.913754] seq=31 owd=10.131 ms
[1781006063.933676] seq=32 owd=10.119 ms
[1781006063.953715] seq=33 owd=10.149 ms
[1781006063.973671] seq=34 owd=10.112 ms
[1781006063.993669] seq=35 owd=10.114 ms
[1781006064.013672] seq=36 owd=10.116 ms
[1781006064.033663] seq=37 owd=10.109 ms
[1781006064.053668] seq=38 owd=10.111 ms
[1781006064.073660] seq=39 owd=10.106 ms
[1781006064.093694] seq=40 owd=10.126 ms
[1781006064.113698] seq=41 owd=10.129 ms
[1781006064.133621] seq=42 owd=10.055 ms
[1781006064.153627] seq=43 owd=10.057 ms
[1781006064.173704] seq=44 owd=10.130 ms
[1781006064.193730] seq=45 owd=10.154 ms
[1781006064.213797] seq=46 owd=10.133 ms
