# OWD receiver: Rx1-OWD  port=5001
[1780464183.901189] seq=1 owd=0.226 ms
[1780464183.921278] seq=2 owd=0.227 ms
[1780464183.941288] seq=3 owd=0.216 ms
[1780464183.961187] seq=4 owd=0.189 ms
[1780464183.981147] seq=5 owd=0.134 ms
[1780464184.001327] seq=6 owd=0.191 ms
[1780464184.021296] seq=7 owd=0.196 ms
[1780464184.041284] seq=8 owd=0.193 ms
[1780464184.061340] seq=9 owd=0.208 ms
[1780464184.081086] seq=10 owd=0.074 ms
[1780464184.101186] seq=11 owd=0.197 ms
[1780464184.121185] seq=12 owd=0.185 ms
[1780464184.141295] seq=13 owd=0.240 ms
[1780464184.161197] seq=14 owd=0.201 ms
[1780464184.181109] seq=15 owd=0.124 ms
[1780464184.201122] seq=16 owd=0.140 ms
[1780464184.221066] seq=17 owd=0.072 ms
[1780464184.241076] seq=18 owd=0.090 ms
[1780464184.261118] seq=19 owd=0.082 ms
[1780464184.281098] seq=20 owd=0.112 ms
[1780464184.301076] seq=21 owd=0.089 ms
[1780464184.341053] seq=23 owd=0.069 ms
[1780464184.361068] seq=24 owd=0.083 ms
[1780464184.381050] seq=25 owd=0.063 ms
[1780464184.401051] seq=26 owd=0.066 ms
[1780464184.421110] seq=27 owd=0.129 ms
[1780464184.441123] seq=28 owd=0.130 ms
[1780464184.461091] seq=29 owd=0.100 ms
[1780464184.481174] seq=30 owd=0.172 ms
[1780464184.501080] seq=31 owd=0.075 ms
[1780464184.521081] seq=32 owd=0.082 ms
[1780464184.541057] seq=33 owd=0.056 ms
[1780464184.561041] seq=34 owd=0.050 ms
[1780464184.583428] seq=35 owd=2.438 ms
[1780464184.602692] seq=36 owd=1.706 ms
[1780464184.621080] seq=37 owd=0.098 ms
[1780464184.641032] seq=38 owd=0.049 ms
[1780464184.661029] seq=39 owd=0.047 ms
[1780464184.681028] seq=40 owd=0.049 ms
[1780464184.701049] seq=41 owd=0.064 ms
[1780464184.721036] seq=42 owd=0.053 ms
[1780464184.741039] seq=43 owd=0.056 ms
[1780464184.761030] seq=44 owd=0.048 ms
[1780464184.781039] seq=45 owd=0.055 ms
[1780464184.801028] seq=46 owd=0.045 ms
[1780464184.821032] seq=47 owd=0.048 ms
[1780464184.841023] seq=48 owd=0.041 ms
[1780464184.861044] seq=49 owd=0.054 ms
[1780464184.881028] seq=50 owd=0.048 ms
[1780464184.921064] seq=52 owd=0.081 ms
[1780464184.941079] seq=53 owd=0.076 ms
[1780464184.961040] seq=54 owd=0.049 ms
[1780464184.981037] seq=55 owd=0.053 ms
[1780464185.001072] seq=56 owd=0.083 ms
[1780464185.021052] seq=57 owd=0.054 ms
[1780464185.041067] seq=58 owd=0.063 ms
[1780464185.061074] seq=59 owd=0.087 ms
[1780464185.081373] seq=60 owd=0.371 ms
[1780464185.105047] seq=61 owd=4.059 ms
[1780464185.125929] seq=62 owd=4.940 ms
[1780464185.145770] seq=63 owd=4.779 ms
[1780464185.166009] seq=64 owd=5.019 ms
[1780464185.185668] seq=65 owd=4.676 ms
[1780464185.205865] seq=66 owd=4.878 ms
[1780464185.224746] seq=67 owd=3.759 ms
[1780464185.245603] seq=68 owd=4.610 ms
[1780464185.267072] seq=69 owd=6.087 ms
[1780464185.325761] seq=72 owd=4.776 ms
[1780464185.347042] seq=73 owd=6.055 ms
[1780464185.365681] seq=74 owd=4.691 ms
[1780464185.405369] seq=76 owd=4.384 ms
[1780464185.445648] seq=78 owd=4.661 ms
[1780464185.485767] seq=80 owd=4.778 ms
[1780464185.547118] seq=83 owd=6.131 ms
[1780464185.565544] seq=84 owd=4.555 ms
[1780464185.586588] seq=85 owd=5.603 ms
[1780464185.605623] seq=86 owd=4.641 ms
[1780464185.626897] seq=87 owd=5.912 ms
[1780464185.645726] seq=88 owd=4.742 ms
[1780464185.685827] seq=90 owd=4.843 ms
[1780464185.706280] seq=91 owd=5.293 ms
[1780464185.746522] seq=93 owd=5.534 ms
[1780464185.786648] seq=95 owd=5.656 ms
[1780464185.807113] seq=96 owd=6.129 ms
[1780464185.826767] seq=97 owd=5.776 ms
[1780464185.866434] seq=99 owd=5.448 ms
[1780464185.887095] seq=100 owd=6.104 ms
[1780464185.926792] seq=102 owd=5.804 ms
[1780464185.946634] seq=103 owd=5.649 ms
[1780464185.966879] seq=104 owd=5.895 ms
[1780464185.986511] seq=105 owd=5.529 ms
[1780464186.046869] seq=108 owd=5.881 ms
[1780464186.065694] seq=109 owd=4.711 ms
[1780464186.145530] seq=113 owd=4.540 ms
[1780464186.166532] seq=114 owd=5.549 ms
[1780464186.185773] seq=115 owd=4.791 ms
[1780464186.206135] seq=116 owd=5.150 ms
[1780464186.226256] seq=117 owd=5.271 ms
[1780464186.246114] seq=118 owd=5.127 ms
[1780464186.265340] seq=119 owd=4.355 ms
[1780464186.285792] seq=120 owd=4.806 ms
[1780464186.305838] seq=121 owd=4.855 ms
[1780464186.345733] seq=123 owd=4.751 ms
[1780464186.406684] seq=126 owd=5.700 ms
[1780464186.446823] seq=128 owd=5.835 ms
[1780464186.466417] seq=129 owd=5.431 ms
[1780464186.486475] seq=130 owd=5.491 ms
[1780464186.526561] seq=132 owd=5.577 ms
[1780464186.566443] seq=134 owd=5.457 ms
[1780464186.586699] seq=135 owd=5.714 ms
[1780464186.606536] seq=136 owd=5.550 ms
[1780464186.646225] seq=138 owd=5.238 ms
[1780464186.666074] seq=139 owd=5.088 ms
[1780464186.726213] seq=142 owd=5.230 ms
[1780464186.746260] seq=143 owd=5.276 ms
[1780464186.786309] seq=145 owd=5.328 ms
[1780464186.806389] seq=146 owd=5.404 ms
[1780464186.825995] seq=147 owd=5.011 ms
[1780464186.846251] seq=148 owd=5.267 ms
[1780464186.926455] seq=152 owd=5.472 ms
[1780464186.946298] seq=153 owd=5.315 ms
[1780464186.966143] seq=154 owd=5.158 ms
[1780464186.986400] seq=155 owd=5.418 ms
[1780464187.026285] seq=157 owd=5.303 ms
[1780464187.046740] seq=158 owd=5.757 ms
[1780464187.066383] seq=159 owd=5.399 ms
[1780464187.106287] seq=161 owd=5.281 ms
[1780464187.126325] seq=162 owd=5.310 ms
[1780464187.166621] seq=164 owd=5.629 ms
[1780464187.186266] seq=165 owd=5.281 ms
[1780464187.225782] seq=167 owd=4.794 ms
[1780464187.266245] seq=169 owd=5.259 ms
[1780464187.286446] seq=170 owd=5.456 ms
[1780464187.306130] seq=171 owd=5.148 ms
[1780464187.366603] seq=174 owd=5.618 ms
[1780464187.425994] seq=177 owd=5.007 ms
[1780464187.446849] seq=178 owd=5.864 ms
[1780464187.466294] seq=179 owd=5.306 ms
[1780464187.506182] seq=181 owd=5.199 ms
[1780464187.526842] seq=182 owd=5.857 ms
[1780464187.546682] seq=183 owd=5.696 ms
[1780464187.586361] seq=185 owd=5.369 ms
[1780464187.606814] seq=186 owd=5.830 ms
[1780464187.626859] seq=187 owd=5.873 ms
[1780464187.646941] seq=188 owd=5.955 ms
[1780464187.666558] seq=189 owd=5.569 ms
[1780464187.726287] seq=192 owd=5.304 ms
[1780464187.745946] seq=193 owd=4.961 ms
[1780464187.806268] seq=196 owd=5.286 ms
[1780464187.906084] seq=201 owd=5.098 ms
[1780464187.925934] seq=202 owd=4.952 ms
[1780464187.946381] seq=203 owd=5.398 ms
[1780464187.966248] seq=204 owd=5.265 ms
[1780464187.986485] seq=205 owd=5.502 ms
[1780464188.026374] seq=207 owd=5.387 ms
[1780464188.046217] seq=208 owd=5.233 ms
[1780464188.066061] seq=209 owd=5.075 ms
[1780464188.105955] seq=211 owd=4.972 ms
[1780464188.166903] seq=214 owd=5.918 ms
[1780464188.206797] seq=216 owd=5.816 ms
[1780464188.226241] seq=217 owd=5.259 ms
[1780464188.246892] seq=218 owd=5.906 ms
[1780464188.266132] seq=219 owd=5.148 ms
[1780464188.286586] seq=220 owd=5.599 ms
[1780464188.306789] seq=221 owd=5.804 ms
[1780464188.327036] seq=222 owd=6.053 ms
[1780464188.407046] seq=226 owd=6.060 ms
[1780464188.426489] seq=227 owd=5.504 ms
[1780464188.466382] seq=229 owd=5.395 ms
[1780464188.486855] seq=230 owd=5.873 ms
[1780464188.506874] seq=231 owd=5.886 ms
[1780464188.526747] seq=232 owd=5.762 ms
[1780464188.546389] seq=233 owd=5.404 ms
[1780464188.566426] seq=234 owd=5.443 ms
[1780464188.586686] seq=235 owd=5.701 ms
[1780464188.686298] seq=240 owd=5.316 ms
[1780464188.706133] seq=241 owd=5.149 ms
[1780464188.726589] seq=242 owd=5.608 ms
[1780464188.766683] seq=244 owd=5.702 ms
[1780464188.806576] seq=246 owd=5.585 ms
[1780464188.826223] seq=247 owd=5.238 ms
[1780464188.846483] seq=248 owd=5.500 ms
[1780464188.866690] seq=249 owd=5.702 ms
[1780464188.926632] seq=252 owd=5.648 ms
[1780464188.946694] seq=253 owd=5.708 ms
[1780464188.986608] seq=255 owd=5.622 ms
[1780464189.026674] seq=257 owd=5.686 ms
[1780464189.046303] seq=258 owd=5.321 ms
[1780464189.065955] seq=259 owd=4.964 ms
[1780464189.086199] seq=260 owd=5.217 ms
[1780464189.106046] seq=261 owd=5.060 ms
[1780464189.206423] seq=266 owd=5.434 ms
[1780464189.225902] seq=267 owd=4.915 ms
[1780464189.245770] seq=268 owd=4.784 ms
[1780464189.286250] seq=270 owd=5.262 ms
[1780464189.305894] seq=271 owd=4.891 ms
[1780464189.326544] seq=272 owd=5.553 ms
[1780464189.386484] seq=275 owd=5.500 ms
[1780464189.466427] seq=279 owd=5.438 ms
[1780464189.486897] seq=280 owd=5.911 ms
[1780464189.505939] seq=281 owd=4.953 ms
[1780464189.546608] seq=283 owd=5.624 ms
[1780464189.566747] seq=284 owd=5.759 ms
[1780464189.606778] seq=286 owd=5.794 ms
[1780464189.625808] seq=287 owd=4.825 ms
[1780464189.646666] seq=288 owd=5.687 ms
[1780464189.666109] seq=289 owd=5.129 ms
[1780464189.705795] seq=291 owd=4.812 ms
[1780464189.726455] seq=292 owd=5.466 ms
[1780464189.746100] seq=293 owd=5.119 ms
[1780464189.806617] seq=296 owd=5.635 ms
[1780464189.827127] seq=297 owd=6.142 ms
[1780464189.886615] seq=300 owd=5.627 ms
[1780464189.906656] seq=301 owd=5.669 ms
[1780464189.926099] seq=302 owd=5.117 ms
[1780464189.945746] seq=303 owd=4.763 ms
[1780464189.985846] seq=305 owd=4.862 ms
[1780464190.006502] seq=306 owd=5.516 ms
[1780464190.026346] seq=307 owd=5.361 ms
[1780464190.086282] seq=310 owd=5.293 ms
[1780464190.126390] seq=312 owd=5.400 ms
[1780464190.146253] seq=313 owd=5.259 ms
[1780464190.166621] seq=314 owd=5.634 ms
[1780464190.225805] seq=317 owd=4.828 ms
[1780464190.246044] seq=318 owd=5.058 ms
[1780464190.266297] seq=319 owd=5.308 ms
[1780464190.306178] seq=321 owd=5.193 ms
[1780464190.326446] seq=322 owd=5.462 ms
[1780464190.346473] seq=323 owd=5.491 ms
[1780464190.366524] seq=324 owd=5.541 ms
[1780464190.406231] seq=326 owd=5.246 ms
[1780464190.426482] seq=327 owd=5.501 ms
[1780464190.446517] seq=328 owd=5.536 ms
[1780464190.466162] seq=329 owd=5.175 ms
[1780464190.486619] seq=330 owd=5.629 ms
[1780464190.506283] seq=331 owd=5.273 ms
[1780464190.546152] seq=333 owd=5.166 ms
[1780464190.606715] seq=336 owd=5.728 ms
[1780464190.686656] seq=340 owd=5.670 ms
[1780464190.706908] seq=341 owd=5.928 ms
[1780464190.726559] seq=342 owd=5.573 ms
[1780464190.766446] seq=344 owd=5.467 ms
[1780464190.786497] seq=345 owd=5.513 ms
[1780464190.806336] seq=346 owd=5.347 ms
[1780464190.826597] seq=347 owd=5.615 ms
[1780464190.846238] seq=348 owd=5.252 ms
[1780464190.866896] seq=349 owd=5.919 ms
[1780464190.885940] seq=350 owd=4.952 ms
[1780464190.906795] seq=351 owd=5.812 ms
[1780464190.946685] seq=353 owd=5.699 ms
[1780464191.026257] seq=357 owd=5.269 ms
[1780464191.046102] seq=358 owd=5.118 ms
[1780464191.085795] seq=360 owd=4.811 ms
[1780464191.126494] seq=362 owd=5.502 ms
[1780464191.146549] seq=363 owd=5.562 ms
[1780464191.166192] seq=364 owd=5.207 ms
[1780464191.186985] seq=365 owd=5.992 ms
[1780464191.206268] seq=366 owd=5.284 ms
[1780464191.226526] seq=367 owd=5.541 ms
[1780464191.245959] seq=368 owd=4.967 ms
[1780464191.286069] seq=370 owd=5.085 ms
[1780464191.306881] seq=371 owd=5.900 ms
[1780464191.366452] seq=374 owd=5.466 ms
[1780464191.386698] seq=375 owd=5.713 ms
[1780464191.406141] seq=376 owd=5.153 ms
[1780464191.446234] seq=378 owd=5.247 ms
[1780464191.466491] seq=379 owd=5.506 ms
[1780464191.485930] seq=380 owd=4.943 ms
[1780464191.546269] seq=383 owd=5.277 ms
[1780464191.566512] seq=384 owd=5.527 ms
[1780464191.586574] seq=385 owd=5.579 ms
[1780464191.606018] seq=386 owd=5.020 ms
[1780464191.626056] seq=387 owd=5.066 ms
[1780464191.666550] seq=389 owd=5.530 ms
[1780464191.686197] seq=390 owd=5.214 ms
[1780464191.705848] seq=391 owd=4.861 ms
[1780464191.726905] seq=392 owd=5.919 ms
[1780464191.766815] seq=394 owd=5.802 ms
[1780464191.826325] seq=397 owd=5.316 ms
[1780464191.887069] seq=400 owd=6.089 ms
[1780464191.905898] seq=401 owd=4.915 ms
[1780464191.966845] seq=404 owd=5.862 ms
[1780464191.985882] seq=405 owd=4.895 ms
[1780464192.006750] seq=406 owd=5.769 ms
[1780464192.046838] seq=408 owd=5.848 ms
[1780464192.065864] seq=409 owd=4.874 ms
[1780464192.105765] seq=411 owd=4.782 ms
[1780464192.127023] seq=412 owd=6.040 ms
[1780464192.146067] seq=413 owd=5.086 ms
[1780464192.186156] seq=415 owd=5.167 ms
[1780464192.206401] seq=416 owd=5.411 ms
[1780464192.226047] seq=417 owd=5.063 ms
[1780464192.246306] seq=418 owd=5.325 ms
[1780464192.266963] seq=419 owd=5.975 ms
[1780464192.286202] seq=420 owd=5.217 ms
[1780464192.306861] seq=421 owd=5.870 ms
[1780464192.365826] seq=424 owd=4.838 ms
[1780464192.426523] seq=427 owd=5.528 ms
[1780464192.466410] seq=429 owd=5.421 ms
[1780464192.507109] seq=431 owd=6.131 ms
[1780464192.525533] seq=432 owd=4.552 ms
[1780464192.566240] seq=434 owd=5.258 ms
[1780464192.586696] seq=435 owd=5.710 ms
[1780464192.626791] seq=437 owd=5.807 ms
[1780464192.646222] seq=438 owd=5.239 ms
[1780464192.666878] seq=439 owd=5.895 ms
[1780464192.686121] seq=440 owd=5.136 ms
[1780464192.747073] seq=443 owd=6.092 ms
[1780464192.766713] seq=444 owd=5.728 ms
[1780464192.846689] seq=448 owd=5.710 ms
[1780464192.866327] seq=449 owd=5.340 ms
[1780464192.906427] seq=451 owd=5.446 ms
[1780464192.946504] seq=453 owd=5.519 ms
[1780464192.986197] seq=455 owd=5.211 ms
[1780464193.026293] seq=457 owd=5.309 ms
[1780464193.046947] seq=458 owd=5.959 ms
[1780464193.065984] seq=459 owd=4.998 ms
[1780464193.087042] seq=460 owd=6.058 ms
[1780464193.106284] seq=461 owd=5.285 ms
[1780464193.186296] seq=465 owd=5.310 ms
[1780464193.206311] seq=466 owd=5.312 ms
[1780464193.266265] seq=469 owd=5.292 ms
[1780464193.286505] seq=470 owd=5.521 ms
[1780464193.305930] seq=471 owd=4.942 ms
[1780464193.326382] seq=472 owd=5.397 ms
[1780464193.346178] seq=473 owd=5.192 ms
[1780464193.386320] seq=475 owd=5.336 ms
[1780464193.466502] seq=479 owd=5.517 ms
[1780464193.526431] seq=482 owd=5.448 ms
[1780464193.546485] seq=483 owd=5.501 ms
[1780464193.626418] seq=487 owd=5.431 ms
[1780464193.666124] seq=489 owd=5.141 ms
[1780464193.686576] seq=490 owd=5.588 ms
[1780464193.706432] seq=491 owd=5.468 ms
[1780464193.726284] seq=492 owd=5.301 ms
[1780464193.806231] seq=496 owd=5.247 ms
[1780464193.866526] seq=499 owd=5.543 ms
[1780464193.885199] seq=500 owd=4.215 ms
[1780464193.906868] seq=501 owd=5.879 ms
