Connecting to host 10.20.1.1, port 1000
[  5] local 10.10.1.1 port 47253 connected to 10.20.1.1 port 1000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362256  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362256 (0%)  sender
[  5]   0.00-60.10  sec   513 MBytes  71.6 Mbits/sec  0.026 ms  4978014/5362256 (93%)  receiver

Server output:
Accepted connection from 10.10.1.1, port 60374
[  5] local 10.20.1.1 port 1000 connected to 10.10.1.1 port 47253
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  13.9 MBytes   117 Mbits/sec  0.020 ms  78676/89103 (88%)  
[  5]   1.00-2.00   sec  13.1 MBytes   110 Mbits/sec  0.018 ms  79501/89280 (89%)  
[  5]   2.00-3.00   sec  13.2 MBytes   111 Mbits/sec  0.019 ms  79351/89223 (89%)  
[  5]   3.00-4.00   sec  13.2 MBytes   111 Mbits/sec  0.014 ms  79386/89263 (89%)  
[  5]   4.00-5.00   sec  13.2 MBytes   110 Mbits/sec  0.022 ms  79424/89288 (89%)  
[  5]   5.00-6.00   sec  13.2 MBytes   111 Mbits/sec  0.022 ms  79479/89367 (89%)  
[  5]   6.00-7.00   sec  13.1 MBytes   110 Mbits/sec  0.018 ms  79451/89286 (89%)  
[  5]   7.00-8.00   sec  13.2 MBytes   110 Mbits/sec  0.015 ms  79358/89214 (89%)  
[  5]   8.00-9.00   sec  13.2 MBytes   111 Mbits/sec  0.032 ms  79400/89278 (89%)  
[  5]   9.00-10.00  sec  13.2 MBytes   111 Mbits/sec  0.015 ms  79450/89334 (89%)  
[  5]  10.00-11.00  sec  13.2 MBytes   111 Mbits/sec  0.017 ms  79364/89238 (89%)  
[  5]  11.00-12.00  sec  13.2 MBytes   111 Mbits/sec  0.014 ms  79407/89286 (89%)  
[  5]  12.00-13.00  sec  13.2 MBytes   111 Mbits/sec  0.078 ms  79468/89354 (89%)  
[  5]  13.00-14.00  sec  13.2 MBytes   111 Mbits/sec  0.010 ms  79410/89289 (89%)  
[  5]  14.00-15.00  sec  13.2 MBytes   111 Mbits/sec  0.012 ms  79343/89214 (89%)  
[  5]  15.00-16.00  sec  13.2 MBytes   111 Mbits/sec  0.037 ms  79395/89273 (89%)  
[  5]  16.00-17.00  sec  13.2 MBytes   111 Mbits/sec  0.026 ms  79460/89345 (89%)  
[  5]  17.00-18.00  sec  13.2 MBytes   111 Mbits/sec  0.011 ms  79364/89237 (89%)  
[  5]  18.00-19.00  sec  13.2 MBytes   111 Mbits/sec  0.020 ms  79457/89342 (89%)  
[  5]  19.00-20.00  sec  1.92 MBytes  16.1 Mbits/sec  0.039 ms  11546/12982 (89%)  
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec  0.039 ms  0/0 (0%)  
[  5]  40.00-41.00  sec  8.82 MBytes  74.0 Mbits/sec  0.022 ms  1944647/1951250 (1e+02%)  
[  5]  41.00-42.00  sec  13.2 MBytes   110 Mbits/sec  0.020 ms  79415/89280 (89%)  
[  5]  42.00-43.00  sec  13.2 MBytes   111 Mbits/sec  0.017 ms  79480/89368 (89%)  
[  5]  43.00-44.00  sec  13.0 MBytes   110 Mbits/sec  0.025 ms  79459/89233 (89%)  
[  5]  44.00-45.00  sec  13.2 MBytes   111 Mbits/sec  0.015 ms  79408/89287 (89%)  
[  5]  45.00-46.00  sec  13.2 MBytes   111 Mbits/sec  0.016 ms  79379/89254 (89%)  
[  5]  46.00-47.00  sec  13.2 MBytes   111 Mbits/sec  0.028 ms  79424/89297 (89%)  
[  5]  47.00-48.00  sec  13.2 MBytes   110 Mbits/sec  0.015 ms  79465/89331 (89%)  
[  5]  48.00-49.00  sec  13.2 MBytes   111 Mbits/sec  0.019 ms  79439/89322 (89%)  
[  5]  49.00-50.00  sec  13.2 MBytes   111 Mbits/sec  0.098 ms  79079/88938 (89%)  
[  5]  50.00-51.00  sec  13.2 MBytes   111 Mbits/sec  0.027 ms  79717/89603 (89%)  
[  5]  51.00-52.00  sec  13.2 MBytes   111 Mbits/sec  0.005 ms  79429/89311 (89%)  
[  5]  52.00-53.00  sec  13.2 MBytes   111 Mbits/sec  0.024 ms  79395/89272 (89%)  
[  5]  53.00-54.00  sec  13.2 MBytes   111 Mbits/sec  0.014 ms  79422/89303 (89%)  
[  5]  54.00-55.00  sec  13.2 MBytes   111 Mbits/sec  0.021 ms  79345/89216 (89%)  
[  5]  55.00-56.00  sec  13.2 MBytes   111 Mbits/sec  0.018 ms  79394/89271 (89%)  
[  5]  56.00-57.00  sec  13.2 MBytes   111 Mbits/sec  0.017 ms  79478/89366 (89%)  
[  5]  57.00-58.00  sec  13.2 MBytes   111 Mbits/sec  0.012 ms  79407/89286 (89%)  
[  5]  58.00-59.00  sec  13.2 MBytes   110 Mbits/sec  0.019 ms  79422/89287 (89%)  
[  5]  59.00-60.00  sec  13.2 MBytes   111 Mbits/sec  0.016 ms  79410/89289 (89%)  
[  5]  60.00-60.10  sec   801 KBytes  68.1 Mbits/sec  0.026 ms  4710/5296 (89%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[SUM]  0.0-60.1 sec  53 datagrams received out-of-order
[  5]   0.00-60.10  sec   513 MBytes  71.6 Mbits/sec  0.026 ms  4978014/5362256 (93%)  receiver


iperf Done.
