Connecting to host 10.20.2.1, port 2000
[  5] local 10.10.2.1 port 43027 connected to 10.20.2.1 port 2000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362250  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362250 (0%)  sender
[  5]   0.00-60.10  sec   256 MBytes  35.8 Mbits/sec  0.030 ms  5170381/5362240 (96%)  receiver

Server output:
Accepted connection from 10.10.2.1, port 58206
[  5] local 10.20.2.1 port 2000 connected to 10.10.2.1 port 43027
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  6.67 MBytes  55.9 Mbits/sec  0.047 ms  83213/88206 (94%)  
[  5]   1.00-2.00   sec  6.53 MBytes  54.8 Mbits/sec  0.024 ms  84389/89278 (95%)  
[  5]   2.00-3.00   sec  6.60 MBytes  55.3 Mbits/sec  0.025 ms  84362/89302 (94%)  
[  5]   3.00-4.00   sec  6.59 MBytes  55.3 Mbits/sec  0.023 ms  84350/89289 (94%)  
[  5]   4.00-5.00   sec  6.59 MBytes  55.3 Mbits/sec  0.027 ms  84272/89207 (94%)  
[  5]   5.00-6.00   sec  6.60 MBytes  55.3 Mbits/sec  0.035 ms  84411/89354 (94%)  
[  5]   6.00-7.00   sec  6.60 MBytes  55.3 Mbits/sec  0.034 ms  84358/89298 (94%)  
[  5]   7.00-8.00   sec  6.59 MBytes  55.3 Mbits/sec  0.028 ms  84328/89266 (94%)  
[  5]   8.00-9.00   sec  6.60 MBytes  55.3 Mbits/sec  0.030 ms  84351/89291 (94%)  
[  5]   9.00-10.00  sec  6.59 MBytes  55.3 Mbits/sec  0.025 ms  84261/89195 (94%)  
[  5]  10.00-11.00  sec  6.60 MBytes  55.3 Mbits/sec  0.034 ms  84426/89370 (94%)  
[  5]  11.00-12.00  sec  6.59 MBytes  55.3 Mbits/sec  0.022 ms  84349/89288 (94%)  
[  5]  12.00-13.00  sec  6.60 MBytes  55.3 Mbits/sec  0.052 ms  84362/89302 (94%)  
[  5]  13.00-14.00  sec  6.59 MBytes  55.3 Mbits/sec  0.023 ms  84339/89278 (94%)  
[  5]  14.00-15.00  sec  6.59 MBytes  55.3 Mbits/sec  0.017 ms  84340/89279 (94%)  
[  5]  15.00-16.00  sec  6.59 MBytes  55.3 Mbits/sec  0.100 ms  84339/89278 (94%)  
[  5]  16.00-17.00  sec  6.60 MBytes  55.3 Mbits/sec  0.025 ms  84361/89301 (94%)  
[  5]  17.00-18.00  sec  6.59 MBytes  55.3 Mbits/sec  0.043 ms  84261/89195 (94%)  
[  5]  18.00-19.00  sec  6.59 MBytes  55.3 Mbits/sec  0.039 ms  84343/89282 (94%)  
[  5]  19.00-20.00  sec   935 KBytes  7.65 Mbits/sec  0.024 ms  11696/12380 (94%)  
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec  0.024 ms  0/0 (0%)  
[  5]  40.00-41.00  sec  4.23 MBytes  35.4 Mbits/sec  0.027 ms  1948832/1951998 (1e+02%)  
[  5]  41.00-42.00  sec  6.59 MBytes  55.3 Mbits/sec  0.035 ms  84260/89194 (94%)  
[  5]  42.00-43.00  sec  6.60 MBytes  55.3 Mbits/sec  0.034 ms  84428/89372 (94%)  
[  5]  43.00-44.00  sec  6.53 MBytes  54.8 Mbits/sec  0.027 ms  84394/89283 (95%)  
[  5]  44.00-45.00  sec  6.59 MBytes  55.3 Mbits/sec  0.036 ms  84279/89214 (94%)  
[  5]  45.00-46.00  sec  6.60 MBytes  55.3 Mbits/sec  0.028 ms  84431/89375 (94%)  
[  5]  46.00-47.00  sec  6.61 MBytes  55.5 Mbits/sec  0.019 ms  84254/89203 (94%)  
[  5]  47.00-48.00  sec  6.59 MBytes  55.3 Mbits/sec  0.025 ms  84344/89283 (94%)  
[  5]  48.00-49.00  sec  6.61 MBytes  55.5 Mbits/sec  0.029 ms  84309/89262 (94%)  
[  5]  49.00-50.00  sec  6.60 MBytes  55.3 Mbits/sec  0.066 ms  84449/89394 (94%)  
[  5]  50.00-51.00  sec  6.59 MBytes  55.3 Mbits/sec  0.033 ms  84258/89192 (94%)  
[  5]  51.00-52.00  sec  6.59 MBytes  55.3 Mbits/sec  0.033 ms  84347/89286 (94%)  
[  5]  52.00-53.00  sec  6.60 MBytes  55.3 Mbits/sec  0.030 ms  84427/89371 (94%)  
[  5]  53.00-54.00  sec  6.59 MBytes  55.3 Mbits/sec  0.029 ms  84343/89282 (94%)  
[  5]  54.00-55.00  sec  6.59 MBytes  55.3 Mbits/sec  0.084 ms  84276/89211 (94%)  
[  5]  55.00-56.00  sec  6.59 MBytes  55.3 Mbits/sec  0.044 ms  84326/89264 (94%)  
[  5]  56.00-57.00  sec  6.60 MBytes  55.3 Mbits/sec  0.021 ms  84367/89307 (94%)  
[  5]  57.00-58.00  sec  6.60 MBytes  55.3 Mbits/sec  0.036 ms  84428/89372 (94%)  
[  5]  58.00-59.00  sec  6.59 MBytes  55.3 Mbits/sec  0.024 ms  84342/89281 (94%)  
[  5]  59.00-60.00  sec  6.59 MBytes  55.3 Mbits/sec  0.034 ms  84304/89241 (94%)  
[  5]  60.00-60.10  sec   470 KBytes  39.6 Mbits/sec  0.030 ms  5872/6216 (94%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[SUM]  0.0-60.1 sec  14 datagrams received out-of-order
[  5]   0.00-60.10  sec   256 MBytes  35.8 Mbits/sec  0.030 ms  5170381/5362240 (96%)  receiver


iperf Done.
