# OWD receiver: AF43  port=5003
[1752404830.400047] seq=1 owd=40.107 ms
[1752404830.420049] seq=2 owd=40.092 ms
[1752404830.439998] seq=3 owd=40.052 ms
[1752404830.460012] seq=4 owd=40.059 ms
[1752404830.480040] seq=5 owd=40.050 ms
[1752404830.500048] seq=6 owd=40.103 ms
[1752404830.520034] seq=7 owd=40.087 ms
[1752404830.540107] seq=8 owd=40.105 ms
[1752404830.560097] seq=9 owd=40.134 ms
[1752404830.580049] seq=10 owd=40.087 ms
[1752404830.600042] seq=11 owd=40.085 ms
[1752404830.637862] seq=12 owd=57.912 ms
[1752404830.647402] seq=13 owd=47.422 ms
[1752404830.659999] seq=14 owd=40.050 ms
[1752404830.709416] seq=16 owd=49.435 ms
[1752404830.771805] seq=19 owd=51.856 ms
[1752404830.811491] seq=21 owd=51.509 ms
[1752404830.871829] seq=24 owd=51.863 ms
[1752404830.971862] seq=29 owd=51.912 ms
[1752404831.071943] seq=34 owd=51.987 ms
[1752404831.271964] seq=44 owd=51.993 ms
[1752404831.331913] seq=47 owd=51.947 ms
[1752404831.472065] seq=54 owd=52.023 ms
[1752404831.532039] seq=57 owd=52.071 ms
[1752404831.651891] seq=63 owd=51.925 ms
[1752404831.792008] seq=70 owd=52.059 ms
[1752404831.952000] seq=78 owd=52.044 ms
[1752404831.991677] seq=80 owd=51.685 ms
[1752404832.052036] seq=83 owd=52.077 ms
[1752404832.111750] seq=86 owd=51.800 ms
[1752404832.211783] seq=91 owd=51.837 ms
[1752404832.271737] seq=94 owd=51.776 ms
[1752404832.311428] seq=96 owd=51.482 ms
[1752404832.511870] seq=106 owd=51.896 ms
[1752404832.571816] seq=109 owd=51.868 ms
[1752404832.611504] seq=111 owd=51.521 ms
[1752404832.671826] seq=114 owd=51.866 ms
[1752404832.731775] seq=117 owd=51.826 ms
[1752404832.891721] seq=125 owd=51.755 ms
[1752404833.031828] seq=132 owd=51.871 ms
[1752404833.131849] seq=137 owd=51.863 ms
[1752404833.291815] seq=145 owd=51.856 ms
[1752404833.391823] seq=150 owd=51.878 ms
[1752404833.451766] seq=153 owd=51.801 ms
[1752404833.491464] seq=155 owd=51.509 ms
[1752404833.851840] seq=173 owd=51.891 ms
[1752404834.111787] seq=186 owd=51.847 ms
[1752404834.151491] seq=188 owd=51.544 ms
[1752404834.171354] seq=189 owd=51.406 ms
[1752404834.411848] seq=201 owd=51.898 ms
[1752404834.451565] seq=203 owd=51.556 ms
[1752404834.471415] seq=204 owd=51.448 ms
[1752404834.511491] seq=206 owd=51.517 ms
[1752404834.571834] seq=209 owd=51.860 ms
[1752404834.631795] seq=212 owd=51.827 ms
[1752404834.731804] seq=217 owd=51.855 ms
[1752404834.790530] seq=220 owd=45.364 ms
[1752404834.931858] seq=227 owd=51.899 ms
[1752404835.031866] seq=232 owd=51.876 ms
[1752404835.091805] seq=235 owd=51.844 ms
[1752404835.191842] seq=240 owd=51.883 ms
[1752404835.331611] seq=247 owd=51.426 ms
[1752404835.351420] seq=248 owd=51.457 ms
[1752404835.551869] seq=258 owd=51.903 ms
[1752404835.611805] seq=261 owd=51.857 ms
[1752404835.711832] seq=266 owd=51.877 ms
[1752404835.771770] seq=269 owd=51.812 ms
[1752404835.811447] seq=271 owd=51.489 ms
[1752404835.871819] seq=274 owd=51.874 ms
[1752404835.931741] seq=277 owd=51.790 ms
[1752404835.971449] seq=279 owd=51.504 ms
[1752404836.191718] seq=290 owd=51.762 ms
[1752404836.491751] seq=305 owd=51.791 ms
[1752404836.531455] seq=307 owd=51.500 ms
[1752404836.891819] seq=325 owd=51.809 ms
[1752404836.991837] seq=330 owd=51.889 ms
[1752404837.091858] seq=335 owd=51.880 ms
[1752404837.111284] seq=336 owd=51.169 ms
[1752404837.151388] seq=338 owd=51.437 ms
[1752404837.251448] seq=343 owd=51.501 ms
[1752404837.511817] seq=356 owd=51.833 ms
[1752404837.611830] seq=361 owd=51.862 ms
[1752404837.671766] seq=364 owd=51.814 ms
[1752404837.711465] seq=366 owd=51.505 ms
[1752404837.771798] seq=369 owd=51.851 ms
[1752404837.831744] seq=372 owd=51.799 ms
[1752404837.971853] seq=379 owd=51.856 ms
[1752404838.131808] seq=387 owd=51.845 ms
[1752404838.231831] seq=392 owd=51.879 ms
[1752404838.251681] seq=393 owd=51.515 ms
[1752404838.331879] seq=397 owd=51.909 ms
[1752404838.391807] seq=400 owd=51.845 ms
[1752404838.451788] seq=403 owd=51.827 ms
[1752404838.491448] seq=405 owd=51.488 ms
[1752404838.811710] seq=421 owd=51.756 ms
[1752404838.951829] seq=428 owd=51.881 ms
[1752404839.051859] seq=433 owd=51.897 ms
[1752404839.311861] seq=446 owd=51.913 ms
[1752404839.411849] seq=451 owd=51.894 ms
[1752404839.471782] seq=454 owd=51.812 ms
