time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,1:1,17500
1,LER_Ingress,leri-cr1,1:2,8864
1,LER_Ingress,leri-cr1,1:3,4266
1,LER_Ingress,leri-cr2,1:1,0
1,LER_Ingress,leri-cr2,1:2,0
1,LER_Ingress,leri-cr2,1:3,0
1,LER_Ingress,leri-cr3,1:1,0
1,LER_Ingress,leri-cr3,1:2,0
1,LER_Ingress,leri-cr3,1:3,0
1,CR1,cr1-lere,1:1,0
1,CR1,cr1-lere,1:2,0
1,CR1,cr1-lere,1:3,0
1,CR2,cr2-lere,1:1,0
1,CR2,cr2-lere,1:2,0
1,CR2,cr2-lere,1:3,0
1,CR3,cr3-lere,1:1,0
1,CR3,cr3-lere,1:2,0
1,CR3,cr3-lere,1:3,0
3,LER_Ingress,leri-cr1,1:1,34408
3,LER_Ingress,leri-cr1,1:2,17242
3,LER_Ingress,leri-cr1,1:3,8661
3,LER_Ingress,leri-cr2,1:1,0
3,LER_Ingress,leri-cr2,1:2,0
3,LER_Ingress,leri-cr2,1:3,0
3,LER_Ingress,leri-cr3,1:1,0
3,LER_Ingress,leri-cr3,1:2,0
3,LER_Ingress,leri-cr3,1:3,0
3,CR1,cr1-lere,1:1,0
3,CR1,cr1-lere,1:2,0
3,CR1,cr1-lere,1:3,0
3,CR2,cr2-lere,1:1,0
3,CR2,cr2-lere,1:2,0
3,CR2,cr2-lere,1:3,0
3,CR3,cr3-lere,1:1,0
3,CR3,cr3-lere,1:2,0
3,CR3,cr3-lere,1:3,0
4,LER_Ingress,leri-cr1,1:1,34276
4,LER_Ingress,leri-cr1,1:2,17174
4,LER_Ingress,leri-cr1,1:3,8624
4,LER_Ingress,leri-cr2,1:1,0
4,LER_Ingress,leri-cr2,1:2,0
4,LER_Ingress,leri-cr2,1:3,0
4,LER_Ingress,leri-cr3,1:1,0
4,LER_Ingress,leri-cr3,1:2,0
4,LER_Ingress,leri-cr3,1:3,0
4,CR1,cr1-lere,1:1,0
4,CR1,cr1-lere,1:2,0
4,CR1,cr1-lere,1:3,0
4,CR2,cr2-lere,1:1,0
4,CR2,cr2-lere,1:2,0
4,CR2,cr2-lere,1:3,0
4,CR3,cr3-lere,1:1,0
4,CR3,cr3-lere,1:2,0
4,CR3,cr3-lere,1:3,0
6,LER_Ingress,leri-cr1,1:1,34084
6,LER_Ingress,leri-cr1,1:2,17085
6,LER_Ingress,leri-cr1,1:3,8577
6,LER_Ingress,leri-cr2,1:1,0
6,LER_Ingress,leri-cr2,1:2,0
6,LER_Ingress,leri-cr2,1:3,0
6,LER_Ingress,leri-cr3,1:1,0
6,LER_Ingress,leri-cr3,1:2,0
6,LER_Ingress,leri-cr3,1:3,0
6,CR1,cr1-lere,1:1,0
6,CR1,cr1-lere,1:2,0
6,CR1,cr1-lere,1:3,0
6,CR2,cr2-lere,1:1,0
6,CR2,cr2-lere,1:2,0
6,CR2,cr2-lere,1:3,0
6,CR3,cr3-lere,1:1,0
6,CR3,cr3-lere,1:2,0
6,CR3,cr3-lere,1:3,0
8,LER_Ingress,leri-cr1,1:1,33926
8,LER_Ingress,leri-cr1,1:2,16996
8,LER_Ingress,leri-cr1,1:3,8535
8,LER_Ingress,leri-cr2,1:1,0
8,LER_Ingress,leri-cr2,1:2,0
8,LER_Ingress,leri-cr2,1:3,0
8,LER_Ingress,leri-cr3,1:1,0
8,LER_Ingress,leri-cr3,1:2,0
8,LER_Ingress,leri-cr3,1:3,0
8,CR1,cr1-lere,1:1,0
8,CR1,cr1-lere,1:2,0
8,CR1,cr1-lere,1:3,0
8,CR2,cr2-lere,1:1,0
8,CR2,cr2-lere,1:2,0
8,CR2,cr2-lere,1:3,0
8,CR3,cr3-lere,1:1,0
8,CR3,cr3-lere,1:2,0
8,CR3,cr3-lere,1:3,0
9,LER_Ingress,leri-cr1,1:1,34198
9,LER_Ingress,leri-cr1,1:2,17135
9,LER_Ingress,leri-cr1,1:3,8609
9,LER_Ingress,leri-cr2,1:1,0
9,LER_Ingress,leri-cr2,1:2,0
9,LER_Ingress,leri-cr2,1:3,0
9,LER_Ingress,leri-cr3,1:1,0
9,LER_Ingress,leri-cr3,1:2,0
9,LER_Ingress,leri-cr3,1:3,0
9,CR1,cr1-lere,1:1,0
9,CR1,cr1-lere,1:2,0
9,CR1,cr1-lere,1:3,0
9,CR2,cr2-lere,1:1,0
9,CR2,cr2-lere,1:2,0
9,CR2,cr2-lere,1:3,0
9,CR3,cr3-lere,1:1,0
9,CR3,cr3-lere,1:2,0
9,CR3,cr3-lere,1:3,0
11,LER_Ingress,leri-cr1,1:1,33427
11,LER_Ingress,leri-cr1,1:2,16745
11,LER_Ingress,leri-cr1,1:3,8412
11,LER_Ingress,leri-cr2,1:1,0
11,LER_Ingress,leri-cr2,1:2,0
11,LER_Ingress,leri-cr2,1:3,0
11,LER_Ingress,leri-cr3,1:1,0
11,LER_Ingress,leri-cr3,1:2,0
11,LER_Ingress,leri-cr3,1:3,0
11,CR1,cr1-lere,1:1,0
11,CR1,cr1-lere,1:2,0
11,CR1,cr1-lere,1:3,0
11,CR2,cr2-lere,1:1,0
11,CR2,cr2-lere,1:2,0
11,CR2,cr2-lere,1:3,0
11,CR3,cr3-lere,1:1,0
11,CR3,cr3-lere,1:2,0
11,CR3,cr3-lere,1:3,0
13,LER_Ingress,leri-cr1,1:1,33961
13,LER_Ingress,leri-cr1,1:2,17015
13,LER_Ingress,leri-cr1,1:3,8543
13,LER_Ingress,leri-cr2,1:1,0
13,LER_Ingress,leri-cr2,1:2,0
13,LER_Ingress,leri-cr2,1:3,0
13,LER_Ingress,leri-cr3,1:1,0
13,LER_Ingress,leri-cr3,1:2,0
13,LER_Ingress,leri-cr3,1:3,0
13,CR1,cr1-lere,1:1,0
13,CR1,cr1-lere,1:2,0
13,CR1,cr1-lere,1:3,0
13,CR2,cr2-lere,1:1,0
13,CR2,cr2-lere,1:2,0
13,CR2,cr2-lere,1:3,0
13,CR3,cr3-lere,1:1,0
13,CR3,cr3-lere,1:2,0
13,CR3,cr3-lere,1:3,0
15,LER_Ingress,leri-cr1,1:1,33997
15,LER_Ingress,leri-cr1,1:2,17036
15,LER_Ingress,leri-cr1,1:3,8552
15,LER_Ingress,leri-cr2,1:1,0
15,LER_Ingress,leri-cr2,1:2,0
15,LER_Ingress,leri-cr2,1:3,0
15,LER_Ingress,leri-cr3,1:1,0
