time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1163809,275916,1320
2,14517014,7197940,3516383
3,14096869,7047774,3525635
4,14250728,7124863,3562619
5,14239718,7119451,3559871
6,14259312,7130131,3564778
7,14230378,7114581,3556843
8,14248806,7124724,3563185
9,14252715,7125146,3562893
10,14251944,7126186,3562511
11,14237692,7119140,3558220
12,14243414,7122109,3561134
13,14236315,7117603,3559650
14,14255019,7127509,3562619
15,14253447,7126180,3563531
16,14192431,7096322,3547715
17,14294955,7147008,3573636
18,14249128,7124671,3563292
19,14237402,7119391,3558065
20,12759658,6378611,3189708
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,77,77,77
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,77,77,77
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,2147339,820119,293900
42,14243346,7121807,3559104
43,14239195,7119337,3559141
44,14108035,7052114,3527700
45,14237769,7119432,3559942
46,14245286,7123411,3560731
47,14260315,7150339,3567696
48,14233692,7116212,3558820
49,14250406,7146267,3594251
50,14242160,7120660,3560356
51,14253424,7127588,3563561
52,14247696,7123614,3561968
53,14236625,7117839,3558259
54,14261805,7130266,3565347
55,14233531,7117734,3558511
56,14236711,7116372,3559302
57,14240784,7119123,3560463
58,14258148,7130582,3564023
59,14247706,7124863,3561295
60,14244898,7121841,3561295
61,5933117,3089109,1838339
62,0,0,0
63,0,0,0
