Connecting to host 10.20.1.1, port 1000
[  5] local 10.10.1.1 port 47131 connected to 10.20.1.1 port 1000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362346  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362346 (0%)  sender
[  5]   0.00-60.10  sec   814 MBytes   114 Mbits/sec  0.038 ms  4752529/5362337 (89%)  receiver

Server output:
Accepted connection from 10.10.1.1, port 60476
[  5] local 10.20.1.1 port 1000 connected to 10.10.1.1 port 47131
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  13.9 MBytes   116 Mbits/sec  0.029 ms  78774/89155 (88%)  
[  5]   1.00-2.00   sec  13.0 MBytes   110 Mbits/sec  0.011 ms  79378/89141 (89%)  
[  5]   2.00-3.00   sec  13.2 MBytes   110 Mbits/sec  0.030 ms  79422/89284 (89%)  
[  5]   3.00-4.00   sec  13.2 MBytes   111 Mbits/sec  0.022 ms  79449/89334 (89%)  
[  5]   4.00-5.00   sec  13.2 MBytes   111 Mbits/sec  0.020 ms  79361/89234 (89%)  
[  5]   5.00-6.00   sec  13.1 MBytes   110 Mbits/sec  0.007 ms  79456/89296 (89%)  
[  5]   6.00-7.00   sec  13.2 MBytes   111 Mbits/sec  0.019 ms  79493/89373 (89%)  
[  5]   7.00-8.00   sec  13.2 MBytes   111 Mbits/sec  0.030 ms  79333/89202 (89%)  
[  5]   8.00-9.00   sec  13.2 MBytes   111 Mbits/sec  0.014 ms  79404/89277 (89%)  
[  5]   9.00-10.00  sec  13.1 MBytes   110 Mbits/sec  0.011 ms  79529/89370 (89%)  
[  5]  10.00-11.00  sec  13.2 MBytes   111 Mbits/sec  0.036 ms  79345/89221 (89%)  
[  5]  11.00-12.00  sec  13.2 MBytes   111 Mbits/sec  0.016 ms  79471/89353 (89%)  
[  5]  12.00-13.00  sec  13.2 MBytes   111 Mbits/sec  0.021 ms  79411/89290 (89%)  
[  5]  13.00-14.00  sec  13.1 MBytes   110 Mbits/sec  0.023 ms  79361/89203 (89%)  
[  5]  14.00-15.00  sec  13.2 MBytes   111 Mbits/sec  0.012 ms  79476/89365 (89%)  
[  5]  15.00-16.00  sec  13.2 MBytes   111 Mbits/sec  0.011 ms  79340/89209 (89%)  
[  5]  16.00-17.00  sec  13.2 MBytes   110 Mbits/sec  0.080 ms  79435/89305 (89%)  
[  5]  17.00-18.00  sec  13.2 MBytes   111 Mbits/sec  0.014 ms  79393/89259 (89%)  
[  5]  18.00-19.00  sec  13.2 MBytes   111 Mbits/sec  0.026 ms  79433/89315 (89%)  
[  5]  19.00-20.00  sec  22.3 MBytes   187 Mbits/sec  0.026 ms  72764/89441 (81%)  
[  5]  20.00-21.00  sec  22.9 MBytes   192 Mbits/sec  0.019 ms  72098/89254 (81%)  
[  5]  21.00-22.00  sec  16.6 MBytes   139 Mbits/sec  0.009 ms  76797/89218 (86%)  
[  5]  22.00-23.00  sec  13.1 MBytes   110 Mbits/sec  0.028 ms  79392/89209 (89%)  
[  5]  23.00-24.00  sec  13.1 MBytes   110 Mbits/sec  0.034 ms  79568/89355 (89%)  
[  5]  24.00-25.00  sec  13.2 MBytes   111 Mbits/sec  0.011 ms  79350/89210 (89%)  
[  5]  25.00-26.00  sec  13.2 MBytes   111 Mbits/sec  0.021 ms  79478/89366 (89%)  
[  5]  26.00-27.00  sec  13.2 MBytes   111 Mbits/sec  0.012 ms  79404/89282 (89%)  
[  5]  27.00-28.00  sec  13.2 MBytes   111 Mbits/sec  0.014 ms  79410/89289 (89%)  
[  5]  28.00-29.00  sec  13.2 MBytes   111 Mbits/sec  0.010 ms  79348/89218 (89%)  
[  5]  29.00-30.00  sec  13.1 MBytes   110 Mbits/sec  0.013 ms  79425/89268 (89%)  
[  5]  30.00-31.00  sec  13.2 MBytes   111 Mbits/sec  0.041 ms  79419/89300 (89%)  
[  5]  31.00-32.00  sec  13.2 MBytes   111 Mbits/sec  0.025 ms  79450/89334 (89%)  
[  5]  32.00-33.00  sec  13.2 MBytes   111 Mbits/sec  0.013 ms  79434/89312 (89%)  
