Connecting to host 10.20.3.1, port 3000
[  5] local 10.10.3.1 port 32861 connected to 10.20.3.1 port 3000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362347  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362347 (0%)  sender
[  5]   0.00-60.10  sec   200 MBytes  27.9 Mbits/sec  0.004 ms  5212475/5362331 (97%)  receiver

Server output:
Accepted connection from 10.10.3.1, port 59386
[  5] local 10.20.3.1 port 3000 connected to 10.10.3.1 port 32861
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  3.23 MBytes  27.1 Mbits/sec  0.080 ms  82314/84736 (97%)  
[  5]   1.00-2.00   sec  3.26 MBytes  27.4 Mbits/sec  0.052 ms  86874/89319 (97%)  
[  5]   2.00-3.00   sec  3.29 MBytes  27.7 Mbits/sec  0.050 ms  86737/89204 (97%)  
[  5]   3.00-4.00   sec  3.30 MBytes  27.7 Mbits/sec  0.049 ms  86810/89279 (97%)  
[  5]   4.00-5.00   sec  3.30 MBytes  27.7 Mbits/sec  0.042 ms  86863/89335 (97%)  
[  5]   5.00-6.00   sec  3.34 MBytes  28.0 Mbits/sec  0.123 ms  86820/89319 (97%)  
[  5]   6.00-7.00   sec  3.30 MBytes  27.7 Mbits/sec  0.035 ms  86796/89266 (97%)  
[  5]   7.00-8.00   sec  3.30 MBytes  27.7 Mbits/sec  0.134 ms  86844/89314 (97%)  
[  5]   8.00-9.00   sec  3.30 MBytes  27.7 Mbits/sec  0.047 ms  86760/89228 (97%)  
[  5]   9.00-10.00  sec  3.30 MBytes  27.7 Mbits/sec  0.046 ms  86873/89343 (97%)  
[  5]  10.00-11.00  sec  3.29 MBytes  27.7 Mbits/sec  0.081 ms  86703/89170 (97%)  
[  5]  11.00-12.00  sec  3.30 MBytes  27.7 Mbits/sec  0.035 ms  86868/89338 (97%)  
[  5]  12.00-13.00  sec  3.30 MBytes  27.7 Mbits/sec  0.070 ms  86770/89239 (97%)  
[  5]  13.00-14.00  sec  3.30 MBytes  27.6 Mbits/sec  0.050 ms  86931/89402 (97%)  
[  5]  14.00-15.00  sec  3.29 MBytes  27.7 Mbits/sec  0.042 ms  86702/89169 (97%)  
[  5]  15.00-16.00  sec  3.30 MBytes  27.7 Mbits/sec  0.217 ms  86835/89305 (97%)  
[  5]  16.00-17.00  sec  3.30 MBytes  27.7 Mbits/sec  0.046 ms  86866/89337 (97%)  
[  5]  17.00-18.00  sec  3.30 MBytes  27.7 Mbits/sec  0.098 ms  86835/89304 (97%)  
[  5]  18.00-19.00  sec  3.30 MBytes  27.7 Mbits/sec  0.139 ms  86842/89311 (97%)  
[  5]  19.00-20.00  sec  4.04 MBytes  33.9 Mbits/sec  0.030 ms  86388/89412 (97%)  
[  5]  20.00-21.00  sec  4.24 MBytes  35.5 Mbits/sec  0.020 ms  86665/89839 (96%)  
[  5]  21.00-22.00  sec  3.61 MBytes  30.3 Mbits/sec  0.033 ms  85849/88550 (97%)  
[  5]  22.00-23.00  sec  3.29 MBytes  27.7 Mbits/sec  0.045 ms  86774/89241 (97%)  
[  5]  23.00-24.00  sec  3.27 MBytes  27.4 Mbits/sec  0.106 ms  86902/89348 (97%)  
[  5]  24.00-25.00  sec  3.30 MBytes  27.7 Mbits/sec  0.066 ms  86768/89236 (97%)  
[  5]  25.00-26.00  sec  3.30 MBytes  27.6 Mbits/sec  0.040 ms  86842/89313 (97%)  
[  5]  26.00-27.00  sec  3.30 MBytes  27.7 Mbits/sec  0.037 ms  86760/89228 (97%)  
[  5]  27.00-28.00  sec  3.30 MBytes  27.7 Mbits/sec  0.067 ms  86849/89318 (97%)  
[  5]  28.00-29.00  sec  3.29 MBytes  27.6 Mbits/sec  0.036 ms  86871/89337 (97%)  
[  5]  29.00-30.00  sec  3.29 MBytes  27.7 Mbits/sec  0.047 ms  86727/89194 (97%)  
[  5]  30.00-31.00  sec  3.30 MBytes  27.7 Mbits/sec  0.050 ms  86843/89313 (97%)  
[  5]  31.00-32.00  sec  3.30 MBytes  27.7 Mbits/sec  0.083 ms  86798/89267 (97%)  
[  5]  32.00-33.00  sec  3.30 MBytes  27.7 Mbits/sec  0.053 ms  86847/89316 (97%)  
[  5]  33.00-34.00  sec  3.30 MBytes  27.6 Mbits/sec  0.026 ms  86843/89314 (97%)  
[  5]  34.00-35.00  sec  3.30 MBytes  27.7 Mbits/sec  0.255 ms  86774/89242 (97%)  
[  5]  35.00-36.00  sec  3.30 MBytes  27.7 Mbits/sec  0.037 ms  86903/89374 (97%)  
[  5]  36.00-37.00  sec  3.30 MBytes  27.7 Mbits/sec  0.040 ms  86776/89244 (97%)  
[  5]  37.00-38.00  sec  3.30 MBytes  27.7 Mbits/sec  0.077 ms  86867/89338 (97%)  
[  5]  38.00-39.00  sec  3.30 MBytes  27.7 Mbits/sec  0.045 ms  86774/89243 (97%)  
[  5]  39.00-40.00  sec  3.26 MBytes  27.4 Mbits/sec  0.046 ms  86756/89198 (97%)  
[  5]  40.00-41.00  sec  3.27 MBytes  27.4 Mbits/sec  0.041 ms  86934/89382 (97%)  
[  5]  41.00-42.00  sec  3.40 MBytes  28.5 Mbits/sec  0.065 ms  86652/89197 (97%)  
[  5]  42.00-43.00  sec  3.30 MBytes  27.6 Mbits/sec  0.048 ms  86915/89386 (97%)  
[  5]  43.00-44.00  sec  3.30 MBytes  27.7 Mbits/sec  0.060 ms  86772/89241 (97%)  
[  5]  44.00-45.00  sec  3.26 MBytes  27.4 Mbits/sec  0.029 ms  86857/89302 (97%)  
[  5]  45.00-46.00  sec  3.29 MBytes  27.7 Mbits/sec  0.054 ms  86776/89243 (97%)  
[  5]  46.00-47.00  sec  3.30 MBytes  27.7 Mbits/sec  0.064 ms  86868/89340 (97%)  
[  5]  47.00-48.00  sec  3.30 MBytes  27.7 Mbits/sec  0.045 ms  86807/89276 (97%)  
