# OWD receiver: AF42  port=5002
[1752404903.370256] seq=1 owd=10.165 ms
[1752404903.390225] seq=2 owd=10.109 ms
[1752404903.410216] seq=3 owd=10.113 ms
[1752404903.430287] seq=4 owd=10.172 ms
[1752404903.450346] seq=5 owd=10.178 ms
[1752404903.470299] seq=6 owd=10.179 ms
[1752404903.490283] seq=7 owd=10.151 ms
[1752404903.510301] seq=8 owd=10.175 ms
[1752404903.530235] seq=9 owd=10.114 ms
[1752404903.550289] seq=10 owd=10.165 ms
[1752404903.570269] seq=11 owd=10.147 ms
[1752404903.590261] seq=12 owd=10.138 ms
[1752404903.610232] seq=13 owd=10.117 ms
[1752404903.630255] seq=14 owd=10.139 ms
[1752404903.650231] seq=15 owd=10.113 ms
[1752404903.670231] seq=16 owd=10.118 ms
[1752404903.690206] seq=17 owd=10.096 ms
[1752404903.710181] seq=18 owd=10.073 ms
[1752404903.730212] seq=19 owd=10.107 ms
[1752404903.750245] seq=20 owd=10.099 ms
[1752404903.770335] seq=21 owd=10.235 ms
[1752404903.913072] seq=28 owd=12.963 ms
[1752404904.013091] seq=33 owd=12.981 ms
[1752404904.033123] seq=34 owd=12.979 ms
[1752404904.113133] seq=38 owd=13.022 ms
[1752404904.313192] seq=48 owd=13.077 ms
[1752404904.333227] seq=49 owd=13.090 ms
[1752404904.473105] seq=56 owd=12.990 ms
[1752404904.493137] seq=57 owd=13.014 ms
[1752404904.753943] seq=70 owd=13.077 ms
[1752404904.773342] seq=71 owd=13.012 ms
[1752404904.813229] seq=73 owd=12.820 ms
[1752404905.013057] seq=83 owd=12.962 ms
[1752404905.033096] seq=84 owd=12.994 ms
[1752404905.053139] seq=85 owd=13.026 ms
[1752404905.233130] seq=94 owd=12.980 ms
[1752404905.333138] seq=99 owd=13.029 ms
[1752404905.413107] seq=103 owd=13.001 ms
[1752404905.433163] seq=104 owd=13.044 ms
[1752404905.473042] seq=106 owd=12.937 ms
[1752404905.493098] seq=107 owd=12.994 ms
[1752404905.573078] seq=111 owd=12.984 ms
[1752404905.653071] seq=115 owd=12.969 ms
[1752404905.673099] seq=116 owd=12.989 ms
