time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1362,988,560
2,14421544,6862435,3277463
3,14104329,7053388,3525531
4,14250414,7125153,3563082
5,14250613,7130560,3561914
6,14235304,7116251,3558419
7,14251998,7126240,3605642
8,14250567,7126132,3562565
9,14204070,7101565,3551809
10,14279532,7139399,3569092
11,14262015,7130238,3564832
12,14236232,7117787,3559621
13,14250513,7126186,3562565
14,14246264,7121807,3560428
15,14237766,7120445,3559409
16,14253155,7125942,3563346
17,14235411,7117625,3558152
18,14254909,7127857,3564778
19,14205854,7101725,3550394
20,15183889,7256169,3497327
21,24776357,9107237,4539697
22,24599272,9053038,4578265
23,16149135,7511050,3771476
24,14244898,7122001,3560079
25,14101849,7051694,3526007
26,14230700,7114795,3557111
27,14235411,7117732,3559794
28,14282229,7140507,3569038
29,14234992,7117978,3559597
30,14253642,7126186,3562886
31,14251616,7126371,3563132
32,14237394,7117680,3558619
33,14247481,7124885,3561807
34,14230486,7114795,3558488
35,14256344,7127538,3563429
36,14250563,7124920,3562618
37,14240962,7120588,3560007
38,14257559,7128913,3564564
39,14236208,7117871,3558434
40,14099514,7049203,3524895
41,14102212,7052222,3526164
42,14847932,7315255,3678035
43,14239644,7119078,3558570
44,14240500,7120517,3559918
45,14109571,7054812,3527593
46,14247588,7123453,3561968
47,14236369,7126025,3558380
48,14256019,7126103,3564778
49,14249095,7137195,3562031
50,14239462,7119123,3559141
51,14209760,7119250,3552207
52,14287785,7143484,3572710
53,14243185,7121753,3560428
54,14244724,7121807,3560375
55,14232283,7115173,3557871
56,14259098,7130613,3564671
57,14245005,7121680,3561188
58,14103220,7051958,3525371
59,14237367,7118657,3558966
60,14261801,7130506,3566264
61,6386355,3320548,1895786
62,0,0,0
63,0,0,0
