Connecting to host 10.20.2.1, port 2000
[  5] local 10.10.2.1 port 41028 connected to 10.20.2.1 port 2000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362334  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362334 (0%)  sender
[  5]   0.00-60.10  sec   396 MBytes  55.3 Mbits/sec  0.012 ms  5065616/5362317 (94%)  receiver

Server output:
Accepted connection from 10.10.2.1, port 58110
[  5] local 10.20.2.1 port 2000 connected to 10.10.2.1 port 41028
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  6.67 MBytes  55.9 Mbits/sec  0.020 ms  83209/88202 (94%)  
[  5]   1.00-2.00   sec  6.53 MBytes  54.8 Mbits/sec  0.017 ms  84410/89300 (95%)  
[  5]   2.00-3.00   sec  6.59 MBytes  55.3 Mbits/sec  0.027 ms  84256/89190 (94%)  
[  5]   3.00-4.00   sec  6.60 MBytes  55.3 Mbits/sec  0.034 ms  84432/89376 (94%)  
[  5]   4.00-5.00   sec  6.59 MBytes  55.3 Mbits/sec  0.035 ms  84347/89286 (94%)  
[  5]   5.00-6.00   sec  6.59 MBytes  55.3 Mbits/sec  0.031 ms  84294/89230 (94%)  
[  5]   6.00-7.00   sec  6.59 MBytes  55.3 Mbits/sec  0.034 ms  84325/89263 (94%)  
[  5]   7.00-8.00   sec  6.60 MBytes  55.3 Mbits/sec  0.030 ms  84434/89377 (94%)  
[  5]   8.00-9.00   sec  6.59 MBytes  55.3 Mbits/sec  0.013 ms  84256/89191 (94%)  
[  5]   9.00-10.00  sec  6.59 MBytes  55.3 Mbits/sec  0.023 ms  84344/89283 (94%)  
[  5]  10.00-11.00  sec  6.59 MBytes  55.3 Mbits/sec  0.190 ms  84097/89036 (94%)  
[  5]  11.00-12.00  sec  6.59 MBytes  55.3 Mbits/sec  0.032 ms  84592/89531 (94%)  
[  5]  12.00-13.00  sec  6.60 MBytes  55.3 Mbits/sec  0.037 ms  84370/89311 (94%)  
[  5]  13.00-14.00  sec  6.60 MBytes  55.3 Mbits/sec  0.024 ms  84399/89341 (94%)  
[  5]  14.00-15.00  sec  6.59 MBytes  55.3 Mbits/sec  0.032 ms  84295/89231 (94%)  
[  5]  15.00-16.00  sec  6.60 MBytes  55.3 Mbits/sec  0.046 ms  84412/89355 (94%)  
[  5]  16.00-17.00  sec  6.59 MBytes  55.3 Mbits/sec  0.030 ms  84251/89185 (94%)  
[  5]  17.00-18.00  sec  6.60 MBytes  55.3 Mbits/sec  0.043 ms  84430/89374 (94%)  
[  5]  18.00-19.00  sec  6.59 MBytes  55.3 Mbits/sec  0.036 ms  84343/89282 (94%)  
[  5]  19.00-20.00  sec  6.59 MBytes  55.3 Mbits/sec  0.027 ms  84293/89229 (94%)  
[  5]  20.00-21.00  sec  6.60 MBytes  55.3 Mbits/sec  0.034 ms  84418/89361 (94%)  
[  5]  21.00-22.00  sec  6.59 MBytes  55.3 Mbits/sec  0.033 ms  84343/89282 (94%)  
[  5]  22.00-23.00  sec  6.59 MBytes  55.3 Mbits/sec  0.106 ms  84269/89204 (94%)  
[  5]  23.00-24.00  sec  6.60 MBytes  55.3 Mbits/sec  0.036 ms  84408/89351 (94%)  
[  5]  24.00-25.00  sec  6.59 MBytes  55.3 Mbits/sec  0.049 ms  84296/89232 (94%)  
[  5]  25.00-26.00  sec  6.60 MBytes  55.3 Mbits/sec  0.027 ms  84349/89289 (94%)  
[  5]  26.00-27.00  sec  6.59 MBytes  55.3 Mbits/sec  0.031 ms  84312/89249 (94%)  
[  5]  27.00-28.00  sec  6.60 MBytes  55.3 Mbits/sec  0.067 ms  84395/89337 (94%)  
[  5]  28.00-29.00  sec  6.60 MBytes  55.3 Mbits/sec  0.033 ms  84383/89324 (94%)  
