# OWD receiver: AF42  port=5002
[1752404759.401484] seq=1 owd=10.143 ms
[1752404759.421427] seq=2 owd=10.065 ms
[1752404759.441427] seq=3 owd=10.074 ms
[1752404759.461531] seq=4 owd=10.168 ms
[1752404759.481586] seq=5 owd=10.208 ms
[1752404759.501546] seq=6 owd=10.166 ms
[1752404759.521537] seq=7 owd=10.168 ms
[1752404759.541499] seq=8 owd=10.129 ms
[1752404759.561426] seq=9 owd=10.064 ms
[1752404759.581517] seq=10 owd=10.142 ms
[1752404759.601421] seq=11 owd=10.060 ms
[1752404759.621408] seq=12 owd=10.056 ms
[1752404759.641408] seq=13 owd=10.058 ms
[1752404759.661441] seq=14 owd=10.079 ms
[1752404759.681438] seq=15 owd=10.077 ms
[1752404759.701469] seq=16 owd=10.102 ms
[1752404759.741446] seq=18 owd=10.078 ms
[1752404759.761421] seq=19 owd=10.063 ms
[1752404759.783704] seq=20 owd=12.348 ms
[1752404759.864289] seq=24 owd=12.939 ms
[1752404759.984384] seq=30 owd=13.015 ms
[1752404760.004411] seq=31 owd=13.045 ms
[1752404760.064332] seq=34 owd=12.973 ms
[1752404760.264354] seq=44 owd=13.002 ms
[1752404760.344327] seq=48 owd=12.976 ms
[1752404760.364369] seq=49 owd=13.017 ms
[1752404760.464417] seq=54 owd=13.050 ms
[1752404760.624342] seq=62 owd=12.977 ms
[1752404760.744393] seq=68 owd=13.027 ms
[1752404760.824366] seq=72 owd=13.024 ms
[1752404760.904334] seq=76 owd=12.972 ms
[1752404760.924396] seq=77 owd=13.034 ms
[1752404761.004356] seq=81 owd=13.007 ms
[1752404761.124423] seq=87 owd=13.049 ms
[1752404761.184329] seq=90 owd=12.967 ms
[1752404761.284353] seq=95 owd=13.003 ms
[1752404761.364339] seq=99 owd=12.987 ms
[1752404761.384368] seq=100 owd=13.017 ms
[1752404761.464364] seq=104 owd=13.005 ms
[1752404761.544354] seq=108 owd=12.998 ms
[1752404761.564401] seq=109 owd=13.002 ms
[1752404761.644354] seq=113 owd=13.003 ms
[1752404761.744392] seq=118 owd=13.041 ms
[1752404761.904307] seq=126 owd=12.944 ms
[1752404762.024359] seq=132 owd=13.011 ms
[1752404762.144413] seq=138 owd=13.007 ms
[1752404762.204348] seq=141 owd=12.976 ms
[1752404762.270758] seq=144 owd=13.014 ms
[1752404762.384335] seq=150 owd=12.951 ms
[1752404762.404387] seq=151 owd=13.024 ms
[1752404762.464319] seq=154 owd=12.966 ms
[1752404762.483763] seq=155 owd=12.404 ms
[1752404762.564335] seq=159 owd=12.977 ms
[1752404762.664364] seq=164 owd=13.007 ms
[1752404762.764366] seq=169 owd=13.000 ms
[1752404762.944366] seq=178 owd=12.995 ms
[1752404763.044365] seq=183 owd=13.013 ms
[1752404763.124363] seq=187 owd=13.015 ms
[1752404763.204124] seq=191 owd=12.766 ms
[1752404763.224359] seq=192 owd=13.003 ms
[1752404763.244406] seq=193 owd=12.999 ms
[1752404763.264051] seq=194 owd=12.686 ms
[1752404763.304346] seq=196 owd=13.005 ms
[1752404763.364267] seq=199 owd=12.917 ms
[1752404763.384332] seq=200 owd=12.993 ms
[1752404763.404370] seq=201 owd=12.999 ms
[1752404763.484341] seq=205 owd=12.991 ms
[1752404763.584380] seq=210 owd=13.031 ms
[1752404763.664338] seq=214 owd=12.959 ms
[1752404763.784419] seq=220 owd=13.053 ms
[1752404763.864374] seq=224 owd=13.011 ms
[1752404763.964396] seq=229 owd=12.986 ms
[1752404764.024335] seq=232 owd=12.970 ms
[1752404764.044388] seq=233 owd=13.024 ms
[1752404764.244402] seq=243 owd=13.042 ms
[1752404764.324368] seq=247 owd=13.008 ms
[1752404764.424395] seq=252 owd=13.011 ms
[1752404764.524387] seq=257 owd=13.004 ms
[1752404764.604355] seq=261 owd=13.005 ms
[1752404764.684351] seq=265 owd=12.990 ms
[1752404764.784357] seq=270 owd=13.000 ms
[1752404764.804403] seq=271 owd=13.005 ms
[1752404764.964334] seq=279 owd=12.971 ms
[1752404765.044307] seq=283 owd=12.956 ms
[1752404765.164384] seq=289 owd=13.031 ms
[1752404765.244368] seq=293 owd=13.017 ms
[1752404765.324320] seq=297 owd=12.972 ms
[1752404765.344359] seq=298 owd=13.009 ms
[1752404765.424373] seq=302 owd=13.024 ms
[1752404765.524377] seq=307 owd=13.013 ms
[1752404765.725687] seq=317 owd=14.322 ms
[1752404765.804356] seq=321 owd=12.996 ms
[1752404765.884328] seq=325 owd=12.964 ms
[1752404765.984347] seq=330 owd=12.990 ms
[1752404766.004395] seq=331 owd=13.033 ms
[1752404766.084379] seq=335 owd=13.027 ms
[1752404766.104419] seq=336 owd=13.047 ms
[1752404766.184386] seq=340 owd=13.027 ms
[1752404766.264349] seq=344 owd=12.998 ms
[1752404766.364370] seq=349 owd=13.010 ms
[1752404766.444341] seq=353 owd=12.974 ms
[1752404766.464411] seq=354 owd=13.048 ms
[1752404766.544390] seq=358 owd=13.021 ms
[1752404766.564439] seq=359 owd=13.069 ms
[1752404766.624370] seq=362 owd=13.023 ms
[1752404766.764469] seq=369 owd=13.059 ms
[1752404766.804344] seq=371 owd=12.987 ms
[1752404766.824393] seq=372 owd=13.035 ms
[1752404766.884326] seq=375 owd=12.962 ms
[1752404766.904361] seq=376 owd=13.000 ms
[1752404766.984335] seq=380 owd=12.960 ms
[1752404767.064324] seq=384 owd=12.972 ms
[1752404767.084372] seq=385 owd=13.020 ms
[1752404767.164366] seq=389 owd=13.000 ms
[1752404767.184404] seq=390 owd=13.024 ms
[1752404767.344345] seq=398 owd=12.983 ms
[1752404767.364392] seq=399 owd=12.995 ms
[1752404767.464406] seq=404 owd=12.998 ms
[1752404767.644382] seq=413 owd=13.002 ms
[1752404767.704311] seq=416 owd=12.950 ms
[1752404767.764439] seq=419 owd=13.041 ms
[1752404767.804350] seq=421 owd=12.981 ms
[1752404767.824388] seq=422 owd=13.022 ms
[1752404767.864278] seq=424 owd=12.917 ms
[1752404767.884306] seq=425 owd=12.944 ms
[1752404767.904390] seq=426 owd=13.037 ms
[1752404767.924403] seq=427 owd=13.017 ms
[1752404767.964291] seq=429 owd=12.941 ms
[1752404767.984340] seq=430 owd=12.979 ms
[1752404768.064320] seq=434 owd=12.949 ms
[1752404768.284386] seq=445 owd=13.016 ms
[1752404768.364363] seq=449 owd=13.009 ms
[1752404768.444328] seq=453 owd=12.974 ms
[1752404768.564410] seq=459 owd=13.045 ms
[1752404768.604279] seq=461 owd=12.927 ms
[1752404768.624317] seq=462 owd=12.960 ms
[1752404768.724344] seq=467 owd=12.993 ms
[1752404768.824378] seq=472 owd=13.023 ms
[1752404768.844425] seq=473 owd=13.037 ms
[1752404768.922993] seq=477 owd=11.609 ms
[1752404769.084330] seq=485 owd=12.929 ms
[1752404769.104379] seq=486 owd=13.017 ms
[1752404769.204418] seq=491 owd=13.055 ms
[1752404769.284365] seq=495 owd=12.992 ms
[1752404769.364357] seq=499 owd=13.010 ms
[1752404769.384393] seq=500 owd=13.026 ms
[1752404769.464399] seq=504 owd=13.035 ms
[1752404769.824334] seq=522 owd=12.978 ms
[1752404769.844373] seq=523 owd=13.019 ms
[1752404769.924346] seq=527 owd=12.987 ms
[1752404769.944389] seq=528 owd=13.018 ms
[1752404770.024362] seq=532 owd=13.001 ms
[1752404770.044467] seq=533 owd=13.081 ms
[1752404770.084288] seq=535 owd=12.934 ms
[1752404770.104338] seq=536 owd=12.987 ms
[1752404770.204364] seq=541 owd=13.008 ms
[1752404770.304382] seq=546 owd=13.021 ms
[1752404770.584408] seq=560 owd=13.033 ms
[1752404770.684392] seq=565 owd=13.017 ms
[1752404771.064383] seq=584 owd=12.965 ms
[1752404771.084461] seq=585 owd=13.059 ms
[1752404771.164404] seq=589 owd=12.994 ms
[1752404771.244397] seq=593 owd=13.025 ms
[1752404771.324334] seq=597 owd=12.982 ms
[1752404771.404308] seq=601 owd=12.953 ms
[1752404771.424345] seq=602 owd=12.994 ms
[1752404771.484492] seq=605 owd=13.049 ms
[1752404771.584306] seq=610 owd=12.955 ms
