time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,804045,183893,1086
2,14682945,7183632,3464889
3,14109103,7054873,3526748
4,14239312,7118495,3560102
5,14239302,7119337,3559034
6,14263101,7131831,3566751
7,13663756,6832847,3414775
8,14823020,7410591,3706142
9,14268415,7134623,3566800
10,14235327,7118037,3559392
11,14245566,7122015,3561168
12,14247813,7123271,3561349
13,14235541,7117930,3558965
14,14263596,7131363,3565837
15,14239695,7119427,3560221
16,14242467,7122200,3560031
17,14264362,7131079,3566303
18,14222188,7110594,3554243
19,14260902,7130531,3565480
20,14241930,7122001,3561242
21,14233609,7116518,3558205
22,14260583,7130238,3564724
23,14256395,7127535,3563561
24,14229430,7114849,3558327
25,14256236,7127509,3564049
26,14243774,7122005,3560594
27,14250406,7124595,3561188
28,14244832,7123453,3561807
29,14222580,7110709,3554907
30,14265133,7132146,3566340
31,14249449,7124778,3562021
32,14250781,7125972,3562565
33,14236336,7117801,3559409
34,14257559,7129074,3564564
35,14231315,7115131,3557378
36,14256633,7127451,3563477
37,14240500,7120785,3560920
38,14252941,7126049,3563185
39,14226248,7113204,3555412
40,14271664,7136180,3569128
41,14237692,7118031,3558327
42,14251153,7125894,3563759
43,14233746,7116640,3557659
44,14252158,7126079,3562511
45,14246697,7122200,3561352
46,14254695,7127803,3564671
47,14238889,7118997,3558943
48,14233478,7117641,3559034
49,14264504,7131670,3564671
50,14235411,7118000,3559794
51,14267431,7133079,3566834
52,14227517,7113418,3555573
53,14245059,7123164,3561242
54,14243468,7120517,3560974
55,14264642,7133210,3565479
56,14237404,7118997,3560536
57,14237819,7118015,3558981
58,14247823,7123464,3561785
59,14239302,7119552,3559195
60,14253209,7127428,3563239
61,5564121,2908085,1747033
62,0,0,0
63,0,0,0
64,0,0,0
