# OWD receiver: AF41  port=5001
[1782114996.298575] seq=1 owd=0.098 ms
[1782114996.318588] seq=2 owd=0.088 ms
[1782114996.338630] seq=3 owd=0.119 ms
[1782114996.358570] seq=4 owd=0.074 ms
[1782114996.378597] seq=5 owd=0.093 ms
[1782114996.398568] seq=6 owd=0.068 ms
[1782114996.418537] seq=7 owd=0.047 ms
[1782114996.438530] seq=8 owd=0.043 ms
[1782114996.458517] seq=9 owd=0.032 ms
[1782114996.478531] seq=10 owd=0.040 ms
[1782114996.498527] seq=11 owd=0.038 ms
[1782114996.518521] seq=12 owd=0.035 ms
[1782114996.538508] seq=13 owd=0.024 ms
[1782114996.558537] seq=14 owd=0.046 ms
[1782114996.578524] seq=15 owd=0.037 ms
[1782114996.598535] seq=16 owd=0.039 ms
[1782114996.618530] seq=17 owd=0.043 ms
[1782114996.638521] seq=18 owd=0.035 ms
[1782114996.658513] seq=19 owd=0.029 ms
[1782114996.678508] seq=20 owd=0.025 ms
[1782114996.698515] seq=21 owd=0.031 ms
[1782114996.718514] seq=22 owd=0.030 ms
[1782114996.738512] seq=23 owd=0.029 ms
[1782114996.758514] seq=24 owd=0.031 ms
[1782114996.778517] seq=25 owd=0.034 ms
[1782114996.798508] seq=26 owd=0.026 ms
[1782114996.818505] seq=27 owd=0.023 ms
[1782114996.838507] seq=28 owd=0.025 ms
[1782114996.858536] seq=29 owd=0.042 ms
[1782114996.878571] seq=30 owd=0.080 ms
[1782114996.898520] seq=31 owd=0.033 ms
[1782114996.918514] seq=32 owd=0.030 ms
[1782114996.938522] seq=33 owd=0.037 ms
[1782114996.958530] seq=34 owd=0.044 ms
[1782114996.978522] seq=35 owd=0.037 ms
[1782114996.998555] seq=36 owd=0.058 ms
[1782114997.018528] seq=37 owd=0.032 ms
[1782114997.038511] seq=38 owd=0.027 ms
[1782114997.058542] seq=39 owd=0.048 ms
[1782114997.078547] seq=40 owd=0.050 ms
[1782114997.098530] seq=41 owd=0.039 ms
[1782114997.118560] seq=42 owd=0.056 ms
[1782114997.138526] seq=43 owd=0.036 ms
[1782114997.158532] seq=44 owd=0.037 ms
[1782114997.178540] seq=45 owd=0.047 ms
[1782114997.198529] seq=46 owd=0.034 ms
[1782114997.218524] seq=47 owd=0.035 ms
[1782114997.238533] seq=48 owd=0.045 ms
[1782114997.258528] seq=49 owd=0.041 ms
[1782114997.278533] seq=50 owd=0.042 ms
[1782114997.298522] seq=51 owd=0.034 ms
[1782114997.318527] seq=52 owd=0.041 ms
[1782114997.338517] seq=53 owd=0.033 ms
[1782114997.358570] seq=54 owd=0.088 ms
[1782114997.378597] seq=55 owd=0.115 ms
[1782114997.398527] seq=56 owd=0.044 ms
[1782114997.418525] seq=57 owd=0.039 ms
[1782114997.438532] seq=58 owd=0.046 ms
[1782114997.458526] seq=59 owd=0.037 ms
[1782114997.478546] seq=60 owd=0.054 ms
[1782114997.498529] seq=61 owd=0.040 ms
[1782114997.518541] seq=62 owd=0.047 ms
[1782114997.538535] seq=63 owd=0.046 ms
[1782114997.558579] seq=64 owd=0.075 ms
[1782114997.578547] seq=65 owd=0.052 ms
[1782114997.598529] seq=66 owd=0.040 ms
[1782114997.618550] seq=67 owd=0.062 ms
[1782114997.638547] seq=68 owd=0.054 ms
[1782114997.658521] seq=69 owd=0.034 ms
[1782114997.678568] seq=70 owd=0.070 ms
[1782114997.698564] seq=71 owd=0.063 ms
[1782114997.718551] seq=72 owd=0.051 ms
[1782114997.738569] seq=73 owd=0.068 ms
[1782114997.758582] seq=74 owd=0.080 ms
[1782114997.778572] seq=75 owd=0.066 ms
[1782114997.798551] seq=76 owd=0.062 ms
[1782114997.818570] seq=77 owd=0.070 ms
[1782114997.838559] seq=78 owd=0.064 ms
[1782114997.858557] seq=79 owd=0.060 ms
[1782114997.878516] seq=80 owd=0.028 ms
[1782114997.898519] seq=81 owd=0.035 ms
[1782114997.918519] seq=82 owd=0.033 ms
[1782114997.938509] seq=83 owd=0.024 ms
[1782114997.958511] seq=84 owd=0.026 ms
[1782114997.978528] seq=85 owd=0.043 ms
[1782114997.998530] seq=86 owd=0.043 ms
[1782114998.018515] seq=87 owd=0.031 ms
[1782114998.038517] seq=88 owd=0.032 ms
[1782114998.058524] seq=89 owd=0.041 ms
[1782114998.078516] seq=90 owd=0.033 ms
[1782114998.098517] seq=91 owd=0.034 ms
[1782114998.118538] seq=92 owd=0.047 ms
[1782114998.138522] seq=93 owd=0.030 ms
[1782114998.158525] seq=94 owd=0.038 ms
[1782114998.178532] seq=95 owd=0.043 ms
[1782114998.198524] seq=96 owd=0.036 ms
[1782114998.218517] seq=97 owd=0.033 ms
[1782114998.238511] seq=98 owd=0.028 ms
[1782114998.258521] seq=99 owd=0.036 ms
[1782114998.278517] seq=100 owd=0.033 ms
[1782114998.298515] seq=101 owd=0.030 ms
[1782114998.318521] seq=102 owd=0.035 ms
[1782114998.338520] seq=103 owd=0.037 ms
[1782114998.358524] seq=104 owd=0.035 ms
[1782114998.378529] seq=105 owd=0.036 ms
[1782114998.398517] seq=106 owd=0.032 ms
[1782114998.418531] seq=107 owd=0.043 ms
[1782114998.438514] seq=108 owd=0.026 ms
[1782114998.458567] seq=109 owd=0.067 ms
[1782114998.478540] seq=110 owd=0.045 ms
[1782114998.498568] seq=111 owd=0.066 ms
[1782114998.518527] seq=112 owd=0.033 ms
[1782114998.538510] seq=113 owd=0.026 ms
[1782114998.558545] seq=114 owd=0.060 ms
[1782114998.578516] seq=115 owd=0.031 ms
[1782114998.598519] seq=116 owd=0.036 ms
[1782114998.618511] seq=117 owd=0.028 ms
[1782114998.638507] seq=118 owd=0.024 ms
[1782114998.658534] seq=119 owd=0.039 ms
[1782114998.678522] seq=120 owd=0.032 ms
[1782114998.698514] seq=121 owd=0.031 ms
[1782114998.718514] seq=122 owd=0.030 ms
[1782114998.738507] seq=123 owd=0.024 ms
[1782114998.758508] seq=124 owd=0.025 ms
[1782114998.778509] seq=125 owd=0.026 ms
[1782114998.798506] seq=126 owd=0.022 ms
[1782114998.818506] seq=127 owd=0.023 ms
[1782114998.838507] seq=128 owd=0.024 ms
[1782114998.858510] seq=129 owd=0.026 ms
[1782114998.878602] seq=130 owd=0.075 ms
[1782114998.898532] seq=131 owd=0.043 ms
[1782114998.918525] seq=132 owd=0.034 ms
[1782114998.938535] seq=133 owd=0.040 ms
[1782114998.958526] seq=134 owd=0.035 ms
[1782114998.978521] seq=135 owd=0.035 ms
[1782114998.998529] seq=136 owd=0.039 ms
[1782114999.018540] seq=137 owd=0.050 ms
[1782114999.038521] seq=138 owd=0.034 ms
[1782114999.058526] seq=139 owd=0.041 ms
[1782114999.078542] seq=140 owd=0.050 ms
[1782114999.098545] seq=141 owd=0.053 ms
[1782114999.118538] seq=142 owd=0.051 ms
[1782114999.138515] seq=143 owd=0.030 ms
[1782114999.158574] seq=144 owd=0.074 ms
[1782114999.178556] seq=145 owd=0.058 ms
[1782114999.198525] seq=146 owd=0.038 ms
[1782114999.218515] seq=147 owd=0.032 ms
[1782114999.238514] seq=148 owd=0.030 ms
[1782114999.258523] seq=149 owd=0.037 ms
[1782114999.278550] seq=150 owd=0.059 ms
[1782114999.298551] seq=151 owd=0.055 ms
[1782114999.318534] seq=152 owd=0.042 ms
[1782114999.338531] seq=153 owd=0.040 ms
[1782114999.358531] seq=154 owd=0.039 ms
[1782114999.378526] seq=155 owd=0.040 ms
[1782114999.398543] seq=156 owd=0.060 ms
[1782114999.418515] seq=157 owd=0.030 ms
[1782114999.438515] seq=158 owd=0.031 ms
[1782114999.458516] seq=159 owd=0.033 ms
[1782114999.478510] seq=160 owd=0.026 ms
[1782114999.498533] seq=161 owd=0.043 ms
[1782114999.518542] seq=162 owd=0.046 ms
[1782114999.538543] seq=163 owd=0.054 ms
[1782114999.558531] seq=164 owd=0.043 ms
[1782114999.578519] seq=165 owd=0.034 ms
[1782114999.598515] seq=166 owd=0.031 ms
[1782114999.618515] seq=167 owd=0.031 ms
[1782114999.638582] seq=168 owd=0.096 ms
[1782114999.658517] seq=169 owd=0.033 ms
[1782114999.678519] seq=170 owd=0.032 ms
[1782114999.698526] seq=171 owd=0.037 ms
[1782114999.718511] seq=172 owd=0.025 ms
[1782114999.738506] seq=173 owd=0.024 ms
[1782114999.758529] seq=174 owd=0.038 ms
[1782114999.778516] seq=175 owd=0.031 ms
[1782114999.798512] seq=176 owd=0.028 ms
[1782114999.818506] seq=177 owd=0.023 ms
[1782114999.838509] seq=178 owd=0.027 ms
[1782114999.858564] seq=179 owd=0.067 ms
[1782114999.878575] seq=180 owd=0.081 ms
[1782114999.898549] seq=181 owd=0.057 ms
[1782114999.918555] seq=182 owd=0.061 ms
[1782114999.938544] seq=183 owd=0.052 ms
[1782114999.958542] seq=184 owd=0.048 ms
[1782114999.978604] seq=185 owd=0.058 ms
[1782114999.998557] seq=186 owd=0.059 ms
[1782115000.018574] seq=187 owd=0.068 ms
[1782115000.038523] seq=188 owd=0.033 ms
[1782115000.058510] seq=189 owd=0.027 ms
[1782115000.078558] seq=190 owd=0.060 ms
[1782115000.098544] seq=191 owd=0.049 ms
[1782115000.118528] seq=192 owd=0.041 ms
[1782115000.138512] seq=193 owd=0.026 ms
[1782115000.158535] seq=194 owd=0.047 ms
[1782115000.178552] seq=195 owd=0.060 ms
[1782115000.198525] seq=196 owd=0.039 ms
[1782115000.218539] seq=197 owd=0.045 ms
[1782115000.238551] seq=198 owd=0.049 ms
[1782115000.258565] seq=199 owd=0.066 ms
[1782115000.278573] seq=200 owd=0.071 ms
[1782115000.298582] seq=201 owd=0.077 ms
[1782115000.318563] seq=202 owd=0.061 ms
[1782115000.338549] seq=203 owd=0.054 ms
[1782115000.358569] seq=204 owd=0.062 ms
[1782115000.378530] seq=205 owd=0.038 ms
[1782115000.398572] seq=206 owd=0.077 ms
[1782115000.418526] seq=207 owd=0.035 ms
[1782115000.438520] seq=208 owd=0.033 ms
[1782115000.458521] seq=209 owd=0.035 ms
[1782115000.478515] seq=210 owd=0.031 ms
[1782115000.498511] seq=211 owd=0.027 ms
[1782115000.518553] seq=212 owd=0.063 ms
[1782115000.538517] seq=213 owd=0.031 ms
[1782115000.558515] seq=214 owd=0.027 ms
[1782115000.578517] seq=215 owd=0.032 ms
[1782115000.598508] seq=216 owd=0.024 ms
[1782115000.618531] seq=217 owd=0.043 ms
[1782115000.638509] seq=218 owd=0.024 ms
[1782115000.658522] seq=219 owd=0.032 ms
[1782115000.678534] seq=220 owd=0.045 ms
