time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,3694067668,3566312521,3528123835
2,4672792187,4557872611,4667575864
3,4681076031,4720585156,4594756891
4,4750021565,4587724675,4604271344
5,4561679243,4709754842,4762420304
6,4657251039,4730557125,4754070752
7,4569795735,4549372971,4760838720
8,4899013000,4600653121,4529564677
9,4752867619,4642984804,4760965854
10,4744284567,4763686215,4601963922
11,4588119771,4688448730,4600156322
12,4779649332,4609909607,4649476039
13,4564211063,4729452766,4778769456
14,4754052727,4508995824,4773158097
15,4686214296,4872249250,4542295551
16,4589547280,4705194097,4674542782
17,4352186115,4878200103,4831721946
18,4713723157,4608535882,4516717033
19,4606040087,4701328382,4822528563
20,4534745033,4593892675,4615368207
21,4602721500,4657316742,4736137669
22,4743898587,4605986183,4867051069
23,4621511878,4573670409,4575571870
24,4804150456,4664415500,4601066113
25,4648290908,4744167906,4628099135
26,4801693217,4673864831,4705167180
27,4650463551,4731481814,4563474914
28,4650858587,4787289607,4626949940
29,4724092149,4597519444,4614336555
30,4543893651,4887700539,4533658631
31,4728339484,4808666434,4535741601
32,4687390394,4773314891,4469036334
33,4633369100,4845920117,4658751806
34,4789641920,4725017645,4480077404
35,4785880047,4715402059,4611965511
36,4746565001,4709377762,4667692597
37,4793583247,4532877537,4630729715
38,4574917122,4717087239,4718934831
39,4721399476,4634267081,4700588215
40,4712044254,4620189440,4566437629
41,4674151844,4929539542,4598165223
42,4616586479,4697909646,4712407270
43,4774271434,4728941069,4676778326
44,4717535685,4686134634,4658437886
45,4534313761,4635288499,4665801615
46,4730415349,4773404505,4645172507
47,4617217747,4646764633,4773050360
48,4564776683,4550366852,4718373806
49,4605106252,5016733615,4665932850
50,4786696792,4620238258,4615637082
51,4905387372,4591791749,4666363745
52,4601569017,4598148366,4627354031
53,4561831870,4721417378,4646342609
54,4776102910,4753415282,4491704081
55,4665030214,4742855566,4671721203
56,4528217910,4672585613,4471413549
57,4448819836,4557346549,4568943665
58,4705669812,4512919249,4733771280
59,4671290684,4697938041,4653038455
60,4740962675,4666525350,4418855824
61,4805254025,4703014636,4479601920
62,4697311290,4591917519,4801214699
63,4610551572,4734908895,4715894342
64,4662242802,4680908247,4589412555
65,4805470235,4721875314,4650400705
66,4656191625,4573943310,4468926619
67,4627766946,4698990115,4617118934
68,4576627758,4704484705,4604612511
69,4577399874,4678933067,4733394147
70,4689022756,4797567460,4559848985
71,4677406792,4739355597,4627668187
72,4588398109,4769432268,4518593478
73,4570827188,4815344270,4678690290
74,4426918147,4735414217,4900045410
75,4562621996,4733950842,4585893145
76,4890519659,4572812071,4851429065
77,4833919389,4463995592,4732236141
78,4485718883,4527389574,4823712491
79,4535337533,4654315205,4747435876
80,4761711820,4469403177,4364494504
81,0,0,0
82,77,77,77
83,0,0,0
