# OWD receiver: AF42  port=5002
[1782115092.613716] seq=1 owd=0.185 ms
[1782115092.633780] seq=2 owd=0.084 ms
[1782115092.653692] seq=3 owd=0.137 ms
[1782115092.673633] seq=4 owd=0.076 ms
[1782115092.693614] seq=5 owd=0.058 ms
[1782115092.713611] seq=6 owd=0.057 ms
[1782115092.733599] seq=7 owd=0.055 ms
[1782115092.753681] seq=8 owd=0.048 ms
[1782115092.773589] seq=9 owd=0.046 ms
[1782115092.793598] seq=10 owd=0.049 ms
[1782115092.813586] seq=11 owd=0.041 ms
[1782115092.833573] seq=12 owd=0.031 ms
[1782115092.853573] seq=13 owd=0.034 ms
[1782115092.873583] seq=14 owd=0.037 ms
[1782115092.893578] seq=15 owd=0.037 ms
[1782115092.913569] seq=16 owd=0.030 ms
[1782115092.933582] seq=17 owd=0.037 ms
[1782115092.953589] seq=18 owd=0.041 ms
[1782115092.973576] seq=19 owd=0.034 ms
[1782115092.993589] seq=20 owd=0.043 ms
[1782115093.013596] seq=21 owd=0.050 ms
[1782115093.033590] seq=22 owd=0.044 ms
[1782115093.053593] seq=23 owd=0.048 ms
[1782115093.073576] seq=24 owd=0.035 ms
[1782115093.093581] seq=25 owd=0.037 ms
[1782115093.113571] seq=26 owd=0.032 ms
[1782115093.133579] seq=27 owd=0.028 ms
[1782115093.153564] seq=28 owd=0.023 ms
[1782115093.173559] seq=29 owd=0.021 ms
[1782115093.193561] seq=30 owd=0.022 ms
[1782115093.213581] seq=31 owd=0.039 ms
[1782115093.233571] seq=32 owd=0.031 ms
[1782115093.253589] seq=33 owd=0.042 ms
[1782115093.273577] seq=34 owd=0.036 ms
[1782115093.293642] seq=35 owd=0.096 ms
[1782115093.313604] seq=36 owd=0.055 ms
[1782115093.333594] seq=37 owd=0.049 ms
[1782115093.353629] seq=38 owd=0.076 ms
[1782115093.373619] seq=39 owd=0.063 ms
[1782115093.393608] seq=40 owd=0.057 ms
[1782115093.413617] seq=41 owd=0.065 ms
[1782115093.433611] seq=42 owd=0.064 ms
[1782115093.453632] seq=43 owd=0.074 ms
[1782115093.473627] seq=44 owd=0.068 ms
[1782115093.493649] seq=45 owd=0.089 ms
[1782115093.513648] seq=46 owd=0.083 ms
[1782115093.533660] seq=47 owd=0.087 ms
[1782115093.553645] seq=48 owd=0.082 ms
[1782115093.573661] seq=49 owd=0.095 ms
[1782115093.593648] seq=50 owd=0.085 ms
[1782115093.613651] seq=51 owd=0.083 ms
[1782115093.633660] seq=52 owd=0.087 ms
[1782115093.653636] seq=53 owd=0.078 ms
[1782115093.673602] seq=54 owd=0.050 ms
[1782115093.693708] seq=55 owd=0.062 ms
[1782115093.713589] seq=56 owd=0.042 ms
[1782115093.733582] seq=57 owd=0.039 ms
[1782115093.753628] seq=58 owd=0.065 ms
[1782115093.773585] seq=59 owd=0.039 ms
[1782115093.793628] seq=60 owd=0.062 ms
[1782115093.813591] seq=61 owd=0.042 ms
[1782115093.833585] seq=62 owd=0.041 ms
[1782115093.853579] seq=63 owd=0.037 ms
[1782115093.873681] seq=64 owd=0.065 ms
[1782115093.893591] seq=65 owd=0.041 ms
[1782115093.913579] seq=66 owd=0.036 ms
[1782115093.933584] seq=67 owd=0.037 ms
[1782115093.953579] seq=68 owd=0.036 ms
[1782115093.973573] seq=69 owd=0.033 ms
[1782115093.993574] seq=70 owd=0.035 ms
[1782115094.013580] seq=71 owd=0.039 ms
[1782115094.033581] seq=72 owd=0.040 ms
[1782115094.053585] seq=73 owd=0.042 ms
[1782115094.073576] seq=74 owd=0.036 ms
[1782115094.093579] seq=75 owd=0.039 ms
[1782115094.113580] seq=76 owd=0.036 ms
[1782115094.133685] seq=77 owd=0.065 ms
[1782115094.153693] seq=78 owd=0.074 ms
[1782115094.173595] seq=79 owd=0.049 ms
[1782115094.193584] seq=80 owd=0.040 ms
[1782115094.213583] seq=81 owd=0.037 ms
[1782115094.233574] seq=82 owd=0.031 ms
[1782115094.253576] seq=83 owd=0.033 ms
[1782115094.273574] seq=84 owd=0.030 ms
[1782115094.293562] seq=85 owd=0.026 ms
[1782115094.313614] seq=86 owd=0.059 ms
[1782115094.333576] seq=87 owd=0.028 ms
[1782115094.353580] seq=88 owd=0.037 ms
[1782115094.373670] seq=89 owd=0.038 ms
[1782115094.393586] seq=90 owd=0.032 ms
[1782115094.413562] seq=91 owd=0.023 ms
[1782115094.433568] seq=92 owd=0.031 ms
[1782115094.453570] seq=93 owd=0.029 ms
[1782115094.473609] seq=94 owd=0.064 ms
[1782115094.493592] seq=95 owd=0.050 ms
[1782115094.513572] seq=96 owd=0.032 ms
[1782115094.533561] seq=97 owd=0.023 ms
[1782115094.553568] seq=98 owd=0.031 ms
[1782115094.573587] seq=99 owd=0.050 ms
[1782115094.593614] seq=100 owd=0.062 ms
[1782115094.613633] seq=101 owd=0.075 ms
[1782115094.633617] seq=102 owd=0.063 ms
[1782115094.653639] seq=103 owd=0.084 ms
[1782115094.673633] seq=104 owd=0.067 ms
[1782115094.693620] seq=105 owd=0.062 ms
[1782115094.713609] seq=106 owd=0.056 ms
[1782115094.733647] seq=107 owd=0.082 ms
[1782115094.753634] seq=108 owd=0.073 ms
[1782115094.773638] seq=109 owd=0.078 ms
[1782115094.793645] seq=110 owd=0.079 ms
[1782115094.813710] seq=111 owd=0.153 ms
[1782115094.833579] seq=112 owd=0.035 ms
[1782115094.853571] seq=113 owd=0.031 ms
[1782115094.873565] seq=114 owd=0.028 ms
[1782115094.893569] seq=115 owd=0.028 ms
[1782115094.913568] seq=116 owd=0.028 ms
[1782115094.933584] seq=117 owd=0.042 ms
[1782115094.953632] seq=118 owd=0.090 ms
[1782115094.973638] seq=119 owd=0.101 ms
[1782115094.993572] seq=120 owd=0.035 ms
[1782115095.013572] seq=121 owd=0.034 ms
[1782115095.033640] seq=122 owd=0.098 ms
[1782115095.053594] seq=123 owd=0.050 ms
[1782115095.073580] seq=124 owd=0.037 ms
[1782115095.093574] seq=125 owd=0.035 ms
[1782115095.113584] seq=126 owd=0.042 ms
[1782115095.133693] seq=127 owd=0.041 ms
[1782115095.153661] seq=128 owd=0.056 ms
[1782115095.173585] seq=129 owd=0.037 ms
[1782115095.193572] seq=130 owd=0.032 ms
[1782115095.213567] seq=131 owd=0.029 ms
[1782115095.233569] seq=132 owd=0.030 ms
[1782115095.253573] seq=133 owd=0.033 ms
[1782115095.273571] seq=134 owd=0.031 ms
[1782115095.293566] seq=135 owd=0.027 ms
[1782115095.313562] seq=136 owd=0.024 ms
[1782115095.333565] seq=137 owd=0.027 ms
[1782115095.353576] seq=138 owd=0.037 ms
[1782115095.373568] seq=139 owd=0.029 ms
[1782115095.393567] seq=140 owd=0.030 ms
[1782115095.413625] seq=141 owd=0.087 ms
[1782115095.433565] seq=142 owd=0.027 ms
[1782115095.453578] seq=143 owd=0.033 ms
[1782115095.473592] seq=144 owd=0.045 ms
[1782115095.493576] seq=145 owd=0.032 ms
[1782115095.513572] seq=146 owd=0.033 ms
[1782115095.533578] seq=147 owd=0.040 ms
[1782115095.553564] seq=148 owd=0.025 ms
[1782115095.573570] seq=149 owd=0.029 ms
[1782115095.593575] seq=150 owd=0.036 ms
[1782115095.613714] seq=151 owd=0.093 ms
[1782115095.633624] seq=152 owd=0.062 ms
[1782115095.653646] seq=153 owd=0.082 ms
[1782115095.673598] seq=154 owd=0.048 ms
[1782115095.693642] seq=155 owd=0.083 ms
[1782115095.713635] seq=156 owd=0.075 ms
[1782115095.733627] seq=157 owd=0.070 ms
[1782115095.753633] seq=158 owd=0.077 ms
[1782115095.773648] seq=159 owd=0.086 ms
[1782115095.793636] seq=160 owd=0.070 ms
[1782115095.813643] seq=161 owd=0.083 ms
[1782115095.833653] seq=162 owd=0.091 ms
[1782115095.853603] seq=163 owd=0.048 ms
[1782115095.873590] seq=164 owd=0.041 ms
[1782115095.893636] seq=165 owd=0.082 ms
[1782115095.913624] seq=166 owd=0.058 ms
[1782115095.933649] seq=167 owd=0.083 ms
[1782115095.953655] seq=168 owd=0.088 ms
[1782115095.973639] seq=169 owd=0.077 ms
[1782115095.993598] seq=170 owd=0.049 ms
[1782115096.013607] seq=171 owd=0.056 ms
[1782115096.033584] seq=172 owd=0.035 ms
