time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,3797579175,3648332287,3693949244
2,4550014660,4687624199,4741950849
3,4562765591,4758981697,4608490992
4,4517254429,4777700784,4625826041
5,4645256314,4764215922,4712143067
6,4586620448,4702716099,4529852000
7,4623646003,4690012027,4511078741
8,4496308115,4743604464,4777719264
9,4613069816,4767232613,4700417631
10,4687992011,4578908193,4716030525
11,4678788897,4565983844,4596918511
12,4560395376,4763802930,4744805296
13,4588990585,4573341778,4611265221
14,4596262836,4815094798,4603032314
15,4683637639,4720744021,4509292155
16,4550959484,4663490834,4939037322
17,4648365526,4597384853,4690305291
18,4643433709,4553329621,4757590093
19,4636938877,4661361884,4567795613
20,4548203133,4595329115,4587491298
21,4856178474,4648012533,4513781145
22,4637055422,4532044565,4399570157
23,4613009120,4437097152,4563732587
24,4435905266,4568305071,4787505135
25,4757706808,4736590346,4498617155
26,4528074338,4828912099,4795827846
27,4629616432,4712340531,4668401770
28,4417822386,4579500413,4755430320
29,4795728784,4615780589,4585267580
30,4806107679,4376075237,4758514836
31,4628135047,4535086147,4679615402
32,4757545203,4632588179,4697454862
33,4634886569,4648937330,4752580320
34,4835627685,4574993747,4595293256
35,4577211334,4547673426,4897791910
36,4672501598,4639109436,4745268388
37,4799338201,4416045737,4801286446
38,4684840703,4616077476,4716012623
39,4681581603,4543714089,4764278838
40,4647276330,4499856131,4669191842
41,4649835085,4525066601,4829746984
42,4628395412,4598453585,4610852229
43,4723617063,4588038908,4659513464
44,4575249022,4710988161,4589348545
45,4550176496,4617929712,4709615483
46,4816908396,4544854384,4678987013
47,4528990025,4733852083,4597519768
48,4588820055,4734166262,4688503709
49,4510818376,4593533498,4710410296
50,4507854756,4625054694,4735186939
51,4669865199,4647761147,4693926474
52,4468791948,4708471029,4705220908
53,4745891699,4481603679,4591369832
54,4664101266,4666695934,4630433438
55,4614892368,4634114454,4701495001
56,4693621296,4679507743,4593021824
57,4655684356,4462668210,4752443592
58,4617520658,4683650179,4631987904
59,4526747216,4772668548,4514938247
60,4540332063,4919520997,4639844829
61,4672666362,4394130241,4641808675
62,4525703426,4713974943,4583644109
63,4638711235,4660994848,4559919591
64,4687085171,4570181492,4686645245
65,4538340911,4726083247,4568683560
66,4662988061,4730997129,4585157061
67,4540607725,4746861278,4607718930
68,4670951547,4681123721,4552728089
69,4634778832,4699088874,4672603515
70,4727769448,4661559152,4506733611
71,4655868360,4743431703,4485715643
72,4664200079,4575137396,4558357404
73,4463988671,4829809830,4781337135
74,4685549918,4461295245,4677218252
75,4624704377,4533435441,4642795099
76,4645444932,4587670884,4729722187
77,4617726895,4589133231,4659164441
78,4677478617,4677676135,4699474932
79,4522049964,4609801792,4805586950
80,4450342654,4523173063,4392829350
81,0,0,0
82,0,0,0
83,0,0,0
