# OWD receiver: AF43  port=5003
[1782114902.330899] seq=1 owd=0.072 ms
[1782114902.350899] seq=2 owd=0.055 ms
[1782114902.370875] seq=3 owd=0.038 ms
[1782114902.390887] seq=4 owd=0.048 ms
[1782114902.410875] seq=5 owd=0.034 ms
[1782114902.430877] seq=6 owd=0.044 ms
[1782114902.450857] seq=7 owd=0.026 ms
[1782114902.470877] seq=8 owd=0.037 ms
[1782114902.490883] seq=9 owd=0.043 ms
[1782114902.510948] seq=10 owd=0.092 ms
[1782114902.530946] seq=11 owd=0.092 ms
[1782114902.550910] seq=12 owd=0.062 ms
[1782114902.570882] seq=13 owd=0.037 ms
[1782114902.590887] seq=14 owd=0.046 ms
[1782114902.610877] seq=15 owd=0.040 ms
[1782114902.630879] seq=16 owd=0.040 ms
[1782114902.650871] seq=17 owd=0.032 ms
[1782114902.670893] seq=18 owd=0.056 ms
[1782114902.690880] seq=19 owd=0.041 ms
[1782114902.710877] seq=20 owd=0.038 ms
[1782114902.730873] seq=21 owd=0.035 ms
[1782114902.750879] seq=22 owd=0.038 ms
[1782114902.770880] seq=23 owd=0.038 ms
[1782114902.790879] seq=24 owd=0.038 ms
[1782114902.810874] seq=25 owd=0.032 ms
[1782114902.830861] seq=26 owd=0.027 ms
[1782114902.850865] seq=27 owd=0.029 ms
[1782114902.870869] seq=28 owd=0.033 ms
[1782114902.890862] seq=29 owd=0.028 ms
[1782114902.910859] seq=30 owd=0.025 ms
[1782114902.930861] seq=31 owd=0.028 ms
[1782114902.950864] seq=32 owd=0.029 ms
[1782114902.970869] seq=33 owd=0.031 ms
[1782114902.990870] seq=34 owd=0.031 ms
[1782114903.010871] seq=35 owd=0.032 ms
[1782114903.030871] seq=36 owd=0.032 ms
[1782114903.050861] seq=37 owd=0.025 ms
[1782114903.070865] seq=38 owd=0.029 ms
[1782114903.090887] seq=39 owd=0.046 ms
[1782114903.110883] seq=40 owd=0.040 ms
[1782114903.130874] seq=41 owd=0.034 ms
[1782114903.150886] seq=42 owd=0.039 ms
[1782114903.170864] seq=43 owd=0.027 ms
[1782114903.190872] seq=44 owd=0.034 ms
[1782114903.210881] seq=45 owd=0.041 ms
[1782114903.230873] seq=46 owd=0.035 ms
[1782114903.250955] seq=47 owd=0.057 ms
[1782114903.270872] seq=48 owd=0.035 ms
[1782114903.290876] seq=49 owd=0.039 ms
[1782114903.310865] seq=50 owd=0.026 ms
[1782114903.330854] seq=51 owd=0.021 ms
[1782114903.350853] seq=52 owd=0.021 ms
[1782114903.370857] seq=53 owd=0.024 ms
[1782114903.390859] seq=54 owd=0.027 ms
[1782114903.410860] seq=55 owd=0.026 ms
[1782114903.430857] seq=56 owd=0.024 ms
[1782114903.450853] seq=57 owd=0.022 ms
[1782114903.470854] seq=58 owd=0.022 ms
[1782114903.490855] seq=59 owd=0.023 ms
[1782114903.510853] seq=60 owd=0.023 ms
[1782114903.530856] seq=61 owd=0.024 ms
[1782114903.550855] seq=62 owd=0.024 ms
[1782114903.570858] seq=63 owd=0.025 ms
[1782114903.590856] seq=64 owd=0.023 ms
[1782114903.610859] seq=65 owd=0.027 ms
[1782114903.630867] seq=66 owd=0.036 ms
[1782114903.650873] seq=67 owd=0.033 ms
[1782114903.670895] seq=68 owd=0.052 ms
[1782114903.690881] seq=69 owd=0.040 ms
[1782114903.710925] seq=70 owd=0.074 ms
[1782114903.730929] seq=71 owd=0.075 ms
[1782114903.750923] seq=72 owd=0.070 ms
[1782114903.770919] seq=73 owd=0.071 ms
[1782114903.790915] seq=74 owd=0.063 ms
[1782114903.810931] seq=75 owd=0.078 ms
[1782114903.830930] seq=76 owd=0.076 ms
[1782114903.850902] seq=77 owd=0.055 ms
[1782114903.870871] seq=78 owd=0.035 ms
[1782114903.890886] seq=79 owd=0.048 ms
[1782114903.910866] seq=80 owd=0.031 ms
[1782114903.930868] seq=81 owd=0.036 ms
[1782114903.950875] seq=82 owd=0.041 ms
