time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,3431180580,3583112766,3404361874
2,4549747364,4633288470,4733690424
3,4535193884,4893114326,4616696964
4,4463055073,4825868450,4621590021
5,4649107860,4611642354,4718849715
6,4812778517,4485518314,4664945380
7,4796831936,4589913548,4629817315
8,4642015225,4690595603,4599162758
9,4648437279,4721778053,4622570238
10,4662431342,4832395573,4604540687
11,4495798035,4834675954,4672881836
12,4631808467,4768543223,4622902097
13,4365867205,4944774243,4752194262
14,4576468786,4706853434,4722047128
15,4543677558,4676663207,4827282268
16,4629691878,4698870965,4688547522
17,4697139894,4891124708,4627637810
18,4603759539,4626124009,4747579525
19,4885384396,4575051659,4600506173
20,4753887625,4528125044,4703122212
21,4712152045,4679516643,4619803382
22,4718966360,4691547280,4682470434
23,4738783570,4689417399,4571670342
24,4514696910,4825814581,4734893488
25,4511496232,4557848821,4883447058
26,4586656414,4764359649,4580928340
27,4439873527,4746565055,4837126972
28,4529376083,4460882252,4703820380
29,4606237408,4429733422,4461206185
30,4732433575,4705256769,4599173762
31,4562880571,4833192887,4660052334
32,4627515559,4723886406,4779963488
33,4822636338,4833499824,4423677111
34,4638379045,4750443535,4670035782
35,4542124968,4814107155,4777602250
36,4449982986,4605088374,4833939870
37,4662566083,4758838101,4539126356
38,4651711020,4440424654,4848503287
39,4554550641,4708830099,4622353159
40,4600757309,4733366200,4708799687
41,4586360005,4630864456,4617576816
42,4609783836,4880293713,4666166280
43,4569903365,4762749150,4714737267
44,4840628468,4858791097,4483731486
45,4540650219,4818322705,4698282827
46,4739267982,4710351482,4754910187
47,4598245892,4602981605,4909269307
48,4569275524,4674959068,4640499578
49,4655087320,4616194191,4793753830
50,4725277956,4613716239,4657286898
51,4781938667,4570379063,4785808223
52,4669658298,4869275795,4607950571
53,4691717864,4465299472,4743467561
54,4638208515,4858728250,4804006806
55,4718522250,4536080738,4708351229
56,4796725655,4532285061,4712681830
57,4587886519,4617152869,4651827619
58,4635811312,4782028448,4549145832
59,4593048735,4600509472,4805955051
60,4578388185,4741833136,4744990224
61,4572363167,4666184183,4781049890
62,4606909343,4621890862,4709898326
63,4582382766,4937510970,4628853294
64,4459068679,4824701352,4510360494
65,4630454125,4555471996,4717437036
66,4817703235,4684367789,4605968411
67,4665331318,4772332113,4529034916
68,4599106931,4642894342,4690081062
69,4455911375,4813236095,4672229401
70,4446984173,4803432209,4814762651
71,4585312372,4643181355,4726074278
72,4627045900,4843534322,4495889904
73,4697390923,4762372499,4677362801
74,4630559131,4818272988,4745766005
75,4610847554,4592084083,4695112758
76,4664864535,4788474792,4637265840
77,4599198671,4728285615,4678394382
78,4576466153,4612225930,4620108637
79,4597097840,4677900951,4734586059
80,4527898344,4614587536,4584130514
81,0,0,0
82,0,0,0
83,0,0,0
