time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,1:1,8816
1,LER_Ingress,leri-cr1,1:2,4433
1,LER_Ingress,leri-cr1,1:3,2190
1,LER_Ingress,leri-cr2,1:1,0
1,LER_Ingress,leri-cr2,1:2,0
1,LER_Ingress,leri-cr2,1:3,0
1,LER_Ingress,leri-cr3,1:1,0
1,LER_Ingress,leri-cr3,1:2,0
1,LER_Ingress,leri-cr3,1:3,0
1,CR1,cr1-lere,1:1,0
1,CR1,cr1-lere,1:2,0
1,CR1,cr1-lere,1:3,0
1,CR2,cr2-lere,1:1,0
1,CR2,cr2-lere,1:2,0
1,CR2,cr2-lere,1:3,0
1,CR3,cr3-lere,1:1,0
1,CR3,cr3-lere,1:2,0
1,CR3,cr3-lere,1:3,0
3,LER_Ingress,leri-cr1,1:1,16900
3,LER_Ingress,leri-cr1,1:2,8490
3,LER_Ingress,leri-cr1,1:3,4281
3,LER_Ingress,leri-cr2,1:1,0
3,LER_Ingress,leri-cr2,1:2,0
3,LER_Ingress,leri-cr2,1:3,0
3,LER_Ingress,leri-cr3,1:1,0
3,LER_Ingress,leri-cr3,1:2,0
3,LER_Ingress,leri-cr3,1:3,0
3,CR1,cr1-lere,1:1,0
3,CR1,cr1-lere,1:2,0
3,CR1,cr1-lere,1:3,0
3,CR2,cr2-lere,1:1,0
3,CR2,cr2-lere,1:2,0
3,CR2,cr2-lere,1:3,0
3,CR3,cr3-lere,1:1,0
3,CR3,cr3-lere,1:2,0
3,CR3,cr3-lere,1:3,0
4,LER_Ingress,leri-cr1,1:1,16614
4,LER_Ingress,leri-cr1,1:2,8343
4,LER_Ingress,leri-cr1,1:3,4198
4,LER_Ingress,leri-cr2,1:1,0
4,LER_Ingress,leri-cr2,1:2,0
4,LER_Ingress,leri-cr2,1:3,0
4,LER_Ingress,leri-cr3,1:1,0
4,LER_Ingress,leri-cr3,1:2,0
4,LER_Ingress,leri-cr3,1:3,0
4,CR1,cr1-lere,1:1,0
4,CR1,cr1-lere,1:2,0
4,CR1,cr1-lere,1:3,0
4,CR2,cr2-lere,1:1,0
4,CR2,cr2-lere,1:2,0
4,CR2,cr2-lere,1:3,0
4,CR3,cr3-lere,1:1,0
4,CR3,cr3-lere,1:2,0
4,CR3,cr3-lere,1:3,0
6,LER_Ingress,leri-cr1,1:1,16489
6,LER_Ingress,leri-cr1,1:2,8276
6,LER_Ingress,leri-cr1,1:3,4164
6,LER_Ingress,leri-cr2,1:1,0
6,LER_Ingress,leri-cr2,1:2,0
6,LER_Ingress,leri-cr2,1:3,0
6,LER_Ingress,leri-cr3,1:1,0
6,LER_Ingress,leri-cr3,1:2,0
6,LER_Ingress,leri-cr3,1:3,0
6,CR1,cr1-lere,1:1,0
6,CR1,cr1-lere,1:2,0
6,CR1,cr1-lere,1:3,0
6,CR2,cr2-lere,1:1,0
6,CR2,cr2-lere,1:2,0
6,CR2,cr2-lere,1:3,0
6,CR3,cr3-lere,1:1,0
6,CR3,cr3-lere,1:2,0
6,CR3,cr3-lere,1:3,0
8,LER_Ingress,leri-cr1,1:1,16774
8,LER_Ingress,leri-cr1,1:2,8421
8,LER_Ingress,leri-cr1,1:3,4244
8,LER_Ingress,leri-cr2,1:1,0
8,LER_Ingress,leri-cr2,1:2,0
8,LER_Ingress,leri-cr2,1:3,0
8,LER_Ingress,leri-cr3,1:1,0
8,LER_Ingress,leri-cr3,1:2,0
8,LER_Ingress,leri-cr3,1:3,0
8,CR1,cr1-lere,1:1,0
8,CR1,cr1-lere,1:2,0
8,CR1,cr1-lere,1:3,0
8,CR2,cr2-lere,1:1,0
8,CR2,cr2-lere,1:2,0
8,CR2,cr2-lere,1:3,0
8,CR3,cr3-lere,1:1,0
8,CR3,cr3-lere,1:2,0
8,CR3,cr3-lere,1:3,0
9,LER_Ingress,leri-cr1,1:1,16825
9,LER_Ingress,leri-cr1,1:2,8449
9,LER_Ingress,leri-cr1,1:3,4265
