time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1437766344,666330490,256264696
2,1785016720,892418726,446182736
3,1785973970,892892770,446433582
4,1785347554,892579615,446263154
5,1782607510,891227618,445586940
6,1787313731,893567557,446761507
7,1784416931,892123627,446039418
8,1785839385,892821245,446388254
9,1784300778,892070051,446012684
10,1784412846,892112624,446043011
11,1786892982,893361165,446653956
12,1784384984,892134223,446044828
13,1785982756,892874875,446415203
14,1785097245,892454193,446200738
15,1785096762,892454461,446209416
16,1783150057,891494460,445725159
17,1785217514,892523842,446239870
18,1786815120,893304236,446629992
19,1784627636,892237707,446096695
20,1770932862,880983946,440599743
21,0,0,0
22,0,41,0
23,0,0,0
24,0,0,0
25,0,0,0
26,77,77,77
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,77,77,77
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1746248280,898332921,431616752
43,1785369681,892595403,446275463
44,1785623503,892726975,446341163
45,1784730246,892275408,446120266
46,1785786155,892803375,446370706
47,1785177544,892499400,446227568
48,1785714284,892776348,446370521
49,1784001842,891898264,445926974
50,1786268907,893071715,446504730
51,1784403854,892085916,446034019
52,1783983805,891915872,445926759
53,1786859749,893358296,446648101
54,1784564638,892174870,446078819
55,1784833433,892327091,446141602
56,1786472065,893146456,446555515
57,1783277942,891540729,445747938
58,1785346528,892592979,446269996
59,1786466230,893170511,446549359
60,1785258189,892517253,446245420
61,857855021,66147831,116950777
62,0,0,0
63,0,0,0
