# OWD receiver: AF42  port=5002
[1782128849.541478] seq=1 owd=10.284 ms
[1782128849.561295] seq=2 owd=10.086 ms
[1782128849.581357] seq=3 owd=10.137 ms
[1782128849.601411] seq=4 owd=10.191 ms
[1782128849.621327] seq=5 owd=10.103 ms
[1782128849.641374] seq=6 owd=10.125 ms
[1782128849.661325] seq=7 owd=10.112 ms
[1782128849.681551] seq=8 owd=10.329 ms
[1782128849.701375] seq=9 owd=10.144 ms
[1782128849.721353] seq=10 owd=10.130 ms
[1782128849.744806] seq=11 owd=13.579 ms
[1782128849.768522] seq=12 owd=17.291 ms
[1782128849.809907] seq=14 owd=18.681 ms
[1782128849.871459] seq=17 owd=20.242 ms
[1782128849.891448] seq=18 owd=20.233 ms
[1782128849.931526] seq=20 owd=20.243 ms
[1782128849.971507] seq=22 owd=20.276 ms
[1782128850.011496] seq=24 owd=20.266 ms
[1782128850.071479] seq=27 owd=20.247 ms
[1782128850.091479] seq=28 owd=20.225 ms
[1782128850.151511] seq=31 owd=20.285 ms
[1782128850.291487] seq=38 owd=20.255 ms
[1782128850.351786] seq=41 owd=20.550 ms
[1782128850.471459] seq=47 owd=20.234 ms
[1782128850.631502] seq=55 owd=20.245 ms
[1782128850.691491] seq=58 owd=20.255 ms
[1782128850.711472] seq=59 owd=20.243 ms
[1782128850.751497] seq=61 owd=20.263 ms
[1782128850.791489] seq=63 owd=20.252 ms
[1782128850.891498] seq=68 owd=20.277 ms
[1782128851.011501] seq=74 owd=20.268 ms
[1782128851.031476] seq=75 owd=20.236 ms
[1782128851.291485] seq=88 owd=20.259 ms
[1782128851.491516] seq=98 owd=20.277 ms
[1782128851.531462] seq=100 owd=20.243 ms
[1782128851.571474] seq=102 owd=20.250 ms
[1782128851.811455] seq=114 owd=20.236 ms
[1782128851.891462] seq=118 owd=20.258 ms
[1782128851.951481] seq=121 owd=20.246 ms
[1782128851.971477] seq=122 owd=20.249 ms
[1782128852.111464] seq=129 owd=20.246 ms
[1782128852.131463] seq=130 owd=20.236 ms
[1782128852.271501] seq=137 owd=20.266 ms
[1782128852.311933] seq=139 owd=20.700 ms
[1782128852.331481] seq=140 owd=20.245 ms
[1782128852.391505] seq=143 owd=20.269 ms
[1782128852.411526] seq=144 owd=20.282 ms
[1782128852.471491] seq=147 owd=20.263 ms
[1782128852.491498] seq=148 owd=20.266 ms
[1782128852.551492] seq=151 owd=20.262 ms
[1782128852.591508] seq=153 owd=20.277 ms
[1782128852.691491] seq=158 owd=20.265 ms
[1782128852.811479] seq=164 owd=20.256 ms
[1782128852.851497] seq=166 owd=20.265 ms
[1782128852.951474] seq=171 owd=20.245 ms
[1782128852.991495] seq=173 owd=20.260 ms
[1782128853.014539] seq=174 owd=23.306 ms
[1782128853.111492] seq=179 owd=20.258 ms
[1782128853.151511] seq=181 owd=20.276 ms
[1782128853.271493] seq=187 owd=20.266 ms
[1782128853.291511] seq=188 owd=20.280 ms
[1782128853.332563] seq=190 owd=21.334 ms
[1782128853.391479] seq=193 owd=20.258 ms
[1782128853.411478] seq=194 owd=20.247 ms
[1782128853.431475] seq=195 owd=20.237 ms
[1782128853.511471] seq=199 owd=20.248 ms
[1782128853.551463] seq=201 owd=20.253 ms
[1782128853.751498] seq=211 owd=20.268 ms
[1782128853.791476] seq=213 owd=20.248 ms
[1782128853.871480] seq=217 owd=20.255 ms
[1782128853.891465] seq=218 owd=20.246 ms
[1782128854.071491] seq=227 owd=20.261 ms
[1782128854.091477] seq=228 owd=20.246 ms
[1782128854.111476] seq=229 owd=20.245 ms
[1782128854.171501] seq=232 owd=20.270 ms
[1782128854.211478] seq=234 owd=20.254 ms
[1782128854.231478] seq=235 owd=20.246 ms
[1782128854.351453] seq=241 owd=20.234 ms
[1782128854.471473] seq=247 owd=20.252 ms
[1782128854.491471] seq=248 owd=20.244 ms
[1782128854.551481] seq=251 owd=20.266 ms
[1782128854.611493] seq=254 owd=20.274 ms
[1782128854.631473] seq=255 owd=20.249 ms
[1782128854.891488] seq=268 owd=20.248 ms
[1782128854.951475] seq=271 owd=20.251 ms
[1782128854.971456] seq=272 owd=20.232 ms
[1782128854.991476] seq=273 owd=20.253 ms
[1782128855.031469] seq=275 owd=20.247 ms
[1782128855.051492] seq=276 owd=20.267 ms
[1782128855.171488] seq=282 owd=20.252 ms
[1782128855.191499] seq=283 owd=20.243 ms
[1782128855.531506] seq=300 owd=20.271 ms
[1782128855.551477] seq=301 owd=20.240 ms
[1782128855.571509] seq=302 owd=20.245 ms
[1782128855.611474] seq=304 owd=20.237 ms
[1782128855.731502] seq=310 owd=20.272 ms
[1782128855.771501] seq=312 owd=20.276 ms
[1782128855.811483] seq=314 owd=20.252 ms
[1782128855.831512] seq=315 owd=20.254 ms
[1782128855.851450] seq=316 owd=20.231 ms
[1782128855.871488] seq=317 owd=20.239 ms
[1782128855.911466] seq=319 owd=20.237 ms
[1782128855.931458] seq=320 owd=20.236 ms
[1782128855.991505] seq=323 owd=20.280 ms
[1782128856.011480] seq=324 owd=20.250 ms
[1782128856.131484] seq=330 owd=20.252 ms
[1782128856.172032] seq=332 owd=20.802 ms
[1782128856.251513] seq=336 owd=20.278 ms
[1782128856.311467] seq=339 owd=20.246 ms
[1782128856.351499] seq=341 owd=20.266 ms
[1782128856.451484] seq=346 owd=20.250 ms
[1782128856.471469] seq=347 owd=20.240 ms
[1782128856.571502] seq=352 owd=20.265 ms
[1782128856.671517] seq=357 owd=20.262 ms
[1782128856.852216] seq=366 owd=20.975 ms
[1782128856.891502] seq=368 owd=20.265 ms
[1782128856.991497] seq=373 owd=20.269 ms
[1782128857.091512] seq=378 owd=20.282 ms
[1782128857.111489] seq=379 owd=20.258 ms
[1782128857.151747] seq=381 owd=20.546 ms
[1782128857.171507] seq=382 owd=20.275 ms
[1782128857.191471] seq=383 owd=20.240 ms
[1782128857.271495] seq=387 owd=20.265 ms
[1782128857.391499] seq=393 owd=20.283 ms
[1782128857.471472] seq=397 owd=20.246 ms
[1782128857.511505] seq=399 owd=20.251 ms
[1782128857.671478] seq=407 owd=20.249 ms
[1782128857.711511] seq=409 owd=20.278 ms
[1782128857.811506] seq=414 owd=20.273 ms
[1782128857.892013] seq=418 owd=20.785 ms
[1782128858.071512] seq=427 owd=20.274 ms
[1782128858.091483] seq=428 owd=20.248 ms
[1782128858.131504] seq=430 owd=20.271 ms
[1782128858.171501] seq=432 owd=20.257 ms
[1782128858.211505] seq=434 owd=20.262 ms
[1782128858.331485] seq=440 owd=20.258 ms
[1782128858.391491] seq=443 owd=20.259 ms
[1782128858.571486] seq=452 owd=20.251 ms
[1782128858.591477] seq=453 owd=20.259 ms
[1782128858.611484] seq=454 owd=20.251 ms
[1782128858.691475] seq=458 owd=20.247 ms
[1782128858.851476] seq=466 owd=20.248 ms
[1782128858.871454] seq=467 owd=20.224 ms
[1782128858.931531] seq=470 owd=20.269 ms
[1782128859.172045] seq=482 owd=20.810 ms
[1782128859.272264] seq=487 owd=21.028 ms
[1782128859.371513] seq=492 owd=20.278 ms
[1782128859.391495] seq=493 owd=20.256 ms
[1782128859.411510] seq=494 owd=20.278 ms
[1782128859.431520] seq=495 owd=20.278 ms
[1782128859.511485] seq=499 owd=20.252 ms
[1782128859.651517] seq=506 owd=20.277 ms
[1782128859.691494] seq=508 owd=20.267 ms
[1782128859.711462] seq=509 owd=20.238 ms
[1782128859.731477] seq=510 owd=20.243 ms
[1782128859.931479] seq=520 owd=20.255 ms
[1782128859.971488] seq=522 owd=20.263 ms
[1782128860.031488] seq=525 owd=20.261 ms
[1782128860.051479] seq=526 owd=20.258 ms
[1782128860.191493] seq=533 owd=20.271 ms
[1782128860.211456] seq=534 owd=20.231 ms
[1782128860.231469] seq=535 owd=20.247 ms
[1782128860.471490] seq=547 owd=20.260 ms
[1782128860.531514] seq=550 owd=20.280 ms
[1782128860.673130] seq=557 owd=21.899 ms
[1782128860.751511] seq=561 owd=20.276 ms
[1782128860.771469] seq=562 owd=20.234 ms
[1782128860.831489] seq=565 owd=20.257 ms
[1782128860.891538] seq=568 owd=20.278 ms
[1782128860.951495] seq=571 owd=20.261 ms
[1782128861.151484] seq=581 owd=20.253 ms
[1782128861.171462] seq=582 owd=20.243 ms
[1782128861.191484] seq=583 owd=20.254 ms
[1782128861.211534] seq=584 owd=20.254 ms
[1782128861.391490] seq=593 owd=20.262 ms
[1782128861.411476] seq=594 owd=20.251 ms
[1782128861.591479] seq=603 owd=20.246 ms
[1782128861.611491] seq=604 owd=20.261 ms
[1782128861.631488] seq=605 owd=20.250 ms
[1782128861.671507] seq=607 owd=20.274 ms
[1782128861.691517] seq=608 owd=20.286 ms
[1782128861.711485] seq=609 owd=20.249 ms
[1782128861.831500] seq=615 owd=20.261 ms
[1782128861.931532] seq=620 owd=20.263 ms
[1782128862.072777] seq=627 owd=21.556 ms
[1782128862.091469] seq=628 owd=20.245 ms
[1782128862.131522] seq=630 owd=20.261 ms
[1782128862.211490] seq=634 owd=20.255 ms
[1782128862.531516] seq=650 owd=20.277 ms
[1782128862.571480] seq=652 owd=20.253 ms
[1782128862.591474] seq=653 owd=20.247 ms
[1782128862.671553] seq=657 owd=20.324 ms
[1782128862.731498] seq=660 owd=20.268 ms
[1782128862.751517] seq=661 owd=20.285 ms
[1782128862.811495] seq=664 owd=20.261 ms
[1782128862.991502] seq=673 owd=20.278 ms
[1782128863.091489] seq=678 owd=20.262 ms
[1782128863.151495] seq=681 owd=20.245 ms
[1782128863.171455] seq=682 owd=20.235 ms
[1782128863.231497] seq=685 owd=20.267 ms
[1782128863.271478] seq=687 owd=20.250 ms
[1782128863.291487] seq=688 owd=20.256 ms
[1782128863.411495] seq=694 owd=20.239 ms
[1782128863.491476] seq=698 owd=20.244 ms
[1782128863.511536] seq=699 owd=20.309 ms
[1782128863.531461] seq=700 owd=20.234 ms
[1782128863.611507] seq=704 owd=20.280 ms
[1782128863.631495] seq=705 owd=20.265 ms
[1782128863.751477] seq=711 owd=20.249 ms
[1782128863.771449] seq=712 owd=20.241 ms
[1782128863.891490] seq=718 owd=20.261 ms
[1782128863.931479] seq=720 owd=20.254 ms
[1782128864.191493] seq=733 owd=20.261 ms
[1782128864.231496] seq=735 owd=20.263 ms
[1782128864.331487] seq=740 owd=20.258 ms
[1782128864.371497] seq=742 owd=20.269 ms
[1782128864.411491] seq=744 owd=20.267 ms
[1782128864.491501] seq=748 owd=20.268 ms
[1782128864.531476] seq=750 owd=20.262 ms
[1782128864.571483] seq=752 owd=20.262 ms
[1782128864.671514] seq=757 owd=20.261 ms
[1782128864.731485] seq=760 owd=20.262 ms
[1782128864.751456] seq=761 owd=20.237 ms
