time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1452242002,678947372,261038231
2,1783778759,891719121,445837214
3,1787351902,893662288,446809205
4,1784672381,892246860,446105473
5,1784935818,892374097,446164734
6,1782400063,891119505,445537455
7,1787967723,893890009,446913685
8,1785307631,892555270,446250605
9,1784219984,892024993,445994736
10,1785486119,892657834,446320339
11,1783823451,891826542,445882121
12,1783689268,891638890,445765868
13,1787548742,893742813,446889516
14,1785866011,892910879,446423990
15,1785639009,892725438,446340597
16,1785083511,892456806,446206308
17,1783665307,891738573,445851687
18,1785580236,892696091,446326053
19,1785664487,892747409,446347077
20,1672737165,831608414,415844844
21,0,0,0
22,1215825214,635590457,297925178
23,1786013244,892907978,446436246
24,1784761443,892291176,446123618
25,1785383397,892606618,446272101
26,1785719561,892770219,446367250
27,1784493238,892157101,446061049
28,1783426901,891619932,445787696
29,1785962877,892896260,446421475
30,1786895239,893367213,446665966
31,1784989448,892400778,446173627
32,1785889836,892851093,446403290
33,1785240079,892535040,446245420
34,1784264827,892043156,445994790
35,1783420741,891630220,445801622
36,1787333685,893582139,446764523
37,1784058825,891962415,445967948
38,1785964861,892856819,446406256
39,1785987924,892904454,446420988
40,1785222370,892517116,446245337
41,2604318139,961169661,484629128
42,1864471749,892958137,446456920
43,1783764103,891792417,445878314
44,1785925649,892886529,446421095
45,1785164278,892483406,446224059
46,1782526904,891182926,445560286
47,1785065508,892416528,446195232
48,1785458850,892666642,446302385
49,1787745528,893787711,446871663
50,1784470692,892141438,446048390
51,1785746645,892787970,446376099
52,1785558511,892680711,446322416
53,1784372409,892105410,446030417
54,1786543852,893182256,446564448
55,1783215266,891513753,445739161
56,1784109157,891960349,445953789
57,1786680427,893259769,446603365
58,1786695946,893262539,446609013
59,1783832306,891826727,445891137
60,1786477717,893149260,446561383
61,736400115,67601886,95309319
62,0,0,0
63,0,0,0
