time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,1:1,8856
1,LER_Ingress,leri-cr1,1:2,4486
1,LER_Ingress,leri-cr1,1:3,2192
1,LER_Ingress,leri-cr2,1:1,0
1,LER_Ingress,leri-cr2,1:2,0
1,LER_Ingress,leri-cr2,1:3,0
1,LER_Ingress,leri-cr3,1:1,0
1,LER_Ingress,leri-cr3,1:2,0
1,LER_Ingress,leri-cr3,1:3,0
1,CR1,cr1-lere,1:1,0
1,CR1,cr1-lere,1:2,0
1,CR1,cr1-lere,1:3,0
1,CR2,cr2-lere,1:1,0
1,CR2,cr2-lere,1:2,0
1,CR2,cr2-lere,1:3,0
1,CR3,cr3-lere,1:1,0
1,CR3,cr3-lere,1:2,0
1,CR3,cr3-lere,1:3,0
3,LER_Ingress,leri-cr1,1:1,16575
3,LER_Ingress,leri-cr1,1:2,8316
3,LER_Ingress,leri-cr1,1:3,4196
3,LER_Ingress,leri-cr2,1:1,0
3,LER_Ingress,leri-cr2,1:2,0
3,LER_Ingress,leri-cr2,1:3,0
3,LER_Ingress,leri-cr3,1:1,0
3,LER_Ingress,leri-cr3,1:2,0
3,LER_Ingress,leri-cr3,1:3,0
3,CR1,cr1-lere,1:1,0
3,CR1,cr1-lere,1:2,0
3,CR1,cr1-lere,1:3,0
3,CR2,cr2-lere,1:1,0
3,CR2,cr2-lere,1:2,0
3,CR2,cr2-lere,1:3,0
3,CR3,cr3-lere,1:1,0
3,CR3,cr3-lere,1:2,0
3,CR3,cr3-lere,1:3,0
4,LER_Ingress,leri-cr1,1:1,16776
4,LER_Ingress,leri-cr1,1:2,8424
4,LER_Ingress,leri-cr1,1:3,4244
4,LER_Ingress,leri-cr2,1:1,0
4,LER_Ingress,leri-cr2,1:2,0
4,LER_Ingress,leri-cr2,1:3,0
4,LER_Ingress,leri-cr3,1:1,0
4,LER_Ingress,leri-cr3,1:2,0
4,LER_Ingress,leri-cr3,1:3,0
4,CR1,cr1-lere,1:1,0
4,CR1,cr1-lere,1:2,0
4,CR1,cr1-lere,1:3,0
4,CR2,cr2-lere,1:1,0
4,CR2,cr2-lere,1:2,0
4,CR2,cr2-lere,1:3,0
4,CR3,cr3-lere,1:1,0
4,CR3,cr3-lere,1:2,0
4,CR3,cr3-lere,1:3,0
6,LER_Ingress,leri-cr1,1:1,17257
6,LER_Ingress,leri-cr1,1:2,8660
6,LER_Ingress,leri-cr1,1:3,4366
6,LER_Ingress,leri-cr2,1:1,0
6,LER_Ingress,leri-cr2,1:2,0
6,LER_Ingress,leri-cr2,1:3,0
6,LER_Ingress,leri-cr3,1:1,0
6,LER_Ingress,leri-cr3,1:2,0
6,LER_Ingress,leri-cr3,1:3,0
6,CR1,cr1-lere,1:1,0
6,CR1,cr1-lere,1:2,0
6,CR1,cr1-lere,1:3,0
6,CR2,cr2-lere,1:1,0
6,CR2,cr2-lere,1:2,0
6,CR2,cr2-lere,1:3,0
6,CR3,cr3-lere,1:1,0
6,CR3,cr3-lere,1:2,0
6,CR3,cr3-lere,1:3,0
8,LER_Ingress,leri-cr1,1:1,17065
8,LER_Ingress,leri-cr1,1:2,8563
8,LER_Ingress,leri-cr1,1:3,4326
8,LER_Ingress,leri-cr2,1:1,0
8,LER_Ingress,leri-cr2,1:2,0
8,LER_Ingress,leri-cr2,1:3,0
8,LER_Ingress,leri-cr3,1:1,0
8,LER_Ingress,leri-cr3,1:2,0
8,LER_Ingress,leri-cr3,1:3,0
8,CR1,cr1-lere,1:1,0
8,CR1,cr1-lere,1:2,0
8,CR1,cr1-lere,1:3,0
8,CR2,cr2-lere,1:1,0
8,CR2,cr2-lere,1:2,0
8,CR2,cr2-lere,1:3,0
8,CR3,cr3-lere,1:1,0
8,CR3,cr3-lere,1:2,0
8,CR3,cr3-lere,1:3,0
9,LER_Ingress,leri-cr1,1:1,16611
9,LER_Ingress,leri-cr1,1:2,8343
9,LER_Ingress,leri-cr1,1:3,4217
9,LER_Ingress,leri-cr2,1:1,0
9,LER_Ingress,leri-cr2,1:2,0
9,LER_Ingress,leri-cr2,1:3,0
9,LER_Ingress,leri-cr3,1:1,0
9,LER_Ingress,leri-cr3,1:2,0
9,LER_Ingress,leri-cr3,1:3,0
9,CR1,cr1-lere,1:1,0
9,CR1,cr1-lere,1:2,0
9,CR1,cr1-lere,1:3,0
9,CR2,cr2-lere,1:1,0
9,CR2,cr2-lere,1:2,0
9,CR2,cr2-lere,1:3,0
9,CR3,cr3-lere,1:1,0
9,CR3,cr3-lere,1:2,0
9,CR3,cr3-lere,1:3,0
11,LER_Ingress,leri-cr1,1:1,16882
11,LER_Ingress,leri-cr1,1:2,8477
11,LER_Ingress,leri-cr1,1:3,4278
11,LER_Ingress,leri-cr2,1:1,0
11,LER_Ingress,leri-cr2,1:2,0
11,LER_Ingress,leri-cr2,1:3,0
11,LER_Ingress,leri-cr3,1:1,0
11,LER_Ingress,leri-cr3,1:2,0
11,LER_Ingress,leri-cr3,1:3,0
11,CR1,cr1-lere,1:1,0
11,CR1,cr1-lere,1:2,0
11,CR1,cr1-lere,1:3,0
11,CR2,cr2-lere,1:1,0
11,CR2,cr2-lere,1:2,0
11,CR2,cr2-lere,1:3,0
11,CR3,cr3-lere,1:1,0
11,CR3,cr3-lere,1:2,0
11,CR3,cr3-lere,1:3,0
13,LER_Ingress,leri-cr1,1:1,17249
13,LER_Ingress,leri-cr1,1:2,8656
13,LER_Ingress,leri-cr1,1:3,4362
13,LER_Ingress,leri-cr2,1:1,0
13,LER_Ingress,leri-cr2,1:2,0
13,LER_Ingress,leri-cr2,1:3,0
13,LER_Ingress,leri-cr3,1:1,0
13,LER_Ingress,leri-cr3,1:2,0
13,LER_Ingress,leri-cr3,1:3,0
13,CR1,cr1-lere,1:1,0
13,CR1,cr1-lere,1:2,0
13,CR1,cr1-lere,1:3,0
13,CR2,cr2-lere,1:1,0
13,CR2,cr2-lere,1:2,0
13,CR2,cr2-lere,1:3,0
13,CR3,cr3-lere,1:1,0
13,CR3,cr3-lere,1:2,0
13,CR3,cr3-lere,1:3,0
14,LER_Ingress,leri-cr1,1:1,17039
14,LER_Ingress,leri-cr1,1:2,8560
14,LER_Ingress,leri-cr1,1:3,4307
14,LER_Ingress,leri-cr2,1:1,0
14,LER_Ingress,leri-cr2,1:2,0
14,LER_Ingress,leri-cr2,1:3,0
14,LER_Ingress,leri-cr3,1:1,0
14,LER_Ingress,leri-cr3,1:2,0
14,LER_Ingress,leri-cr3,1:3,0
14,CR1,cr1-lere,1:1,0
14,CR1,cr1-lere,1:2,0
14,CR1,cr1-lere,1:3,0
14,CR2,cr2-lere,1:1,0
14,CR2,cr2-lere,1:2,0
14,CR2,cr2-lere,1:3,0
14,CR3,cr3-lere,1:1,0
14,CR3,cr3-lere,1:2,0
14,CR3,cr3-lere,1:3,0
16,LER_Ingress,leri-cr1,1:1,17127
16,LER_Ingress,leri-cr1,1:2,8597
16,LER_Ingress,leri-cr1,1:3,4336
16,LER_Ingress,leri-cr2,1:1,0
16,LER_Ingress,leri-cr2,1:2,0
16,LER_Ingress,leri-cr2,1:3,0
16,LER_Ingress,leri-cr3,1:1,0
16,LER_Ingress,leri-cr3,1:2,0
16,LER_Ingress,leri-cr3,1:3,0
16,CR1,cr1-lere,1:1,0
16,CR1,cr1-lere,1:2,0
16,CR1,cr1-lere,1:3,0
16,CR2,cr2-lere,1:1,0
16,CR2,cr2-lere,1:2,0
16,CR2,cr2-lere,1:3,0
16,CR3,cr3-lere,1:1,0
16,CR3,cr3-lere,1:2,0
16,CR3,cr3-lere,1:3,0
18,LER_Ingress,leri-cr1,1:1,16505
18,LER_Ingress,leri-cr1,1:2,8288
18,LER_Ingress,leri-cr1,1:3,4189
18,LER_Ingress,leri-cr2,1:1,0
18,LER_Ingress,leri-cr2,1:2,0
18,LER_Ingress,leri-cr2,1:3,0
18,LER_Ingress,leri-cr3,1:1,0
18,LER_Ingress,leri-cr3,1:2,0
18,LER_Ingress,leri-cr3,1:3,0
18,CR1,cr1-lere,1:1,0
18,CR1,cr1-lere,1:2,0
18,CR1,cr1-lere,1:3,0
18,CR2,cr2-lere,1:1,0
18,CR2,cr2-lere,1:2,0
18,CR2,cr2-lere,1:3,0
18,CR3,cr3-lere,1:1,0
18,CR3,cr3-lere,1:2,0
18,CR3,cr3-lere,1:3,0
19,LER_Ingress,leri-cr1,1:1,17073
19,LER_Ingress,leri-cr1,1:2,8572
19,LER_Ingress,leri-cr1,1:3,4325
19,LER_Ingress,leri-cr2,1:1,0
19,LER_Ingress,leri-cr2,1:2,0
19,LER_Ingress,leri-cr2,1:3,0
19,LER_Ingress,leri-cr3,1:1,0
19,LER_Ingress,leri-cr3,1:2,0
19,LER_Ingress,leri-cr3,1:3,0
19,CR1,cr1-lere,1:1,0
19,CR1,cr1-lere,1:2,0
19,CR1,cr1-lere,1:3,0
19,CR2,cr2-lere,1:1,0
19,CR2,cr2-lere,1:2,0
19,CR2,cr2-lere,1:3,0
19,CR3,cr3-lere,1:1,0
19,CR3,cr3-lere,1:2,0
19,CR3,cr3-lere,1:3,0
21,LER_Ingress,leri-cr1,1:1,16788
21,LER_Ingress,leri-cr1,1:2,8430
21,LER_Ingress,leri-cr1,1:3,4252
21,LER_Ingress,leri-cr2,1:1,0
21,LER_Ingress,leri-cr2,1:2,0
21,LER_Ingress,leri-cr2,1:3,0
21,LER_Ingress,leri-cr3,1:1,0
21,LER_Ingress,leri-cr3,1:2,0
21,LER_Ingress,leri-cr3,1:3,0
21,CR1,cr1-lere,1:1,0
21,CR1,cr1-lere,1:2,0
21,CR1,cr1-lere,1:3,0
21,CR2,cr2-lere,1:1,0
21,CR2,cr2-lere,1:2,0
21,CR2,cr2-lere,1:3,0
21,CR3,cr3-lere,1:1,0
21,CR3,cr3-lere,1:2,0
21,CR3,cr3-lere,1:3,0
23,LER_Ingress,leri-cr1,1:1,16927
23,LER_Ingress,leri-cr1,1:2,8493
23,LER_Ingress,leri-cr1,1:3,4285
23,LER_Ingress,leri-cr2,1:1,0
23,LER_Ingress,leri-cr2,1:2,0
23,LER_Ingress,leri-cr2,1:3,0
23,LER_Ingress,leri-cr3,1:1,0
23,LER_Ingress,leri-cr3,1:2,0
23,LER_Ingress,leri-cr3,1:3,0
23,CR1,cr1-lere,1:1,0
23,CR1,cr1-lere,1:2,0
23,CR1,cr1-lere,1:3,0
23,CR2,cr2-lere,1:1,0
