# OWD receiver: AF41  port=5001
[1782192567.962497] seq=1 owd=0.125 ms
[1782192567.982512] seq=2 owd=0.115 ms
[1782192568.002533] seq=3 owd=0.133 ms
[1782192568.022514] seq=4 owd=0.115 ms
[1782192568.042548] seq=5 owd=0.131 ms
[1782192568.062636] seq=6 owd=0.201 ms
[1782192568.082756] seq=7 owd=0.359 ms
[1782192568.107526] seq=8 owd=5.124 ms
[1782192568.227534] seq=14 owd=5.140 ms
[1782192568.247530] seq=15 owd=5.134 ms
[1782192568.307539] seq=18 owd=5.140 ms
[1782192568.367555] seq=21 owd=5.146 ms
[1782192568.387599] seq=22 owd=5.196 ms
[1782192568.407562] seq=23 owd=5.151 ms
[1782192568.427542] seq=24 owd=5.132 ms
[1782192568.467570] seq=26 owd=5.156 ms
[1782192568.507535] seq=28 owd=5.133 ms
[1782192568.547530] seq=30 owd=5.130 ms
[1782192568.607541] seq=33 owd=5.142 ms
[1782192568.647544] seq=35 owd=5.146 ms
[1782192568.687557] seq=37 owd=5.147 ms
[1782192568.767543] seq=41 owd=5.139 ms
[1782192568.787536] seq=42 owd=5.136 ms
[1782192568.807526] seq=43 owd=5.128 ms
[1782192568.827542] seq=44 owd=5.134 ms
[1782192568.847523] seq=45 owd=5.123 ms
[1782192568.867528] seq=46 owd=5.128 ms
[1782192568.967528] seq=51 owd=5.136 ms
[1782192568.987537] seq=52 owd=5.136 ms
[1782192569.007533] seq=53 owd=5.134 ms
[1782192569.027522] seq=54 owd=5.124 ms
[1782192569.047531] seq=55 owd=5.134 ms
[1782192569.067550] seq=56 owd=5.147 ms
[1782192569.087529] seq=57 owd=5.130 ms
[1782192569.107531] seq=58 owd=5.133 ms
[1782192569.127525] seq=59 owd=5.127 ms
[1782192569.147514] seq=60 owd=5.120 ms
[1782192569.207561] seq=63 owd=5.141 ms
[1782192569.227552] seq=64 owd=5.153 ms
[1782192569.307524] seq=68 owd=5.127 ms
[1782192569.347568] seq=70 owd=5.162 ms
[1782192569.387953] seq=72 owd=5.546 ms
[1782192569.407686] seq=73 owd=5.280 ms
[1782192569.447530] seq=75 owd=5.134 ms
[1782192569.487537] seq=77 owd=5.141 ms
[1782192569.567551] seq=81 owd=5.146 ms
[1782192569.587564] seq=82 owd=5.161 ms
[1782192569.607560] seq=83 owd=5.153 ms
[1782192569.627558] seq=84 owd=5.157 ms
[1782192569.647534] seq=85 owd=5.136 ms
[1782192569.687540] seq=87 owd=5.133 ms
[1782192569.727535] seq=89 owd=5.135 ms
[1782192569.747544] seq=90 owd=5.140 ms
[1782192569.767562] seq=91 owd=5.160 ms
[1782192569.807569] seq=93 owd=5.140 ms
[1782192569.827548] seq=94 owd=5.148 ms
[1782192569.867535] seq=96 owd=5.128 ms
[1782192569.927550] seq=99 owd=5.152 ms
[1782192569.947542] seq=100 owd=5.138 ms
[1782192569.967527] seq=101 owd=5.127 ms
[1782192569.987539] seq=102 owd=5.132 ms
[1782192570.027563] seq=104 owd=5.157 ms
[1782192570.087556] seq=107 owd=5.151 ms
[1782192570.107533] seq=108 owd=5.135 ms
[1782192570.147546] seq=110 owd=5.148 ms
[1782192570.167522] seq=111 owd=5.117 ms
[1782192570.207542] seq=113 owd=5.138 ms
[1782192570.247590] seq=115 owd=5.169 ms
[1782192570.267544] seq=116 owd=5.146 ms
[1782192570.307537] seq=118 owd=5.132 ms
[1782192570.327532] seq=119 owd=5.130 ms
[1782192570.347541] seq=120 owd=5.141 ms
[1782192570.387532] seq=122 owd=5.130 ms
[1782192570.407554] seq=123 owd=5.146 ms
[1782192570.447542] seq=125 owd=5.136 ms
[1782192570.467544] seq=126 owd=5.141 ms
[1782192570.487571] seq=127 owd=5.150 ms
[1782192570.507538] seq=128 owd=5.140 ms
[1782192570.527523] seq=129 owd=5.123 ms
[1782192570.588090] seq=132 owd=5.682 ms
[1782192570.607520] seq=133 owd=5.137 ms
[1782192570.627580] seq=134 owd=5.174 ms
[1782192570.647541] seq=135 owd=5.136 ms
[1782192570.687553] seq=137 owd=5.148 ms
[1782192570.707520] seq=138 owd=5.119 ms
[1782192570.787522] seq=142 owd=5.126 ms
[1782192570.867542] seq=146 owd=5.142 ms
[1782192570.947531] seq=150 owd=5.127 ms
[1782192570.967556] seq=151 owd=5.134 ms
[1782192570.987543] seq=152 owd=5.140 ms
[1782192571.007560] seq=153 owd=5.147 ms
[1782192571.027524] seq=154 owd=5.129 ms
[1782192571.048491] seq=155 owd=6.097 ms
[1782192571.087533] seq=157 owd=5.131 ms
[1782192571.147526] seq=160 owd=5.124 ms
[1782192571.167526] seq=161 owd=5.126 ms
[1782192571.187534] seq=162 owd=5.133 ms
[1782192571.207521] seq=163 owd=5.122 ms
[1782192571.247562] seq=165 owd=5.153 ms
[1782192571.287559] seq=167 owd=5.145 ms
[1782192571.307545] seq=168 owd=5.129 ms
[1782192571.327523] seq=169 owd=5.134 ms
[1782192571.387538] seq=172 owd=5.136 ms
[1782192571.427517] seq=174 owd=5.123 ms
[1782192571.447557] seq=175 owd=5.155 ms
[1782192571.487540] seq=177 owd=5.139 ms
[1782192571.507548] seq=178 owd=5.144 ms
[1782192571.527548] seq=179 owd=5.150 ms
[1782192571.547547] seq=180 owd=5.140 ms
[1782192571.567576] seq=181 owd=5.164 ms
[1782192571.607548] seq=183 owd=5.154 ms
[1782192571.627558] seq=184 owd=5.154 ms
[1782192571.647560] seq=185 owd=5.152 ms
[1782192571.667547] seq=186 owd=5.144 ms
[1782192571.687524] seq=187 owd=5.126 ms
[1782192571.727555] seq=189 owd=5.152 ms
[1782192571.747552] seq=190 owd=5.150 ms
[1782192571.767745] seq=191 owd=5.320 ms
[1782192571.787544] seq=192 owd=5.143 ms
[1782192571.807548] seq=193 owd=5.139 ms
[1782192571.847548] seq=195 owd=5.147 ms
[1782192571.907553] seq=198 owd=5.147 ms
[1782192571.927539] seq=199 owd=5.131 ms
[1782192571.947549] seq=200 owd=5.146 ms
[1782192571.967546] seq=201 owd=5.140 ms
[1782192571.987545] seq=202 owd=5.139 ms
[1782192572.067540] seq=206 owd=5.138 ms
[1782192572.107528] seq=208 owd=5.129 ms
[1782192572.127535] seq=209 owd=5.131 ms
[1782192572.187521] seq=212 owd=5.121 ms
[1782192572.207520] seq=213 owd=5.126 ms
[1782192572.247576] seq=215 owd=5.141 ms
[1782192572.267529] seq=216 owd=5.134 ms
[1782192572.307506] seq=218 owd=5.128 ms
[1782192572.327525] seq=219 owd=5.127 ms
[1782192572.387542] seq=222 owd=5.122 ms
[1782192572.407494] seq=223 owd=5.097 ms
[1782192572.467535] seq=226 owd=5.134 ms
[1782192572.487531] seq=227 owd=5.131 ms
[1782192572.507536] seq=228 owd=5.131 ms
[1782192572.527550] seq=229 owd=5.140 ms
[1782192572.567537] seq=231 owd=5.133 ms
[1782192572.587543] seq=232 owd=5.140 ms
