time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1521806968,768358928,405060312
2,1784386324,892085618,446043035
3,1785249188,892526147,446236312
4,1785593141,892711709,446329147
5,1785651707,892740612,446352734
6,1783497962,891664258,445814323
7,1786985118,893402710,446674782
8,1784505974,892159094,446057205
9,1784743673,892291123,446123564
10,1785369306,892577419,446275570
11,1786272188,893060145,446498815
12,1783582031,891701590,445828568
13,1784108781,891969610,445962834
14,1787833111,893817822,446886816
15,1784640612,892239888,446102103
16,1785396924,892609007,446277743
17,1782482105,891155950,445560232
18,1787414157,893608873,446782149
19,1784770328,892309053,446141280
20,1742335741,871069621,435503464
21,0,0,0
22,77,77,119
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,77,77,77
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1777599247,901410857,453519731
43,1784148298,891989311,445976949
44,1785289719,892555163,446250982
45,1783933671,891873158,445914425
46,1786868750,893357920,446656833
47,1784703646,892253807,446109145
48,1785101262,892461166,446204170
49,1785114656,892472356,446218364
50,1785512320,892666910,446311216
51,1783843238,891832734,445889444
52,1787045153,893433053,446698760
53,1784291669,892060728,446003737
54,1785540492,892671701,446313836
55,1784998449,892418618,446191576
56,1785852407,892836632,446391984
57,1783435938,891637416,445796357
58,1787094465,893453326,446704343
59,1782149769,890976579,445475110
60,1604381201,815589726,434588073
61,0,0,0
62,77,77,77
63,0,0,0
