# OWD receiver: AF43  port=5003
[1782194806.204413] seq=1 owd=0.162 ms
[1782194806.224486] seq=2 owd=0.129 ms
[1782194806.244382] seq=3 owd=0.107 ms
[1782194806.270572] seq=4 owd=6.286 ms
[1782194806.330709] seq=5 owd=46.420 ms
[1782194806.485033] seq=11 owd=80.743 ms
[1782194806.605035] seq=17 owd=80.747 ms
[1782194806.644985] seq=19 owd=80.705 ms
[1782194806.664973] seq=20 owd=80.689 ms
[1782194806.704972] seq=22 owd=80.685 ms
[1782194806.825009] seq=28 owd=80.721 ms
[1782194806.865000] seq=30 owd=80.741 ms
[1782194806.965023] seq=35 owd=80.738 ms
[1782194807.065015] seq=40 owd=80.732 ms
[1782194807.165021] seq=45 owd=80.730 ms
[1782194807.285021] seq=51 owd=80.733 ms
[1782194807.385001] seq=56 owd=80.723 ms
[1782194807.404993] seq=57 owd=80.704 ms
[1782194807.425001] seq=58 owd=80.687 ms
[1782194807.725065] seq=73 owd=80.780 ms
[1782194807.825035] seq=78 owd=80.750 ms
[1782194807.845000] seq=79 owd=80.713 ms
[1782194808.185009] seq=96 owd=80.731 ms
[1782194808.505017] seq=112 owd=80.746 ms
[1782194808.665031] seq=120 owd=80.735 ms
[1782194808.704994] seq=122 owd=80.707 ms
[1782194808.744978] seq=124 owd=80.695 ms
[1782194808.764959] seq=125 owd=80.675 ms
[1782194808.824999] seq=128 owd=80.684 ms
[1782194809.305028] seq=152 owd=80.746 ms
[1782194809.345009] seq=154 owd=80.721 ms
[1782194809.485047] seq=161 owd=80.755 ms
[1782194809.805601] seq=177 owd=81.315 ms
[1782194809.905017] seq=182 owd=80.731 ms
[1782194810.025052] seq=188 owd=80.724 ms
[1782194810.185021] seq=196 owd=80.738 ms
[1782194810.245007] seq=199 owd=80.717 ms
[1782194810.305018] seq=202 owd=80.710 ms
[1782194810.525020] seq=213 owd=80.731 ms
[1782194810.564996] seq=215 owd=80.708 ms
[1782194810.604980] seq=217 owd=80.690 ms
[1782194810.745059] seq=224 owd=80.735 ms
[1782194810.765001] seq=225 owd=80.716 ms
[1782194810.804984] seq=227 owd=80.697 ms
[1782194810.844988] seq=229 owd=80.703 ms
[1782194810.884987] seq=231 owd=80.697 ms
[1782194810.904993] seq=232 owd=80.699 ms
[1782194811.285057] seq=251 owd=80.764 ms
[1782194811.404985] seq=257 owd=80.722 ms
[1782194811.465012] seq=260 owd=80.714 ms
[1782194811.605023] seq=267 owd=80.731 ms
[1782194811.644994] seq=269 owd=80.705 ms
[1782194811.664956] seq=270 owd=80.673 ms
[1782194811.765013] seq=275 owd=80.734 ms
[1782194811.804989] seq=277 owd=80.707 ms
[1782194812.184999] seq=296 owd=80.721 ms
[1782194812.285024] seq=301 owd=80.743 ms
[1782194812.645054] seq=319 owd=80.752 ms
[1782194812.925048] seq=333 owd=80.747 ms
[1782194812.965011] seq=335 owd=80.722 ms
[1782194813.025009] seq=338 owd=80.719 ms
[1782194813.145028] seq=344 owd=80.746 ms
[1782194813.185011] seq=346 owd=80.724 ms
[1782194813.244992] seq=349 owd=80.711 ms
[1782194813.625027] seq=368 owd=80.742 ms
[1782194813.664997] seq=370 owd=80.712 ms
[1782194813.825021] seq=378 owd=80.741 ms
[1782194813.904992] seq=382 owd=80.710 ms
[1782194814.025019] seq=388 owd=80.736 ms
[1782194814.125024] seq=393 owd=80.734 ms
[1782194814.225030] seq=398 owd=80.739 ms
[1782194814.244999] seq=399 owd=80.714 ms
[1782194814.325002] seq=403 owd=80.713 ms
[1782194814.445016] seq=409 owd=80.729 ms
[1782194814.505008] seq=412 owd=80.706 ms
[1782194814.745018] seq=424 owd=80.738 ms
[1782194814.825025] seq=428 owd=80.733 ms
[1782194814.905020] seq=432 owd=80.729 ms
[1782194815.025019] seq=438 owd=80.727 ms
[1782194815.145241] seq=444 owd=80.943 ms
[1782194815.285055] seq=451 owd=80.762 ms
[1782194815.305024] seq=452 owd=80.726 ms
[1782194815.324992] seq=453 owd=80.705 ms
[1782194815.665228] seq=470 owd=80.937 ms
[1782194815.725029] seq=473 owd=80.740 ms
[1782194815.784992] seq=476 owd=80.702 ms
[1782194815.965012] seq=485 owd=80.733 ms
[1782194816.044979] seq=489 owd=80.695 ms
[1782194816.285041] seq=501 owd=80.753 ms
[1782194816.465018] seq=510 owd=80.729 ms
[1782194816.545009] seq=514 owd=80.694 ms
[1782194816.745004] seq=524 owd=80.714 ms
[1782194816.885045] seq=531 owd=80.756 ms
[1782194816.965017] seq=535 owd=80.725 ms
[1782194816.985015] seq=536 owd=80.724 ms
[1782194817.024989] seq=538 owd=80.699 ms
[1782194817.084994] seq=541 owd=80.702 ms
[1782194817.125017] seq=543 owd=80.706 ms
[1782194817.164975] seq=545 owd=80.683 ms
[1782194817.184983] seq=546 owd=80.697 ms
[1782194817.204930] seq=547 owd=80.652 ms
[1782194817.264998] seq=550 owd=80.712 ms
[1782194817.304999] seq=552 owd=80.707 ms
[1782194817.345006] seq=554 owd=80.703 ms
[1782194817.404992] seq=557 owd=80.700 ms
[1782194817.465039] seq=560 owd=80.720 ms
[1782194817.565024] seq=565 owd=80.729 ms
[1782194817.644996] seq=569 owd=80.706 ms
[1782194817.745052] seq=574 owd=80.763 ms
[1782194818.205025] seq=597 owd=80.739 ms
[1782194818.265016] seq=600 owd=80.729 ms
[1782194818.345008] seq=604 owd=80.718 ms
[1782194818.385030] seq=606 owd=80.732 ms
[1782194818.525012] seq=613 owd=80.722 ms
[1782194818.565028] seq=615 owd=80.733 ms
[1782194818.625203] seq=618 owd=80.911 ms
[1782194818.644966] seq=619 owd=80.680 ms
[1782194818.745013] seq=624 owd=80.730 ms
[1782194818.764992] seq=625 owd=80.708 ms
[1782194818.865019] seq=630 owd=80.732 ms
[1782194818.885370] seq=631 owd=81.080 ms
[1782194818.944975] seq=634 owd=80.697 ms
[1782194819.005003] seq=637 owd=80.719 ms
[1782194819.125008] seq=643 owd=80.719 ms
[1782194819.325040] seq=653 owd=80.742 ms
[1782194819.404991] seq=657 owd=80.709 ms
[1782194819.625023] seq=668 owd=80.733 ms
[1782194819.765044] seq=675 owd=80.759 ms
[1782194820.085098] seq=691 owd=80.815 ms
[1782194820.205005] seq=697 owd=80.729 ms
[1782194820.284972] seq=701 owd=80.688 ms
[1782194820.384995] seq=706 owd=80.724 ms
[1782194820.404978] seq=707 owd=80.698 ms
[1782194820.444968] seq=709 owd=80.682 ms
[1782194820.524991] seq=713 owd=80.712 ms
[1782194820.745019] seq=724 owd=80.733 ms
[1782194820.865022] seq=730 owd=80.733 ms
[1782194821.065006] seq=740 owd=80.719 ms
[1782194821.085003] seq=741 owd=80.716 ms
[1782194821.285008] seq=751 owd=80.733 ms
[1782194821.385020] seq=756 owd=80.733 ms
[1782194821.404980] seq=757 owd=80.702 ms
[1782194821.665007] seq=770 owd=80.728 ms
[1782194821.825018] seq=778 owd=80.735 ms
[1782194821.904986] seq=782 owd=80.704 ms
[1782194822.005212] seq=787 owd=80.828 ms
[1782194822.345036] seq=804 owd=80.744 ms
[1782194822.405002] seq=807 owd=80.713 ms
[1782194822.445009] seq=809 owd=80.720 ms
[1782194822.685007] seq=821 owd=80.717 ms
[1782194822.885052] seq=831 owd=80.742 ms
[1782194822.945009] seq=834 owd=80.720 ms
[1782194823.065032] seq=840 owd=80.740 ms
[1782194823.165039] seq=845 owd=80.732 ms
