time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1233940328,624375116,332232772
2,1786964416,893396936,446680824
3,1783447771,891630059,445792630
4,1785043156,892436483,446191438
5,1787322932,893567264,446770547
6,1784515715,892176815,446057397
7,1785758805,892794403,446379200
8,1785276083,892534879,446245259
9,1784882242,892365042,446155840
10,1785414159,892612904,446284294
11,1783009791,891424584,445694361
12,1785843039,892827854,446391930
13,1785624650,892722987,446334947
14,1785088214,892454754,446209387
15,1786400392,893101812,446528515
16,1784555860,892201954,446078711
17,1786167478,892985059,446474671
18,1782786332,891317055,445631900
19,1785699972,892746980,446355640
20,1725515044,862676917,431320420
21,1411950709,717626588,361387872
22,1785959238,892890262,446418638
23,1785561966,892678519,446325838
24,1784345108,892087701,446021601
25,1784586660,892212616,446075584
26,1787056427,893429928,446701623
27,1781783660,890806919,445377100
28,1787809695,893819745,446892210
29,1783867821,891844419,445891274
30,1786850855,893340294,446647994
31,1785982809,892901609,446433205
32,1785110254,892470427,446212787
33,1784613878,892213100,446084101
34,1783679978,891755166,445855276
35,1785440598,892631049,446293274
36,1786564167,893188029,446567522
37,1784091268,891960457,445962566
38,1784542193,892176989,446066368
39,1786608957,893223657,446585255
40,1785898846,892850663,446402968
41,1809788986,934006602,499753729
42,1787089910,893450876,446707639
43,1784157729,891989257,445967948
44,1783885721,891880143,445918274
45,1785310703,892539563,446251922
46,1785982595,892901663,446424043
47,1785744610,892782948,446373838
48,1784118041,891969502,445962673
49,1785517068,892669142,446316837
50,1785955592,892892823,446415311
51,1784810557,892320413,446138000
52,1785186449,892499305,446227633
53,1784350493,892086077,446016518
54,1785405137,892613250,446293524
55,1786218558,893033276,446489823
56,1784694457,892257568,446111373
57,1786537540,893179028,446558628
58,1784806081,892300491,446141280
59,1783960943,891899623,445914479
60,1786068637,892940440,446456758
61,1784435040,892132467,446048742
62,1786310884,893066095,446501754
63,1783045276,891433027,445694457
64,1786743190,893277472,446621391
65,1784944282,892391992,446173520
66,92263170,59557606,56581203
67,0,0,0
68,0,0,0
