# OWD receiver: AF41  port=5001
[1782192495.591222] seq=1 owd=0.124 ms
[1782192495.611242] seq=2 owd=0.120 ms
[1782192495.631363] seq=3 owd=0.238 ms
[1782192495.651348] seq=4 owd=0.229 ms
[1782192495.671195] seq=5 owd=0.077 ms
[1782192495.691602] seq=6 owd=0.472 ms
[1782192495.712234] seq=7 owd=1.107 ms
[1782192495.735934] seq=8 owd=4.802 ms
[1782192495.756289] seq=9 owd=5.158 ms
[1782192495.896281] seq=16 owd=5.155 ms
[1782192495.936290] seq=18 owd=5.158 ms
[1782192495.956284] seq=19 owd=5.147 ms
[1782192495.976281] seq=20 owd=5.148 ms
[1782192496.036301] seq=23 owd=5.166 ms
[1782192496.076269] seq=25 owd=5.140 ms
[1782192496.116295] seq=27 owd=5.160 ms
[1782192496.136284] seq=28 owd=5.149 ms
[1782192496.156314] seq=29 owd=5.149 ms
[1782192496.196298] seq=31 owd=5.163 ms
[1782192496.236285] seq=33 owd=5.145 ms
[1782192496.296300] seq=36 owd=5.159 ms
[1782192496.316312] seq=37 owd=5.179 ms
[1782192496.336268] seq=38 owd=5.136 ms
[1782192496.356296] seq=39 owd=5.159 ms
[1782192496.416311] seq=42 owd=5.170 ms
[1782192496.456300] seq=44 owd=5.163 ms
[1782192496.476298] seq=45 owd=5.160 ms
[1782192496.496423] seq=46 owd=5.281 ms
[1782192496.576283] seq=50 owd=5.170 ms
[1782192496.616187] seq=52 owd=5.061 ms
[1782192496.636278] seq=53 owd=5.149 ms
[1782192496.656302] seq=54 owd=5.160 ms
[1782192496.676281] seq=55 owd=5.148 ms
[1782192496.716305] seq=57 owd=5.162 ms
[1782192496.736290] seq=58 owd=5.162 ms
[1782192496.776311] seq=60 owd=5.169 ms
[1782192496.796289] seq=61 owd=5.162 ms
[1782192496.816296] seq=62 owd=5.162 ms
[1782192496.836292] seq=63 owd=5.155 ms
[1782192496.896253] seq=66 owd=5.142 ms
[1782192496.936303] seq=68 owd=5.164 ms
[1782192496.956289] seq=69 owd=5.153 ms
[1782192496.976297] seq=70 owd=5.160 ms
[1782192497.016290] seq=72 owd=5.151 ms
[1782192497.036267] seq=73 owd=5.141 ms
[1782192497.096287] seq=76 owd=5.156 ms
[1782192497.116288] seq=77 owd=5.152 ms
[1782192497.136275] seq=78 owd=5.154 ms
[1782192497.196300] seq=81 owd=5.174 ms
[1782192497.216267] seq=82 owd=5.141 ms
[1782192497.277103] seq=85 owd=5.969 ms
[1782192497.316299] seq=87 owd=5.164 ms
[1782192497.336294] seq=88 owd=5.156 ms
[1782192497.416330] seq=92 owd=5.190 ms
[1782192497.456300] seq=94 owd=5.161 ms
[1782192497.476277] seq=95 owd=5.147 ms
[1782192497.516291] seq=97 owd=5.155 ms
[1782192497.536298] seq=98 owd=5.163 ms
[1782192497.556275] seq=99 owd=5.148 ms
[1782192497.576277] seq=100 owd=5.155 ms
[1782192497.656284] seq=104 owd=5.149 ms
[1782192497.676296] seq=105 owd=5.155 ms
[1782192497.716294] seq=107 owd=5.158 ms
[1782192497.736274] seq=108 owd=5.141 ms
[1782192497.756296] seq=109 owd=5.160 ms
[1782192497.776285] seq=110 owd=5.150 ms
[1782192497.796286] seq=111 owd=5.152 ms
[1782192497.816289] seq=112 owd=5.156 ms
[1782192497.856275] seq=114 owd=5.136 ms
[1782192497.876290] seq=115 owd=5.152 ms
[1782192497.916311] seq=117 owd=5.173 ms
[1782192497.976308] seq=120 owd=5.168 ms
[1782192498.016279] seq=122 owd=5.158 ms
[1782192498.036296] seq=123 owd=5.159 ms
[1782192498.056273] seq=124 owd=5.147 ms
[1782192498.076278] seq=125 owd=5.152 ms
[1782192498.096295] seq=126 owd=5.173 ms
[1782192498.136288] seq=128 owd=5.156 ms
[1782192498.156287] seq=129 owd=5.149 ms
[1782192498.196266] seq=131 owd=5.147 ms
[1782192498.216296] seq=132 owd=5.157 ms
[1782192498.236282] seq=133 owd=5.154 ms
[1782192498.276284] seq=135 owd=5.150 ms
[1782192498.296308] seq=136 owd=5.149 ms
[1782192498.316277] seq=137 owd=5.150 ms
[1782192498.356236] seq=139 owd=5.136 ms
[1782192498.376294] seq=140 owd=5.190 ms
[1782192498.396318] seq=141 owd=5.161 ms
[1782192498.536271] seq=148 owd=5.148 ms
[1782192498.556267] seq=149 owd=5.144 ms
[1782192498.596280] seq=151 owd=5.145 ms
[1782192498.616985] seq=152 owd=5.851 ms
[1782192498.696303] seq=156 owd=5.183 ms
[1782192498.716325] seq=157 owd=5.192 ms
[1782192498.736339] seq=158 owd=5.191 ms
[1782192498.756310] seq=159 owd=5.171 ms
[1782192498.776278] seq=160 owd=5.144 ms
[1782192498.816291] seq=162 owd=5.159 ms
[1782192498.856280] seq=164 owd=5.146 ms
[1782192498.876281] seq=165 owd=5.148 ms
[1782192498.916291] seq=167 owd=5.157 ms
[1782192498.956285] seq=169 owd=5.152 ms
[1782192498.976292] seq=170 owd=5.157 ms
[1782192499.016273] seq=172 owd=5.135 ms
[1782192499.056284] seq=174 owd=5.144 ms
[1782192499.076278] seq=175 owd=5.144 ms
[1782192499.096279] seq=176 owd=5.143 ms
[1782192499.116252] seq=177 owd=5.131 ms
[1782192499.236296] seq=183 owd=5.162 ms
[1782192499.256317] seq=184 owd=5.192 ms
[1782192499.296291] seq=186 owd=5.152 ms
[1782192499.336277] seq=188 owd=5.150 ms
[1782192499.356283] seq=189 owd=5.145 ms
[1782192499.376270] seq=190 owd=5.163 ms
[1782192499.396307] seq=191 owd=5.170 ms
[1782192499.436282] seq=193 owd=5.151 ms
[1782192499.456275] seq=194 owd=5.145 ms
[1782192499.496275] seq=196 owd=5.146 ms
[1782192499.516299] seq=197 owd=5.172 ms
[1782192499.536273] seq=198 owd=5.143 ms
[1782192499.556274] seq=199 owd=5.149 ms
[1782192499.576299] seq=200 owd=5.164 ms
[1782192499.596315] seq=201 owd=5.180 ms
[1782192499.616962] seq=202 owd=5.830 ms
[1782192499.656306] seq=204 owd=5.163 ms
[1782192499.676322] seq=205 owd=5.161 ms
[1782192499.716281] seq=207 owd=5.144 ms
[1782192499.756292] seq=209 owd=5.169 ms
[1782192499.776982] seq=210 owd=5.860 ms
[1782192499.796267] seq=211 owd=5.142 ms
[1782192499.876277] seq=215 owd=5.158 ms
[1782192499.936299] seq=218 owd=5.174 ms
[1782192499.996269] seq=221 owd=5.159 ms
[1782192500.016303] seq=222 owd=5.147 ms
[1782192500.036300] seq=223 owd=5.164 ms
[1782192500.056295] seq=224 owd=5.155 ms
[1782192500.096293] seq=226 owd=5.166 ms
[1782192500.136720] seq=228 owd=5.556 ms
[1782192500.156333] seq=229 owd=5.199 ms
[1782192500.216302] seq=232 owd=5.171 ms
[1782192500.236288] seq=233 owd=5.155 ms
[1782192500.256279] seq=234 owd=5.143 ms
[1782192500.296291] seq=236 owd=5.157 ms
[1782192500.316293] seq=237 owd=5.156 ms
