time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1414502739,714776306,377192895
2,1785186449,892535201,446245367
3,1783242349,891495823,445721445
4,1787360581,893599603,446782202
5,1785872055,892841623,446403153
6,1783599616,891710588,445828574
7,1785056409,892443075,446195071
8,1784493506,892156940,446061103
9,1787098758,893459737,446707639
10,1784278771,892049948,445998373
11,1784108942,891969610,445962888
12,1786206437,893018139,446486728
13,1784949524,892389391,446177141
14,1785893337,892839355,446397363
15,1784797381,892327598,446141840
16,1785521419,892657864,446302332
17,1785038693,892425628,446203848
18,1784448493,892148324,446043011
19,1785476673,892649141,446302009
20,1785920125,892866035,446406364
21,1785204290,892516985,446236366
22,1784681373,892255638,446114518
23,1786597159,893217974,446582199
24,1784872919,892337986,446147054
25,1783969269,891891022,445923235
26,1784555860,892192962,446078711
27,1786913528,893367082,446656780
28,1782748260,891298256,445635894
29,1787100895,893447554,446692503
30,1785137069,892488196,446221779
31,1784672274,892246580,446105634
32,1786033189,892922097,446429729
33,1785594390,892707525,446340597
34,1785567683,892689398,446322792
35,1784050332,891944760,445950023
36,1785585165,892707579,446331587
37,1784162679,891996479,445980711
38,1785392129,892606511,446263207
39,1785043078,892436620,446200523
40,1785271091,892532512,446248648
41,1785920340,892874875,446415257
42,1784336567,892087838,446021578
43,1786660282,893227037,446600165
44,1785594390,892716428,446322900
45,1781910610,890861276,445417349
46,1787716735,893773364,446868635
47,1785231078,892525824,446236151
48,1784895304,892371729,446159157
49,1784435094,892123305,446039365
50,1786238966,893021153,446492637
51,1784273775,892060620,446003779
52,1786418250,893110446,446537579
53,1782212705,891021173,445492647
54,1787906095,893859504,446907196
55,1785441890,892671940,446313806
56,1784121564,891953361,445950053
57,1784242964,892014033,445989703
58,1786812000,893316492,446627195
59,1785347822,892588455,446272208
60,1748655928,887668722,455489000
61,0,0,15156664
62,0,0,0
63,0,0,0
