# OWD receiver: AF41  port=5001
[1752538365.682935] seq=1 owd=-895.646 ms
[1752538365.702895] seq=2 owd=-895.718 ms
[1752538365.722941] seq=3 owd=-895.671 ms
[1752538365.742943] seq=4 owd=-895.663 ms
[1752538365.762950] seq=5 owd=-895.660 ms
[1752538365.782961] seq=6 owd=-895.658 ms
[1752538365.802874] seq=7 owd=-895.741 ms
[1752538365.822729] seq=8 owd=-895.872 ms
[1752538365.843235] seq=9 owd=-895.370 ms
[1752538365.862883] seq=10 owd=-895.724 ms
[1752538365.882910] seq=11 owd=-895.703 ms
[1752538365.902855] seq=12 owd=-895.756 ms
