time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,5281,1902,46,0
2,15778,0,160,1
3,2940,0,97,0
4,5803,0,11,0
5,8684,0,63,0
6,77,0,36,0
7,3468,0,14,0
8,132,0,29,0
9,2940,0,50,0
10,0,0,5,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,220,0,0,0
31,77,0,1,0
33,130,0,1,0
34,77,0,1,0
35,115,0,0,0
36,117,0,0,0
37,74,0,1,1
38,77,0,0,0
39,119,0,0,0
40,77,0,1,0
41,77,0,1,0
42,71,0,1,0
43,77,0,1,0
44,77,0,1,0
45,119,0,0,0
46,77,0,1,0
47,77,59,0,1
48,77,0,1,0
49,77,0,1,0
50,77,0,1,0
51,77,0,1,0
52,77,0,1,0
53,77,0,1,0
54,77,0,1,0
55,118,0,0,0
56,77,0,1,1
57,77,0,1,0
58,77,0,1,0
59,77,0,1,0
60,17213,17154,0,0
61,1921,1921,0,0
62,502,502,0,0
63,340,340,0,0
64,340,340,0,0
65,737,737,0,0
66,1244,1244,0,0
67,340,340,0,0
