# OWD receiver: AF41  port=5001
[1752538477.022879] seq=1 owd=-894.899 ms
[1752538477.042850] seq=2 owd=-894.948 ms
[1752538477.062723] seq=3 owd=-895.076 ms
[1752538477.082695] seq=4 owd=-895.096 ms
[1752538477.102744] seq=5 owd=-895.053 ms
[1752538477.122778] seq=6 owd=-895.023 ms
[1752538477.142825] seq=7 owd=-894.972 ms
[1752538477.162827] seq=8 owd=-894.979 ms
[1752538477.182853] seq=9 owd=-894.950 ms
[1752538477.202865] seq=10 owd=-894.921 ms
[1752538477.222828] seq=11 owd=-894.981 ms
[1752538477.242813] seq=12 owd=-894.994 ms
[1752538477.262818] seq=13 owd=-894.982 ms
