time,af41_bps,af42_bps,af43_bps
1,115,115,190894
2,0,0,433638
3,0,0,53955
4,0,0,140404
5,0,0,104408
6,0,0,22000
7,0,0,74478
8,0,0,432040
9,0,0,236045
10,0,47,75607
11,0,0,62382
12,0,0,22816
13,0,0,66831
14,0,0,44767
15,0,0,218883
16,0,0,28050
17,0,0,49541
18,0,0,108706
19,0,0,15502
20,0,0,59729
21,0,0,86038
22,0,0,41043
23,0,0,54286
24,0,0,51766
25,0,0,26231
26,0,0,63578
27,0,0,47469
28,0,0,89543
29,0,0,310055
30,0,0,71096
31,0,0,75383
32,0,0,79779
33,47,0,203196
34,0,0,175756
35,0,0,36056
36,0,0,59209
37,0,0,51895
38,0,0,44387
39,0,0,42722
40,0,0,49761
41,0,0,212349
42,0,0,250450
43,0,0,54168
44,0,0,28755
45,73,73,950616
46,0,0,364324
47,0,55,22160
48,0,0,130958
49,0,0,413859
50,0,0,24419
51,0,0,30652
52,0,0,37026
53,0,0,37076
54,0,0,43349
55,0,0,42494
56,0,0,32826
57,0,0,96400
58,0,0,55229
59,0,0,38900
60,0,0,2638107
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
