# OWD receiver: AF41  port=5001
[1752538257.385028] seq=1 owd=-895.775 ms
[1752538257.404453] seq=2 owd=-896.376 ms
[1752538257.424456] seq=3 owd=-896.369 ms
[1752538257.444322] seq=4 owd=-896.502 ms
[1752538257.464688] seq=5 owd=-896.142 ms
[1752538257.484537] seq=6 owd=-896.304 ms
[1752538257.504531] seq=7 owd=-896.303 ms
[1752538257.524480] seq=8 owd=-896.357 ms
[1752538257.545232] seq=9 owd=-896.332 ms
[1752538257.564450] seq=10 owd=-896.383 ms
[1752538257.584346] seq=11 owd=-896.476 ms
[1752538257.604537] seq=12 owd=-896.327 ms
[1752538257.624463] seq=13 owd=-896.360 ms
[1752538257.644391] seq=14 owd=-896.442 ms
