time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,37367,3325,112,0
2,18670,1430,239,14
3,2940,0,106,0
4,24440,0,64,0
5,77,0,88,0
6,1505,0,19,0
7,34335,0,29,0
8,17711,0,367,1
9,5798,1430,133,2
10,27955,0,44,0
11,2934,0,41,1
12,77,0,16,0
13,1511,0,42,0
14,12975,0,17,0
15,4376,0,158,0
16,8675,0,13,0
17,14394,0,48,2
18,77,0,27,0
19,10099,0,22,1
20,3805,0,73,2
21,1310,0,36,0
22,2931,0,21,0
23,77,0,45,0
24,4380,0,7,0
25,77,0,33,0
26,2943,0,50,0
27,2946,0,30,1
28,41637,0,153,0
29,77,0,113,0
30,1510,0,51,0
31,2946,0,33,0
32,20140,0,62,0
33,2940,0,171,0
34,2946,0,53,0
36,3911,0,38,0
37,1177,0,47,0
38,2943,0,31,0
39,1255,0,31,0
40,4376,0,28,0
41,31605,0,292,1
42,2943,0,21,0
43,1510,0,43,0
44,3020,0,23,0
45,255226,2866,442,6
46,77,1433,157,20
47,2943,0,33,2
48,44547,0,184,0
49,77,0,191,1
50,5815,0,0,0
51,77,0,28,0
52,2946,0,41,0
53,2946,0,14,0
54,77,0,24,0
55,2940,0,39,0
56,4380,0,30,0
57,77,0,56,0
58,4376,0,14,0
59,77,0,37,0
60,1426169,1426171,44,0
61,1729,1729,0,0
62,470,470,0,0
63,342,342,0,0
64,341,341,0,0
65,1534,1534,0,0
66,629,629,0,0
67,408,408,0,0
