time,af41_bps,af42_bps,af43_bps
1,6524684,2702,2650
2,7710016,2908,2908
3,4435961,8054479,1599
4,3895854,8598573,1622
5,4249063,8255808,2146
6,5978162,6516775,2606
7,5965225,6546344,2380
8,5796264,6686823,2212
9,5859111,6630442,2215
10,3632126,4550348,1148
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,718702,685646,241
32,4156593,8324146,1919
33,4165531,8335356,1224
34,4468597,8045919,1076
35,5125657,7370956,1917
36,5666476,6811414,2282
37,5611283,6903342,1712
38,5397955,7087843,1947
39,5989609,6538916,2322
40,5607344,6884241,2042
41,4038086,8385776,1491
42,5347028,7150480,2036
43,5319987,7195037,2187
44,5456032,7099350,1642
45,6147881,6350146,2756
46,5559251,6942065,2073
47,5966425,6526613,1937
48,5748114,6751996,2245
49,5621065,6872087,2416
50,5936514,6565314,2367
51,5974889,6526339,2271
52,5696446,6813046,2156
53,5867063,6614946,2595
54,6183506,6316592,2552
55,5991353,6499151,2257
56,5791713,6700226,2324
57,5763204,6752431,2027
58,4802000,7673769,1801
59,6165888,6349638,2190
60,5519699,6961787,2190
61,710218,11789082,0
62,69,12495542,0
63,0,3804614,0
64,69,69,0
65,0,0,0
66,0,888,0
67,872,0,0
68,0,0,0
69,0,0,4517225
70,0,0,12501041
71,0,0,12493973
