# OWD receiver: AF43  port=5003
[1782374358.910964] seq=1 owd=133.781 ms
[1782374358.930995] seq=2 owd=133.778 ms
[1782374358.950835] seq=3 owd=133.631 ms
[1782374358.971004] seq=4 owd=133.790 ms
[1782374358.991011] seq=5 owd=133.795 ms
[1782374359.011033] seq=6 owd=133.821 ms
[1782374359.030910] seq=7 owd=133.701 ms
[1782374359.050831] seq=8 owd=133.631 ms
[1782374359.071242] seq=9 owd=133.918 ms
[1782374359.091213] seq=10 owd=133.906 ms
[1782374359.111671] seq=11 owd=134.396 ms
[1782374359.131750] seq=12 owd=134.125 ms
[1782374359.151321] seq=13 owd=134.006 ms
[1782374359.171697] seq=14 owd=134.111 ms
[1782374359.191398] seq=15 owd=134.026 ms
[1782374359.211558] seq=16 owd=134.017 ms
[1782374359.231087] seq=17 owd=133.819 ms
[1782374359.250935] seq=18 owd=133.700 ms
[1782374359.270916] seq=19 owd=133.687 ms
[1782374359.290961] seq=20 owd=133.721 ms
[1782374359.310945] seq=21 owd=133.717 ms
[1782374359.330932] seq=22 owd=133.707 ms
[1782374359.351062] seq=23 owd=133.846 ms
[1782374359.371008] seq=24 owd=133.793 ms
[1782374359.390887] seq=25 owd=133.672 ms
[1782374359.410958] seq=26 owd=133.725 ms
[1782374359.430968] seq=27 owd=133.755 ms
[1782374359.451006] seq=28 owd=133.791 ms
[1782374359.470912] seq=29 owd=133.694 ms
[1782374359.490956] seq=30 owd=133.746 ms
[1782374359.510959] seq=31 owd=133.756 ms
[1782374359.530916] seq=32 owd=133.708 ms
[1782374359.550799] seq=33 owd=133.605 ms
[1782374359.570819] seq=34 owd=133.620 ms
[1782374359.591369] seq=35 owd=134.175 ms
[1782374359.610815] seq=36 owd=133.609 ms
[1782374359.630929] seq=37 owd=133.737 ms
[1782374359.650921] seq=38 owd=133.721 ms
[1782374359.670995] seq=39 owd=133.772 ms
[1782374359.690965] seq=40 owd=133.754 ms
[1782374359.710992] seq=41 owd=133.776 ms
[1782374359.731138] seq=42 owd=133.936 ms
[1782374359.751101] seq=43 owd=133.898 ms
[1782374359.770880] seq=44 owd=133.675 ms
[1782374359.791241] seq=45 owd=134.025 ms
[1782374359.810979] seq=46 owd=133.756 ms
[1782374359.831115] seq=47 owd=133.904 ms
[1782374359.850991] seq=48 owd=133.786 ms
[1782374359.870972] seq=49 owd=133.756 ms
[1782374359.890914] seq=50 owd=133.699 ms
[1782374359.910961] seq=51 owd=133.731 ms
[1782374359.931041] seq=52 owd=133.828 ms
[1782374359.953229] seq=53 owd=136.020 ms
[1782374359.970780] seq=54 owd=133.582 ms
[1782374359.991167] seq=55 owd=133.957 ms
[1782374360.012115] seq=56 owd=134.899 ms
[1782374360.030917] seq=57 owd=133.723 ms
[1782374360.051001] seq=58 owd=133.810 ms
[1782374360.070918] seq=59 owd=133.729 ms
[1782374360.090833] seq=60 owd=133.644 ms
[1782374360.111041] seq=61 owd=133.826 ms
[1782374360.131415] seq=62 owd=134.200 ms
[1782374360.150945] seq=63 owd=133.739 ms
[1782374360.170924] seq=64 owd=133.709 ms
[1782374360.190897] seq=65 owd=133.692 ms
[1782374360.210857] seq=66 owd=133.638 ms
[1782374360.231378] seq=67 owd=134.165 ms
[1782374360.250950] seq=68 owd=133.734 ms
[1782374360.271445] seq=69 owd=134.235 ms
[1782374360.292046] seq=70 owd=134.798 ms
[1782374360.312088] seq=71 owd=134.866 ms
[1782374360.333168] seq=72 owd=135.932 ms
[1782374360.351537] seq=73 owd=134.314 ms
[1782374360.371222] seq=74 owd=134.005 ms
[1782374360.391190] seq=75 owd=133.983 ms
[1782374360.411688] seq=76 owd=134.445 ms
[1782374360.431016] seq=77 owd=133.802 ms
[1782374360.451294] seq=78 owd=134.083 ms
[1782374360.471150] seq=79 owd=133.938 ms
[1782374360.491212] seq=80 owd=134.005 ms
[1782374360.511555] seq=81 owd=134.319 ms
[1782374360.531268] seq=82 owd=134.007 ms
[1782374360.551106] seq=83 owd=133.883 ms
[1782374360.571131] seq=84 owd=133.915 ms
[1782374360.591161] seq=85 owd=133.930 ms
[1782374360.611320] seq=86 owd=134.102 ms
[1782374360.631299] seq=87 owd=134.079 ms
[1782374360.651145] seq=88 owd=133.929 ms
[1782374360.671394] seq=89 owd=134.175 ms
[1782374360.691233] seq=90 owd=134.018 ms
[1782374360.711206] seq=91 owd=133.989 ms
[1782374360.731166] seq=92 owd=133.949 ms
[1782374360.751215] seq=93 owd=134.005 ms
[1782374360.771435] seq=94 owd=134.218 ms
[1782374360.791552] seq=95 owd=134.331 ms
[1782374360.811036] seq=96 owd=133.819 ms
[1782374360.831152] seq=97 owd=133.935 ms
[1782374360.851425] seq=98 owd=134.208 ms
[1782374360.871121] seq=99 owd=133.906 ms
[1782374360.891369] seq=100 owd=134.144 ms
[1782374360.913411] seq=101 owd=136.184 ms
[1782374360.931278] seq=102 owd=134.023 ms
[1782374360.951065] seq=103 owd=133.860 ms
[1782374360.971031] seq=104 owd=133.824 ms
[1782374360.990981] seq=105 owd=133.780 ms
[1782374361.010944] seq=106 owd=133.731 ms
[1782374361.030883] seq=107 owd=133.673 ms
[1782374361.051147] seq=108 owd=133.934 ms
[1782374361.149905] seq=109 owd=212.697 ms
[1782374361.199878] seq=110 owd=242.676 ms
[1782374361.594981] seq=128 owd=277.762 ms
[1782374361.606538] seq=129 owd=269.315 ms
[1782374361.995820] seq=148 owd=278.605 ms
[1782374362.075458] seq=153 owd=258.249 ms
[1782374362.103101] seq=154 owd=265.903 ms
[1782374362.111990] seq=155 owd=254.776 ms
[1782374362.164177] seq=158 owd=246.969 ms
[1782374362.196972] seq=159 owd=259.777 ms
[1782374362.216032] seq=160 owd=258.835 ms
[1782374362.259372] seq=161 owd=282.152 ms
[1782374362.520121] seq=174 owd=282.885 ms
[1782374362.698790] seq=183 owd=281.573 ms
[1782374362.833338] seq=190 owd=276.114 ms
[1782374363.125288] seq=205 owd=268.078 ms
[1782374363.291458] seq=214 owd=254.252 ms
[1782374363.324130] seq=215 owd=266.925 ms
[1782374363.497335] seq=223 owd=280.127 ms
[1782374363.512754] seq=224 owd=275.548 ms
[1782374363.594139] seq=228 owd=276.934 ms
[1782374363.727119] seq=235 owd=269.916 ms
[1782374389.883132] seq=1549 owd=145.921 ms
[1782374389.906229] seq=1550 owd=149.025 ms
[1782374389.918663] seq=1551 owd=140.861 ms
[1782374390.052180] seq=1552 owd=254.959 ms
[1782374390.218739] seq=1560 owd=261.527 ms
[1782374390.236090] seq=1561 owd=258.883 ms
[1782374390.458265] seq=1572 owd=261.057 ms
[1782374390.472595] seq=1573 owd=255.389 ms
[1782374390.487270] seq=1574 owd=250.060 ms
[1782374390.549015] seq=1577 owd=251.812 ms
[1782374390.582318] seq=1578 owd=265.108 ms
[1782374390.610750] seq=1579 owd=273.533 ms
[1782374390.692943] seq=1583 owd=275.723 ms
[1782374390.702861] seq=1584 owd=265.648 ms
[1782374390.936258] seq=1595 owd=279.045 ms
[1782374391.079410] seq=1603 owd=262.195 ms
[1782374392.181791] seq=1658 owd=264.585 ms
[1782374392.207106] seq=1659 owd=269.898 ms
[1782374392.232538] seq=1660 owd=275.342 ms
[1782374392.247020] seq=1661 owd=269.805 ms
[1782374392.791172] seq=1689 owd=253.972 ms
[1782374392.829123] seq=1690 owd=271.923 ms
[1782374392.962597] seq=1697 owd=265.378 ms
[1782374393.020621] seq=1700 owd=263.418 ms
[1782374393.263365] seq=1713 owd=246.168 ms
