time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,6408146,6429578,0,0
2,7755908,7754778,0,0
3,9397044,5680562,1891,1003
4,8619134,4542238,2572,1230
5,9290756,5195590,2489,1216
6,10914648,8582872,1115,723
7,10816869,8463996,1191,738
8,10659801,8130717,1291,826
9,10791123,8292640,1208,808
10,6414424,4971853,821,575
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,1121,1097,0,0
31,3912679,2518828,567,356
32,9134653,4985748,2371,1217
33,9068681,4945174,2413,1203
34,9602429,5853529,2045,1159
35,10433086,7567151,1448,917
36,10601220,7982084,1358,840
37,10486057,7698578,1427,895
38,10389235,7497918,1485,912
39,10834983,8478856,1163,760
40,10225984,7281948,1629,888
41,8533093,4601412,2788,1122
42,10726465,8262928,1247,801
43,9882007,6485497,1853,1047
44,10959934,8762431,1081,722
45,10854665,8470280,1154,753
46,10442764,7594037,1477,897
47,10869595,8514589,1123,775
48,10599318,7847601,1351,864
49,10771594,8204112,1241,819
50,10812732,8429677,1189,776
51,10844467,8424140,1161,778
52,10566681,7831433,1374,855
53,11077105,8972061,992,705
54,10671518,8122479,1298,808
55,11053980,8932075,1007,696
56,10594584,7798584,1348,868
57,10257478,7261507,1591,949
58,10369529,7682694,1511,864
59,10750229,8215534,1234,839
60,11451375,10405787,674,443
61,12582156,12596431,10,4
62,8112781,8078523,0,0
63,482,482,0,0
64,2428,2428,0,0
65,2554,2554,0,0
66,325,325,0,0
67,1207,1288,0,0
68,1627723,1025667,101,71
69,11052889,8833978,999,747
70,11584789,7308997,2271,1299
71,9962891,8081820,1036,724
