time,af41_bps,af42_bps,af43_bps
1,6776613,2655,2655
2,7722733,2902,2902
3,4156127,8495743,1735
4,3899309,8605334,1579
5,3993100,8540548,1271
6,3931156,8548635,1694
7,3952517,8550739,1535
8,6117388,6390183,2341
9,6069753,6386055,2077
10,5628401,6912308,2338
11,5830443,6660582,1895
12,5608598,6749221,2025
13,5688658,6951903,2402
14,5882755,6619590,2317
15,5565184,6924275,2259
16,5532476,6952683,2034
17,5069255,7346481,2118
18,4241875,8343509,1167
19,5261288,7241431,2163
20,5976903,6528424,2370
21,5703008,6798011,2288
22,5894985,6565555,2327
23,5175325,7333755,2148
24,5770231,6749507,2349
25,5582069,6927185,2315
26,6312262,6183808,2280
27,5689936,6798180,2011
28,5485517,7003883,1819
29,5876514,6585997,2495
30,6090422,6440809,2392
31,5988498,6504596,2352
32,5839363,6664762,1968
33,6067778,6438569,2575
34,5461625,7041527,2320
35,6098154,6396233,2596
36,5527441,6962172,1863
37,5660021,6842760,1952
38,5484724,7019310,1920
39,5555827,6937557,2168
40,5431532,7057406,1796
41,5786075,6707483,2187
42,5812073,6707855,1707
43,5856916,6634595,2224
44,5550016,6939427,2097
45,4379947,8116175,1789
46,4375104,8103834,1743
47,4197438,8314215,1964
48,4012683,8483816,1675
49,4387889,8124249,1994
50,4203584,8297902,1624
51,5550154,6947987,2373
52,5801205,6700665,2185
53,5416938,7072892,1668
54,6082255,6421957,2312
55,5344432,7138771,2043
56,5467214,7024034,1972
57,4929814,7528409,1385
58,5846241,6716591,2056
59,5385668,7114030,1757
60,6078925,6402791,1970
61,521412,11986411,0
62,68,12506582,0
63,0,3581545,0
64,880,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
