# OWD receiver: AF42  port=5002
[1782374223.016480] seq=1 owd=133.078 ms
[1782374223.036338] seq=2 owd=132.913 ms
[1782374223.056325] seq=3 owd=132.899 ms
[1782374223.076568] seq=4 owd=132.884 ms
[1782374223.096420] seq=5 owd=132.985 ms
[1782374223.116362] seq=6 owd=132.931 ms
[1782374223.136192] seq=7 owd=132.769 ms
[1782374223.156465] seq=8 owd=133.046 ms
[1782374223.176384] seq=9 owd=132.957 ms
[1782374223.196368] seq=10 owd=132.931 ms
[1782374223.216431] seq=11 owd=133.006 ms
[1782374223.236512] seq=12 owd=133.091 ms
[1782374223.256423] seq=13 owd=133.012 ms
[1782374223.276383] seq=14 owd=132.959 ms
[1782374223.296691] seq=15 owd=133.255 ms
[1782374223.316302] seq=16 owd=132.875 ms
[1782374223.336462] seq=17 owd=133.034 ms
[1782374223.356668] seq=18 owd=133.231 ms
[1782374223.376452] seq=19 owd=133.026 ms
[1782374223.396387] seq=20 owd=132.961 ms
[1782374223.416491] seq=21 owd=133.049 ms
[1782374223.436397] seq=22 owd=132.960 ms
[1782374223.456347] seq=23 owd=132.912 ms
[1782374223.476671] seq=24 owd=133.245 ms
[1782374223.496488] seq=25 owd=133.063 ms
[1782374223.517547] seq=26 owd=134.121 ms
[1782374223.537716] seq=27 owd=134.273 ms
[1782374223.558683] seq=28 owd=135.256 ms
[1782374223.577095] seq=29 owd=133.675 ms
[1782374223.596329] seq=30 owd=132.905 ms
[1782374223.616443] seq=31 owd=133.003 ms
[1782374223.636468] seq=32 owd=133.032 ms
[1782374223.656788] seq=33 owd=133.363 ms
[1782374223.676461] seq=34 owd=133.039 ms
[1782374223.696415] seq=35 owd=132.992 ms
[1782374223.716372] seq=36 owd=132.948 ms
[1782374223.738146] seq=37 owd=134.715 ms
[1782374223.763756] seq=38 owd=140.314 ms
[1782374223.784123] seq=39 owd=140.696 ms
[1782374223.799662] seq=40 owd=136.221 ms
[1782374223.817166] seq=41 owd=133.725 ms
[1782374223.836935] seq=42 owd=133.498 ms
[1782374223.856758] seq=43 owd=133.312 ms
[1782374223.877197] seq=44 owd=133.765 ms
[1782374223.896886] seq=45 owd=133.454 ms
[1782374223.916877] seq=46 owd=133.453 ms
[1782374223.936850] seq=47 owd=133.413 ms
[1782374223.956974] seq=48 owd=133.527 ms
[1782374223.976780] seq=49 owd=133.345 ms
[1782374223.996462] seq=50 owd=133.039 ms
[1782374224.016500] seq=51 owd=133.074 ms
[1782374224.036483] seq=52 owd=133.049 ms
[1782374224.056841] seq=53 owd=133.413 ms
[1782374224.076310] seq=54 owd=132.881 ms
[1782374224.096442] seq=55 owd=133.007 ms
[1782374224.116467] seq=56 owd=133.028 ms
[1782374224.136309] seq=57 owd=132.878 ms
[1782374224.160366] seq=58 owd=136.937 ms
[1782374224.176235] seq=59 owd=132.803 ms
[1782374224.196322] seq=60 owd=132.899 ms
[1782374224.216414] seq=61 owd=132.982 ms
[1782374224.236575] seq=62 owd=133.148 ms
[1782374224.256357] seq=63 owd=132.948 ms
[1782374224.276559] seq=64 owd=133.142 ms
[1782374224.296319] seq=65 owd=132.888 ms
[1782374224.316444] seq=66 owd=133.003 ms
[1782374224.336426] seq=67 owd=132.979 ms
[1782374224.356802] seq=68 owd=133.359 ms
[1782374224.376660] seq=69 owd=133.220 ms
[1782374224.396698] seq=70 owd=133.268 ms
[1782374224.417721] seq=71 owd=134.295 ms
[1782374224.439658] seq=72 owd=136.231 ms
[1782374224.456491] seq=73 owd=133.056 ms
[1782374224.476367] seq=74 owd=132.930 ms
[1782374224.496604] seq=75 owd=133.173 ms
[1782374224.516591] seq=76 owd=133.155 ms
[1782374224.536408] seq=77 owd=132.970 ms
[1782374224.556582] seq=78 owd=133.137 ms
[1782374224.576418] seq=79 owd=132.971 ms
[1782374224.596668] seq=80 owd=133.235 ms
[1782374224.616376] seq=81 owd=132.942 ms
[1782374224.636361] seq=82 owd=132.931 ms
[1782374224.656336] seq=83 owd=132.912 ms
[1782374224.676635] seq=84 owd=133.216 ms
[1782374224.696635] seq=85 owd=133.209 ms
[1782374224.716526] seq=86 owd=133.076 ms
[1782374224.736686] seq=87 owd=133.245 ms
[1782374224.761841] seq=88 owd=138.409 ms
[1782374224.784553] seq=89 owd=141.111 ms
[1782374224.800685] seq=90 owd=137.254 ms
[1782374224.816425] seq=91 owd=132.984 ms
[1782374224.836460] seq=92 owd=133.019 ms
[1782374224.856446] seq=93 owd=133.005 ms
[1782374224.876419] seq=94 owd=132.979 ms
[1782374224.896432] seq=95 owd=133.004 ms
[1782374224.916373] seq=96 owd=132.941 ms
[1782374224.936430] seq=97 owd=132.996 ms
[1782374224.956394] seq=98 owd=132.955 ms
[1782374224.976609] seq=99 owd=133.175 ms
[1782374224.996405] seq=100 owd=132.972 ms
[1782374225.016432] seq=101 owd=132.990 ms
[1782374225.036544] seq=102 owd=133.117 ms
[1782374225.056501] seq=103 owd=133.047 ms
[1782374225.076469] seq=104 owd=133.039 ms
[1782374225.096441] seq=105 owd=133.003 ms
[1782374225.116301] seq=106 owd=132.869 ms
[1782374225.146420] seq=107 owd=135.205 ms
[1782374225.156384] seq=108 owd=132.963 ms
[1782374225.176363] seq=109 owd=132.926 ms
[1782374225.196678] seq=110 owd=133.244 ms
[1782374225.216624] seq=111 owd=133.198 ms
[1782374225.324122] seq=112 owd=220.682 ms
[1782374225.443504] seq=114 owd=300.081 ms
[1782374225.644074] seq=120 owd=380.646 ms
[1782374225.678143] seq=121 owd=394.707 ms
[1782374226.454178] seq=149 owd=610.750 ms
[1782374226.484320] seq=150 owd=620.876 ms
[1782374226.525781] seq=152 owd=622.324 ms
[1782374226.720547] seq=160 owd=657.116 ms
[1782374226.751795] seq=162 owd=648.370 ms
[1782374226.876424] seq=170 owd=612.989 ms
[1782374227.147794] seq=183 owd=624.350 ms
[1782374227.265959] seq=190 owd=602.522 ms
[1782374227.304955] seq=192 owd=601.521 ms
[1782374227.618093] seq=205 owd=654.648 ms
[1782374227.817757] seq=216 owd=634.326 ms
[1782374227.906078] seq=221 owd=622.642 ms
[1782374228.311978] seq=241 owd=628.530 ms
[1782374228.320561] seq=242 owd=617.119 ms
[1782374229.063546] seq=279 owd=620.126 ms
[1782374229.100761] seq=281 owd=617.328 ms
[1782374229.145610] seq=284 owd=602.175 ms
[1782374229.323470] seq=293 owd=600.014 ms
[1782374229.357672] seq=294 owd=614.238 ms
[1782374229.704488] seq=310 owd=641.052 ms
[1782374229.766864] seq=314 owd=623.434 ms
[1782374240.423365] seq=849 owd=579.962 ms
[1782374240.667446] seq=859 owd=624.014 ms
[1782374240.735123] seq=862 owd=631.711 ms
[1782374241.142726] seq=882 owd=639.282 ms
[1782374241.346026] seq=894 owd=602.589 ms
[1782374241.453974] seq=898 owd=630.512 ms
[1782374267.703162] seq=2211 owd=619.753 ms
[1782374268.144283] seq=2233 owd=620.856 ms
[1782374269.215736] seq=2286 owd=632.306 ms
[1782374269.661442] seq=2307 owd=658.015 ms
[1782374269.696062] seq=2310 owd=632.626 ms
[1782374269.800545] seq=2316 owd=617.116 ms
[1782374269.900095] seq=2321 owd=616.661 ms
[1782374270.053569] seq=2328 owd=630.121 ms
[1782374270.065602] seq=2329 owd=622.148 ms
[1782374270.201761] seq=2336 owd=618.333 ms
[1782374271.113344] seq=2380 owd=649.941 ms
[1782374271.445662] seq=2398 owd=622.236 ms
[1782374271.490412] seq=2401 owd=606.987 ms
[1782374271.517910] seq=2402 owd=614.479 ms
[1782374271.540374] seq=2403 owd=616.935 ms
[1782374271.585539] seq=2406 owd=602.105 ms
[1782374271.621185] seq=2407 owd=617.758 ms
[1782374271.957104] seq=2423 owd=633.702 ms
[1782374271.987217] seq=2425 owd=623.783 ms
[1782374272.190966] seq=2435 owd=627.533 ms
