time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,6614648,6652208,0,0
2,7863400,7845033,0,0
3,9279286,5371354,2175,1079
4,8779246,4563139,2638,1243
5,8809078,4664652,2614,1184
6,8832037,4610479,2581,1223
7,8898103,4744745,2523,1219
8,11068619,8905809,1014,709
9,10854646,8574075,1160,710
10,10687922,8054031,1269,843
11,10689559,8153474,1274,823
12,10446043,7943012,1445,764
13,10597427,7898336,1337,849
14,10592346,7930574,1299,824
15,10480372,7753461,1474,854
16,10778715,8395593,1209,784
17,9476706,6123184,2114,957
18,9376456,5526801,2213,1123
19,10495339,7631012,1413,895
20,10896860,8460687,1128,787
21,10688671,8125545,1273,819
22,10534248,7967530,1384,797
23,10178820,7007042,1650,991
24,10734519,8268901,1251,806
25,10609605,7925297,1312,878
26,11199223,9284504,935,642
27,10548872,7753048,1362,905
28,10439405,7614934,1462,895
29,11023709,8704389,1050,764
30,10833794,8431644,1164,770
31,10872346,8616543,1161,722
32,10661754,8124035,1295,800
33,10803333,8369653,1187,818
34,10714378,8169831,1262,794
35,10876253,8421875,1133,805
36,10280435,7220203,1568,995
37,10570608,7747492,1366,890
38,10466007,7615860,1439,908
39,10370295,7570378,1506,884
40,10709040,8209100,1257,813
41,10872253,8526267,1152,759
42,10699747,8227446,1259,790
43,10396069,7502727,1492,917
44,9904239,6629618,1817,1000
45,9379601,5434205,2200,1195
46,9282642,5338381,2263,1211
47,8764257,4571720,2633,1218
48,9036984,5074948,2433,1177
49,9122134,5029824,2365,1214
50,9808424,6249041,1919,1099
51,10830893,8500174,1162,778
52,10063950,6720142,1729,1008
53,10974694,8720792,1067,741
54,10705227,8043563,1284,849
55,10170553,7009778,1642,987
56,10403000,7492618,1479,930
57,10165850,7217477,1645,914
58,10564264,7742467,1361,897
59,10698946,8161770,1291,813
60,11822562,11112937,479,328
61,12472876,12359997,12,8
62,8247612,8432997,0,0
63,1321,1321,0,0
64,341,341,0,0
65,275,275,0,0
66,406,406,0,0
67,2958,2958,0,0
68,437,437,0,0
69,908,908,0,0
70,341,341,0,0
71,342,342,0,0
72,1757,1757,0,0
73,337,337,0,0
74,745,745,0,0
75,419,419,0,0
76,1493,1493,0,0
77,341,341,0,0
78,276,276,0,0
79,546,546,0,0
80,341,341,0,0
82,1286,1286,0,0
83,341,341,0,0
84,342,342,0,0
85,482,547,0,0
86,397,333,0,0
87,1269,1269,0,0
88,342,342,0,0
89,277,277,0,0
90,471,471,0,0
91,420,420,0,0
92,1065,1065,0,0
93,277,277,0,0
94,343,343,0,0
95,471,471,0,0
