time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,77,77,77
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,160,0,0
14,2713,2713,6203156
15,2667,2667,7724260
16,1039,825,4480565
17,372,319,3418812
18,148,362,3308247
19,427,160,3353061
20,480,320,3277539
21,0,0,115531
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,77,77,77
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,286733
31,267,213,3828259
32,53,106,1366405
33,0,0,0
34,0,0,0
35,0,0,0
36,77,77,77
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,77,77,77
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,77,77,77
57,159,0,1496199
58,534,106,4117186
59,533,53,3945249
60,213,373,3338970
61,853,213,3581310
62,587,320,3974395
63,106,0,1480632
64,0,0,0
65,0,0,0
66,77,77,77
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,4286934
76,77,77,907
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
