time,af41_bps,af42_bps,af43_bps
1,6623009,2708,2708
2,7736164,2900,2900
3,4267594,8359825,1075
4,3810163,8678448,1083
5,5057427,7462417,2294
6,5040289,7453040,1680
7,5614912,6894345,1960
8,5658704,6824205,2259
9,5048721,7443904,2357
10,3681845,4823185,986
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,609597,1524361,177
32,4084868,8408924,1790
33,3738384,8775164,1414
34,3610995,8887351,1040
35,3919807,8586896,1625
36,5203109,7297254,1725
37,5149010,7352319,2079
38,5601303,6901326,2077
39,5781663,6711183,2168
40,5611428,6884293,2113
41,5734623,6761840,2372
42,5537385,6971893,2005
43,5304016,7143597,2016
44,5909889,6634518,1929
45,5825026,6671339,2352
46,6012444,6481353,2050
47,5348420,7151306,2252
48,5199167,7291554,2559
49,5322492,7181696,2303
50,5996797,6495150,2313
51,5742218,6749430,1685
52,6123764,6362459,1738
53,5730399,6774490,2180
54,5477916,7023802,1914
55,5520022,6982359,2004
56,5539594,6944426,2349
57,4619700,7878652,1678
58,5389166,7135906,1989
59,5607783,6885606,2017
60,5721326,6777017,2426
61,618134,11887251,0
62,71,12492918,0
63,0,3412430,0
64,72,72,0
65,0,0,0
66,0,864,0
67,140,0,0
68,0,0,0
