# OWD receiver: AF41  port=5001
[1782370973.850897] seq=1 owd=133.523 ms
[1782370973.870801] seq=2 owd=133.395 ms
[1782370973.890817] seq=3 owd=133.422 ms
[1782370973.910791] seq=4 owd=133.391 ms
[1782370973.930840] seq=5 owd=133.437 ms
[1782370973.950984] seq=6 owd=133.590 ms
[1782370973.971342] seq=7 owd=133.950 ms
[1782370973.990963] seq=8 owd=133.561 ms
[1782370974.010999] seq=9 owd=133.601 ms
[1782370974.030910] seq=10 owd=133.503 ms
[1782370974.050856] seq=11 owd=133.458 ms
[1782370974.070775] seq=12 owd=133.386 ms
[1782370974.091001] seq=13 owd=133.609 ms
[1782370974.110861] seq=14 owd=133.476 ms
[1782370974.130764] seq=15 owd=133.383 ms
[1782370974.150794] seq=16 owd=133.412 ms
[1782370974.171018] seq=17 owd=133.612 ms
[1782370974.191666] seq=18 owd=134.253 ms
[1782370974.210795] seq=19 owd=133.395 ms
[1782370974.230892] seq=20 owd=133.502 ms
[1782370974.250911] seq=21 owd=133.516 ms
[1782370974.271637] seq=22 owd=134.231 ms
[1782370974.291040] seq=23 owd=133.629 ms
[1782370974.311591] seq=24 owd=134.186 ms
[1782370974.331255] seq=25 owd=133.841 ms
[1782370974.351221] seq=26 owd=133.815 ms
[1782370974.371089] seq=27 owd=133.666 ms
[1782370974.391013] seq=28 owd=133.605 ms
[1782370974.411397] seq=29 owd=133.983 ms
[1782370974.431155] seq=30 owd=133.747 ms
[1782370974.451155] seq=31 owd=133.746 ms
[1782370974.471298] seq=32 owd=133.897 ms
[1782370974.492015] seq=33 owd=134.616 ms
[1782370974.510831] seq=34 owd=133.424 ms
[1782370974.530804] seq=35 owd=133.396 ms
[1782370974.550868] seq=36 owd=133.474 ms
[1782370974.570925] seq=37 owd=133.531 ms
[1782370974.590937] seq=38 owd=133.531 ms
[1782370974.611180] seq=39 owd=133.779 ms
[1782370974.631141] seq=40 owd=133.734 ms
[1782370974.651109] seq=41 owd=133.701 ms
[1782370974.671304] seq=42 owd=133.897 ms
[1782370974.691216] seq=43 owd=133.810 ms
[1782370974.711670] seq=44 owd=134.249 ms
[1782370974.731183] seq=45 owd=133.781 ms
[1782370974.751314] seq=46 owd=133.923 ms
[1782370974.770916] seq=47 owd=133.528 ms
[1782370974.791081] seq=48 owd=133.690 ms
[1782370974.811181] seq=49 owd=133.778 ms
[1782370974.831245] seq=50 owd=133.849 ms
[1782370974.851452] seq=51 owd=134.064 ms
[1782370974.871235] seq=52 owd=133.815 ms
[1782370974.891910] seq=53 owd=134.503 ms
[1782370974.911208] seq=54 owd=133.794 ms
[1782370974.931480] seq=55 owd=134.049 ms
[1782370974.951172] seq=56 owd=133.765 ms
[1782370974.971015] seq=57 owd=133.614 ms
[1782370974.991223] seq=58 owd=133.832 ms
[1782370975.010982] seq=59 owd=133.593 ms
[1782370975.031583] seq=60 owd=134.180 ms
[1782370975.052077] seq=61 owd=134.678 ms
[1782370975.070924] seq=62 owd=133.526 ms
[1782370975.090891] seq=63 owd=133.501 ms
[1782370975.110914] seq=64 owd=133.524 ms
[1782370975.130799] seq=65 owd=133.410 ms
[1782370975.151242] seq=66 owd=133.854 ms
[1782370975.171545] seq=67 owd=134.129 ms
[1782370975.191728] seq=68 owd=134.313 ms
[1782370975.211751] seq=69 owd=134.340 ms
[1782370975.231397] seq=70 owd=133.981 ms
[1782370975.251768] seq=71 owd=134.343 ms
[1782370975.272053] seq=72 owd=134.641 ms
[1782370975.291260] seq=73 owd=133.851 ms
[1782370975.311169] seq=74 owd=133.759 ms
[1782370975.331406] seq=75 owd=134.008 ms
[1782370975.351141] seq=76 owd=133.757 ms
[1782370975.371783] seq=77 owd=134.394 ms
[1782370975.392070] seq=78 owd=134.681 ms
[1782370975.411892] seq=79 owd=134.477 ms
[1782370975.431662] seq=80 owd=134.254 ms
[1782370975.451206] seq=81 owd=133.798 ms
[1782370975.471859] seq=82 owd=134.454 ms
[1782370975.491451] seq=83 owd=134.050 ms
[1782370975.511982] seq=84 owd=134.580 ms
[1782370975.531965] seq=85 owd=134.568 ms
[1782370975.551291] seq=86 owd=133.877 ms
[1782370975.571779] seq=87 owd=134.366 ms
[1782370975.592096] seq=88 owd=134.692 ms
[1782370975.611787] seq=89 owd=134.390 ms
[1782370975.631728] seq=90 owd=134.322 ms
[1782370975.652040] seq=91 owd=134.628 ms
[1782370975.671863] seq=92 owd=134.437 ms
[1782370975.691280] seq=93 owd=133.868 ms
[1782370975.711949] seq=94 owd=134.537 ms
[1782370975.731519] seq=95 owd=134.124 ms
