time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,6516133,6541931,0,0
2,7768261,7768561,0,0
3,9419690,5571501,1979,1043
4,8388656,4464197,2716,1284
5,10512142,6816461,1934,1047
6,9975662,6660889,1775,1011
7,10496185,7794000,1430,875
8,10575153,7948374,1360,846
9,9987698,6642652,1775,1000
10,6458970,4999994,937,557
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,171,130,0,0
31,4485384,2638092,876,457
32,8637936,4451331,2719,1196
33,9761664,4914337,3072,1388
34,9660313,4732628,3171,1447
35,10196445,6172757,2296,1219
36,10184339,7060721,1631,957
37,10105105,7021458,1693,952
38,10586363,7981655,1335,806
39,10621992,8040983,1347,835
40,10659724,8068233,1302,835
41,10539877,7781320,1383,878
42,10104138,6909702,1671,1016
43,10608092,7785307,1343,874
44,10687678,8300734,1285,808
45,10876491,8424610,1166,770
46,10552489,7773893,1348,887
47,10339836,7587767,1525,903
48,9950788,6675145,1818,999
49,10694812,8140189,1260,822
50,10676252,7981032,1285,883
51,11204284,9171471,928,648
52,10640124,8003821,1304,860
53,10593293,8046956,1338,808
54,10496709,7763339,1400,871
55,10322043,7327120,1548,952
56,9863762,6648892,1857,997
57,9683800,6510377,1775,1088
58,10945808,7987093,1357,839
59,10654509,8065747,1322,835
60,11720058,10992322,561,345
61,12505582,12482653,0,0
62,7259580,7249538,0,0
63,1271,1271,0,0
64,779,779,0,0
65,3239,3239,0,0
66,576,576,0,0
67,478,478,0,0
