time,af41_bps,af42_bps,af43_bps
1,6661733,2685,2631
2,7714424,2886,2886
3,4404478,8239760,1917
4,4034088,8452597,1319
5,4197867,8316154,1569
6,4221117,8259359,1380
7,5478288,7039112,2219
8,5684121,6788649,2266
9,5931152,6588417,2228
10,4752812,7740747,1933
11,4643612,7853395,1475
12,5387656,7114903,1883
13,5519756,6974156,1648
14,5698460,6776038,2125
15,6038490,6480184,1987
16,5433118,7067050,1612
17,5706130,6796666,2271
18,4752997,7727970,1332
19,5822866,6684677,2252
20,5531941,6968909,2676
21,5953196,6552561,2742
22,5442491,7058962,2430
23,5127600,7351098,2776
24,4984325,7430902,1965
25,5145534,7435789,1874
26,5605928,6882062,1918
27,5979049,6511091,2152
28,5828538,6702437,2282
29,5553908,6925079,2128
30,5214826,7290346,2112
31,5557290,6944529,2126
32,6226883,6276340,2275
33,5644182,6851639,2496
34,5240205,7159289,1810
35,5503168,7084182,2271
36,6168821,6351133,2210
37,5676495,6808900,2493
38,5596327,6905380,2433
39,5652175,6835180,1737
40,6034545,6463666,2389
41,5651443,6808466,2215
42,5518104,7006447,1985
43,5662987,6820312,2117
44,5486991,7033741,2221
45,5266887,7232202,2037
46,4914140,7577722,1872
47,5736358,6769695,1814
48,6113044,6382959,1979
49,5892111,6605353,2186
50,5520188,6965949,1817
51,6043281,6465561,2131
52,4681152,7817668,1539
53,5493949,7004572,2207
54,5784505,6708553,2061
55,5106511,7399749,2041
56,5644298,6861423,2090
57,5533171,6973612,1807
58,5619088,6865643,1759
59,6137592,6363842,2288
60,5753769,6747740,2133
61,451211,11998857,0
62,0,12536788,0
63,0,4045918,0
64,846,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
