# OWD receiver: AF41  port=5001
[1782370865.243629] seq=1 owd=132.930 ms
[1782370865.263697] seq=2 owd=132.971 ms
[1782370865.283610] seq=3 owd=132.891 ms
[1782370865.303447] seq=4 owd=132.724 ms
[1782370865.323494] seq=5 owd=132.772 ms
[1782370865.343598] seq=6 owd=132.864 ms
[1782370865.363498] seq=7 owd=132.772 ms
[1782370865.383390] seq=8 owd=132.667 ms
[1782370865.403296] seq=9 owd=132.583 ms
[1782370865.423562] seq=10 owd=132.831 ms
[1782370865.443464] seq=11 owd=132.739 ms
[1782370865.463409] seq=12 owd=132.683 ms
[1782370865.483340] seq=13 owd=132.619 ms
[1782370865.503361] seq=14 owd=132.648 ms
[1782370865.523630] seq=15 owd=132.922 ms
[1782370865.543446] seq=16 owd=132.725 ms
[1782370865.563550] seq=17 owd=132.815 ms
[1782370865.583484] seq=18 owd=132.750 ms
[1782370865.603492] seq=19 owd=132.746 ms
[1782370865.623625] seq=20 owd=132.893 ms
[1782370865.643581] seq=21 owd=132.849 ms
[1782370865.664019] seq=22 owd=133.282 ms
[1782370865.683663] seq=23 owd=132.936 ms
[1782370865.703715] seq=24 owd=132.989 ms
[1782370865.723614] seq=25 owd=132.889 ms
[1782370865.743429] seq=26 owd=132.704 ms
[1782370865.763537] seq=27 owd=132.826 ms
[1782370865.783418] seq=28 owd=132.696 ms
[1782370865.803516] seq=29 owd=132.790 ms
[1782370865.823687] seq=30 owd=132.952 ms
[1782370865.844015] seq=31 owd=133.289 ms
[1782370865.863876] seq=32 owd=133.123 ms
[1782370865.883566] seq=33 owd=132.859 ms
[1782370865.903857] seq=34 owd=133.127 ms
[1782370865.923437] seq=35 owd=132.713 ms
[1782370865.943394] seq=36 owd=132.686 ms
[1782370865.963322] seq=37 owd=132.619 ms
[1782370865.983517] seq=38 owd=132.810 ms
[1782370866.003531] seq=39 owd=132.819 ms
[1782370866.023688] seq=40 owd=132.967 ms
[1782370866.043479] seq=41 owd=132.749 ms
[1782370866.063403] seq=42 owd=132.678 ms
[1782370866.083587] seq=43 owd=132.843 ms
[1782370866.103594] seq=44 owd=132.858 ms
[1782370866.123706] seq=45 owd=132.977 ms
[1782370866.143555] seq=46 owd=132.833 ms
[1782370866.163517] seq=47 owd=132.773 ms
[1782370866.183644] seq=48 owd=132.907 ms
[1782370866.203590] seq=49 owd=132.864 ms
[1782370866.223686] seq=50 owd=132.923 ms
[1782370866.243999] seq=51 owd=133.274 ms
[1782370866.263733] seq=52 owd=133.008 ms
[1782370866.283521] seq=53 owd=132.787 ms
[1782370866.304145] seq=54 owd=133.405 ms
[1782370866.323664] seq=55 owd=132.939 ms
[1782370866.346353] seq=56 owd=135.614 ms
[1782370866.363567] seq=57 owd=132.828 ms
