time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,6541220,6643967,0,0
2,7810867,7729826,0,0
3,9076239,5675361,1982,1052
4,9254366,4701015,2615,1259
5,9108895,5074647,2394,1189
6,9156067,5135263,2360,1184
7,10438150,7569534,1457,935
8,10614249,8061248,1326,791
9,10793330,8274683,1192,816
10,9716552,6344540,1957,1015
11,9414394,5633064,2169,1149
12,10472935,7598818,1430,910
13,10500325,7691777,1397,902
14,10546249,7713531,1375,921
15,10882849,8604360,1131,739
16,10470170,7661897,1435,896
17,10596769,7954576,1349,833
18,9715869,6282198,1960,1005
19,10630997,8012607,1314,830
20,10797673,8206364,1209,835
21,10813349,8384395,1193,809
22,10089008,7089100,1699,916
23,10078961,6804408,1698,1065
24,9600902,6114647,2046,1060
25,10420316,7644800,1467,876
26,10541351,7946403,1392,798
27,10958001,8676731,1079,744
28,10588658,7785877,1354,933
29,10584764,7965531,1344,847
30,10117176,6892815,1661,1013
31,10423546,7488421,1482,918
32,11074167,8941452,997,712
33,10615764,7974676,1331,836
34,10259190,7420639,1584,888
35,10469819,7591083,1443,908
36,11097052,8883541,989,731
37,10397296,7429877,1478,883
38,10716039,8154157,1261,828
39,10813926,8324916,1191,836
40,10652400,8087625,1275,829
41,10346033,7394128,1556,926
42,10447081,7650023,1446,856
43,10726666,8216608,1245,800
44,9996975,6867916,1772,964
45,10663982,8138902,1290,798
46,9715355,6457483,1958,975
47,10701154,8166816,1272,837
48,10652983,8080356,1303,846
49,10997748,8719200,1061,737
50,10865636,8521521,1157,754
51,10732927,8196267,1240,826
52,8676268,5119597,2688,989
53,10983756,8721118,1077,715
54,10466203,7737125,1435,858
55,10318560,7377582,1548,952
56,10382826,7505637,1491,922
57,10491998,7610447,1413,927
58,10845135,8388128,1161,803
59,10730603,8288936,1249,766
60,11731846,11078627,528,334
61,11826187,10407389,480,315
62,7664252,6908258,527,370
63,2128,2193,0,0
64,471,405,0,0
65,341,341,0,0
66,999,999,0,0
67,798,798,0,0
