time,af41_bps,af42_bps,af43_bps
1,6652126,2636,2636
2,7864995,2929,2929
3,4482283,8046919,1752
4,4248880,8227188,1200
5,4239263,8293551,1538
6,4282460,8220914,1553
7,4369600,8128970,1541
8,4980509,7506032,2288
9,5638350,6859791,1588
10,3708422,4065013,1277
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,905782,2155699,227
32,3765553,8741971,1358
33,3892629,8609777,1727
34,4384592,8096187,2126
35,4105322,8405316,1614
36,4219585,8283100,1773
37,4556185,7937027,1534
38,5351865,7123351,2336
39,5397137,7117220,1595
40,5878009,6569729,2190
41,5624327,6937975,1712
42,5728187,6756707,2375
43,5563559,6945283,2073
44,5773157,6670746,2268
45,5573838,6960238,2289
46,5699749,6789036,1962
47,5456397,7036881,1931
48,5529623,6968829,2366
49,5525657,6963107,2113
50,5762273,6432863,1872
51,4285532,8569972,1693
52,4390385,8106425,1769
53,5567136,6938427,1709
54,5696026,6799628,2154
55,5826238,6673922,2359
56,5605783,6866892,1965
57,5406491,7102192,2157
58,5217973,7261668,1723
59,4950301,7581959,1819
60,5833321,6667507,2065
61,317964,12177987,0
62,67,12508310,0
63,0,3109051,0
64,68,68,0
65,0,0,0
66,0,878,0
67,910,0,0
68,0,0,0
69,0,0,10860659
70,0,0,12509209
71,0,0,12492468
