# OWD receiver: AF42  port=5002
[1782458461.884187] seq=1 owd=148.482 ms
[1782458461.904254] seq=2 owd=148.520 ms
[1782458461.924752] seq=3 owd=149.025 ms
[1782458461.944255] seq=4 owd=148.523 ms
[1782458461.964189] seq=5 owd=148.452 ms
[1782458461.984176] seq=6 owd=148.438 ms
[1782458462.004210] seq=7 owd=148.479 ms
[1782458462.024205] seq=8 owd=148.471 ms
[1782458462.044247] seq=9 owd=148.507 ms
[1782458462.064190] seq=10 owd=148.459 ms
[1782458462.084328] seq=11 owd=148.601 ms
[1782458462.104673] seq=12 owd=148.956 ms
[1782458462.124133] seq=13 owd=148.421 ms
[1782458462.144476] seq=14 owd=148.751 ms
[1782458462.164354] seq=15 owd=148.625 ms
[1782458462.184965] seq=16 owd=149.236 ms
[1782458462.204931] seq=17 owd=149.200 ms
[1782458462.225047] seq=18 owd=149.318 ms
[1782458462.244486] seq=19 owd=148.764 ms
[1782458462.264315] seq=20 owd=148.584 ms
[1782458462.284613] seq=21 owd=148.890 ms
[1782458462.304214] seq=22 owd=148.466 ms
[1782458462.324388] seq=23 owd=148.645 ms
[1782458462.360295] seq=24 owd=164.557 ms
[1782458462.367017] seq=25 owd=151.282 ms
[1782458462.384317] seq=26 owd=148.585 ms
[1782458462.404563] seq=27 owd=148.820 ms
[1782458462.424195] seq=28 owd=148.462 ms
[1782458462.444303] seq=29 owd=148.574 ms
[1782458462.464611] seq=30 owd=148.865 ms
[1782458462.484104] seq=31 owd=148.377 ms
[1782458462.504519] seq=32 owd=148.789 ms
[1782458462.524613] seq=33 owd=148.892 ms
[1782458462.544161] seq=34 owd=148.446 ms
[1782458462.564291] seq=35 owd=148.547 ms
[1782458462.584357] seq=36 owd=148.615 ms
[1782458462.604170] seq=37 owd=148.432 ms
[1782458462.624784] seq=38 owd=149.051 ms
[1782458462.644524] seq=39 owd=148.799 ms
[1782458462.664500] seq=40 owd=148.760 ms
[1782458462.684300] seq=41 owd=148.567 ms
[1782458462.704473] seq=42 owd=148.746 ms
[1782458462.724425] seq=43 owd=148.686 ms
[1782458462.744351] seq=44 owd=148.604 ms
[1782458462.764204] seq=45 owd=148.458 ms
[1782458462.784332] seq=46 owd=148.602 ms
[1782458462.807714] seq=47 owd=151.989 ms
[1782458462.835041] seq=48 owd=159.296 ms
[1782458462.854813] seq=49 owd=159.080 ms
[1782458462.868050] seq=50 owd=152.313 ms
[1782458462.884548] seq=51 owd=148.804 ms
[1782458462.904398] seq=52 owd=148.653 ms
[1782458462.924706] seq=53 owd=148.962 ms
[1782458462.944327] seq=54 owd=148.583 ms
[1782458462.966954] seq=55 owd=151.231 ms
[1782458462.984202] seq=56 owd=148.468 ms
[1782458463.004127] seq=57 owd=148.394 ms
