time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,6654742,6683371,0,0
2,7773444,7770946,0,0
3,9433878,5693379,1957,1027
4,9211603,5122346,2312,1221
5,9039303,5044162,2518,1217
6,9225839,5219958,2302,1188
7,9312445,5363732,2244,1192
8,9944341,6590934,1785,1018
9,10554366,7781938,1397,859
10,6216689,5229080,591,415
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,225,183,0,0
31,4986278,2787326,1054,546
32,8577879,4525061,2784,1123
33,8755353,4657446,2629,1203
34,9214015,5216136,2311,1183
35,9052183,4992669,2429,1229
36,9202189,5088142,2333,1224
37,9941257,6753062,1804,989
38,10260564,7232851,1593,954
39,10641210,7958662,1309,846
40,10553530,8014673,1368,837
41,10475330,7682084,1422,897
42,10726918,8130760,1263,816
43,10583420,7855867,1341,859
44,10393976,7393228,1501,969
45,10434607,7472667,1452,931
46,10806174,8372971,1197,795
47,10325250,7482083,1514,890
48,10180881,7128728,1648,957
49,10841899,8438445,1167,779
50,10147565,7013224,1654,949
51,8958327,4672791,2607,1242
52,10191431,6815566,1833,1108
53,10902676,8584563,1142,734
54,10405671,7562403,1478,874
55,10508759,7866288,1400,845
56,10369422,7593897,1508,837
57,10470696,7605832,1419,918
58,9514992,6243520,2116,924
59,10748992,8280504,1237,797
60,11707514,10996418,554,335
61,12502226,12469394,0,0
62,7724562,7730283,0,0
63,950,950,0,0
64,767,767,0,0
65,3423,3423,0,0
66,341,341,0,0
67,1333,1333,0,0
68,6058250,3609577,1204,614
69,9648245,5946477,2004,1128
70,9609894,5848697,2014,1122
