time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,77,77,77
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,2296,2189,4722407
15,2724,2724,7728995
16,1280,1067,5484220
17,747,533,3891565
18,557,343,3696750
19,641,267,3766813
20,533,480,3901646
21,213,106,1457903
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,77,77,77
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,77,77,77
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,53,0,791516
45,854,267,3249402
46,480,213,3430704
47,160,106,4018504
48,716,236,3515218
49,427,267,3848613
50,480,266,2797347
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,77,77,77
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,106,160,835871
64,267,213,2530595
65,0,0,133940
66,0,0,0
67,0,0,0
68,77,77,77
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,77,77,77
78,0,0,0
79,0,0,829
80,0,0,829
81,0,0,253152
82,0,0,1054426
