time,af41_bps,af42_bps,af43_bps
1,6660287,2689,2741
2,7733015,2905,2905
3,4395966,8289650,1331
4,3901234,8567415,1676
5,4017878,8435782,1304
6,3875693,8691665,1608
7,4245519,8249119,1674
8,4896937,7616921,1976
9,5563395,6924344,2228
10,5045071,7418497,1910
11,5387242,7087401,2394
12,5128673,7424879,1704
13,5171787,7335434,1796
14,5323015,7135572,2094
15,5587115,6936945,2343
16,5342911,7157916,2180
17,5500822,6979478,2226
18,5198110,7313643,1721
19,5464086,7030407,1979
20,5805737,6699990,2099
21,5466751,6981391,1915
22,5740768,6787337,2278
23,5119421,7396047,2075
24,5833755,6669676,2359
25,5410375,7071339,1832
26,5808086,6685594,2221
27,5726388,6790507,2618
28,5707421,6776742,2088
29,5918250,6573839,1816
30,5934438,6563675,2219
31,5407149,7090468,2322
32,6113970,6402475,2363
33,5423418,7057774,2141
34,5619865,6896394,1915
35,5860429,6632437,2445
36,5713107,6771395,2113
37,5509564,6987245,1942
38,4536154,7978857,1732
39,4853070,7626308,1755
40,4324984,8050189,1848
41,4975270,7253594,1942
42,5452606,7426775,1893
43,5709116,6801496,2100
44,5824013,6697422,2037
45,5870855,6576474,1959
46,5504570,6993644,2303
47,5267313,7284599,1539
48,5753923,6752467,1992
49,6111947,6360400,2310
50,5639038,6868543,2211
51,4439884,8017055,1653
52,4246784,8296539,1724
53,4153248,8344267,1839
54,4029298,8470912,1639
55,4253039,8216282,1475
56,4706171,7799802,1504
57,5365922,7143699,1547
58,5804671,6696917,1940
59,5513785,6991110,1450
60,4162535,8341487,1674
61,407123,12050299,0
62,642,12541836,0
63,71,3929116,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,10210005
70,0,0,12524158
71,0,0,12488445
72,0,0,12503912
