# OWD receiver: AF42  port=5002
[1782458349.206688] seq=1 owd=147.973 ms
[1782458349.226784] seq=2 owd=148.034 ms
[1782458349.246453] seq=3 owd=147.706 ms
[1782458349.266484] seq=4 owd=147.737 ms
[1782458349.286404] seq=5 owd=147.662 ms
[1782458349.306458] seq=6 owd=147.711 ms
[1782458349.326470] seq=7 owd=147.717 ms
[1782458349.346379] seq=8 owd=147.642 ms
[1782458349.366309] seq=9 owd=147.569 ms
[1782458349.386335] seq=10 owd=147.597 ms
[1782458349.406393] seq=11 owd=147.661 ms
[1782458349.426371] seq=12 owd=147.642 ms
[1782458349.446361] seq=13 owd=147.635 ms
[1782458349.466294] seq=14 owd=147.564 ms
[1782458349.486278] seq=15 owd=147.556 ms
[1782458349.506181] seq=16 owd=147.460 ms
[1782458349.526358] seq=17 owd=147.638 ms
[1782458349.546205] seq=18 owd=147.486 ms
[1782458349.566276] seq=19 owd=147.547 ms
[1782458349.586380] seq=20 owd=147.658 ms
[1782458349.606342] seq=21 owd=147.621 ms
[1782458349.626292] seq=22 owd=147.562 ms
[1782458349.646278] seq=23 owd=147.543 ms
[1782458349.666333] seq=24 owd=147.577 ms
[1782458349.686357] seq=25 owd=147.611 ms
[1782458349.706371] seq=26 owd=147.617 ms
[1782458349.726308] seq=27 owd=147.569 ms
[1782458349.746305] seq=28 owd=147.563 ms
[1782458349.766249] seq=29 owd=147.489 ms
[1782458349.786315] seq=30 owd=147.577 ms
[1782458349.806354] seq=31 owd=147.612 ms
[1782458349.826310] seq=32 owd=147.573 ms
[1782458349.846471] seq=33 owd=147.738 ms
[1782458349.866309] seq=34 owd=147.574 ms
[1782458349.886289] seq=35 owd=147.557 ms
[1782458349.906323] seq=36 owd=147.599 ms
[1782458349.926773] seq=37 owd=148.050 ms
[1782458349.946289] seq=38 owd=147.557 ms
[1782458349.966451] seq=39 owd=147.694 ms
[1782458349.987217] seq=40 owd=148.457 ms
[1782458350.006444] seq=41 owd=147.688 ms
[1782458350.026343] seq=42 owd=147.594 ms
[1782458350.046332] seq=43 owd=147.577 ms
[1782458350.066388] seq=44 owd=147.624 ms
[1782458350.086318] seq=45 owd=147.570 ms
[1782458350.106287] seq=46 owd=147.555 ms
[1782458350.126376] seq=47 owd=147.635 ms
[1782458350.146333] seq=48 owd=147.583 ms
[1782458350.166302] seq=49 owd=147.546 ms
[1782458350.186274] seq=50 owd=147.538 ms
[1782458350.206243] seq=51 owd=147.513 ms
[1782458350.226347] seq=52 owd=147.600 ms
[1782458350.246341] seq=53 owd=147.585 ms
[1782458350.266432] seq=54 owd=147.688 ms
[1782458350.286947] seq=55 owd=148.207 ms
[1782458350.306278] seq=56 owd=147.538 ms
[1782458350.326213] seq=57 owd=147.484 ms
[1782458350.346374] seq=58 owd=147.604 ms
[1782458350.366386] seq=59 owd=147.654 ms
[1782458350.386450] seq=60 owd=147.711 ms
[1782458350.406420] seq=61 owd=147.694 ms
[1782458350.426394] seq=62 owd=147.669 ms
[1782458350.446489] seq=63 owd=147.761 ms
[1782458350.466676] seq=64 owd=147.945 ms
[1782458350.486313] seq=65 owd=147.583 ms
[1782458350.506758] seq=66 owd=148.004 ms
[1782458350.526586] seq=67 owd=147.840 ms
[1782458350.546450] seq=68 owd=147.718 ms
[1782458350.566566] seq=69 owd=147.824 ms
[1782458350.586360] seq=70 owd=147.618 ms
[1782458350.606483] seq=71 owd=147.747 ms
[1782458350.626325] seq=72 owd=147.581 ms
[1782458350.646776] seq=73 owd=148.027 ms
[1782458350.666466] seq=74 owd=147.721 ms
[1782458350.686452] seq=75 owd=147.707 ms
[1782458350.706414] seq=76 owd=147.669 ms
[1782458350.726379] seq=77 owd=147.622 ms
[1782458350.746558] seq=78 owd=147.819 ms
[1782458350.766510] seq=79 owd=147.768 ms
[1782458350.786303] seq=80 owd=147.563 ms
[1782458350.806437] seq=81 owd=147.699 ms
[1782458350.826601] seq=82 owd=147.849 ms
[1782458350.846475] seq=83 owd=147.737 ms
[1782458350.866385] seq=84 owd=147.635 ms
[1782458350.886381] seq=85 owd=147.659 ms
[1782458350.906322] seq=86 owd=147.583 ms
[1782458350.926455] seq=87 owd=147.708 ms
[1782458350.946469] seq=88 owd=147.723 ms
[1782458350.966415] seq=89 owd=147.669 ms
[1782458350.986667] seq=90 owd=147.917 ms
[1782458351.006543] seq=91 owd=147.791 ms
[1782458351.026359] seq=92 owd=147.613 ms
[1782458351.046337] seq=93 owd=147.604 ms
[1782458351.066599] seq=94 owd=147.847 ms
[1782458351.086360] seq=95 owd=147.619 ms
[1782458351.106574] seq=96 owd=147.818 ms
[1782458351.126501] seq=97 owd=147.752 ms
[1782458351.146490] seq=98 owd=147.751 ms
[1782458351.166369] seq=99 owd=147.625 ms
[1782458351.186552] seq=100 owd=147.810 ms
[1782458351.206295] seq=101 owd=147.553 ms
[1782458351.226634] seq=102 owd=147.883 ms
[1782458351.246388] seq=103 owd=147.636 ms
[1782458351.266518] seq=104 owd=147.769 ms
[1782458351.286539] seq=105 owd=147.791 ms
[1782458351.308817] seq=106 owd=150.078 ms
[1782458351.326341] seq=107 owd=147.614 ms
[1782458351.346500] seq=108 owd=147.698 ms
[1782458351.366397] seq=109 owd=147.648 ms
[1782458351.386584] seq=110 owd=147.848 ms
[1782458351.590536] seq=113 owd=291.798 ms
[1782458352.093121] seq=127 owd=514.378 ms
[1782458352.220000] seq=130 owd=581.265 ms
[1782458352.279024] seq=132 owd=600.283 ms
[1782458352.774928] seq=153 owd=676.186 ms
[1782458352.964228] seq=164 owd=645.500 ms
[1782458353.410330] seq=187 owd=631.565 ms
[1782458353.583128] seq=196 owd=624.274 ms
[1782458353.780899] seq=205 owd=642.151 ms
[1782458353.848825] seq=208 owd=650.074 ms
[1782458353.849579] seq=209 owd=630.756 ms
[1782458354.682116] seq=252 owd=603.349 ms
[1782458354.751024] seq=255 owd=612.273 ms
[1782458354.866059] seq=259 owd=647.307 ms
[1782458355.454647] seq=290 owd=615.882 ms
[1782458355.925756] seq=313 owd=627.032 ms
[1782458356.139386] seq=324 owd=620.618 ms
[1782458356.198971] seq=327 owd=620.214 ms
[1782458356.316267] seq=332 owd=637.530 ms
[1782458356.433985] seq=338 owd=635.246 ms
[1782458400.101457] seq=2521 owd=642.699 ms
[1782458400.255195] seq=2530 owd=616.452 ms
[1782458400.718124] seq=2553 owd=619.365 ms
[1782458401.050915] seq=2570 owd=612.167 ms
[1782458401.071280] seq=2571 owd=612.519 ms
[1782458401.302485] seq=2580 owd=663.743 ms
[1782458401.344945] seq=2582 owd=666.168 ms
[1782458401.683959] seq=2601 owd=625.215 ms
[1782458401.754844] seq=2605 owd=616.094 ms
[1782458401.935019] seq=2613 owd=636.259 ms
[1782458402.276756] seq=2629 owd=657.996 ms
[1782458402.756106] seq=2653 owd=657.347 ms
[1782458402.973663] seq=2666 owd=614.928 ms
[1782458403.136134] seq=2672 owd=657.401 ms
[1782458403.574968] seq=2696 owd=616.176 ms
[1782458403.666417] seq=2700 owd=627.676 ms
[1782458404.131975] seq=2723 owd=633.224 ms
[1782458404.298368] seq=2731 owd=639.613 ms
[1782458404.398056] seq=2736 owd=639.308 ms
[1782458404.415404] seq=2737 owd=636.667 ms
[1782458404.438613] seq=2739 owd=619.872 ms
[1782458404.696526] seq=2751 owd=637.770 ms
[1782458407.939635] seq=2908 owd=740.887 ms
[1782458408.108471] seq=2920 owd=669.733 ms
[1782458408.361168] seq=2933 owd=662.428 ms
[1782458408.712960] seq=2952 owd=634.201 ms
