time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,6555748,6581540,0,0
2,7763970,7759980,0,0
3,9504905,5838147,1854,979
4,8893318,4715040,2531,1246
5,8898826,4825824,2544,1195
6,8674276,4466540,2727,1234
7,9140876,5089299,2373,1188
8,9876988,6389393,1844,1061
9,10467936,7579227,1439,936
10,10002667,6666229,1760,1051
11,10244955,7237044,1579,960
12,10166436,6834551,1648,1040
13,10145561,7003492,1658,1008
14,10101010,6949649,1685,961
15,10630703,7920895,1328,847
16,10397924,7478652,1480,937
17,10283653,7284247,1548,956
18,10224009,7097641,1617,989
19,10466225,7665970,1430,894
20,10747726,8207461,1234,818
21,10357709,7407314,1501,941
22,10507548,7702138,1415,900
23,10132209,7133418,1652,940
24,10794549,8194438,1210,831
25,10267172,7209767,1579,976
26,10977331,8798231,1090,722
27,10365127,7354919,1519,939
28,10852431,8513510,1159,780
29,10904116,8526003,1115,769
30,10838253,8416346,1192,784
31,10339382,7389303,1513,933
32,10951309,8694502,1111,736
33,10343037,7525335,1501,894
34,10627284,7941053,1332,852
35,10702583,8019703,1277,875
36,10561064,7812526,1371,863
37,9493272,6004094,2119,990
38,9838890,6573821,1876,979
39,9146013,5785005,2352,983
40,10079369,7024741,1707,947
41,10139234,6985671,1698,962
42,9981541,6735127,1761,1043
43,10898809,8529765,1131,747
44,10936628,8643869,1121,727
45,10471652,7621739,1420,898
46,10260061,7415895,1593,883
47,10458256,7549545,1424,909
48,10900939,8505887,1134,775
49,10544583,7733262,1374,899
50,10742051,8252055,1238,804
51,8361568,4163631,2924,1209
52,9191833,5198365,2359,1191
53,9096560,5067936,2396,1190
54,8954181,4946674,2488,1167
55,9013305,4882442,2460,1231
56,10167632,7281537,1641,916
57,10688465,7973150,1289,877
58,10976304,8771228,1060,709
59,9458969,5542834,2145,1216
60,9820818,6490895,1885,991
61,10955258,8512737,1086,791
62,7708993,6826277,629,401
63,2147,2147,0,0
64,1609,1609,0,0
65,469,469,0,0
66,341,341,0,0
67,341,341,0,0
68,5831610,3910153,707,484
69,10836296,8316657,1163,814
70,10704395,8011202,1264,857
71,10715316,8089083,1245,849
