time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,77,77,77
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,77,77,77
12,0,0,0
13,0,0,0
14,2568,2461,5465236
15,2665,2665,7718059
16,1281,854,5172309
17,481,213,3679776
18,800,266,3343191
19,415,201,3306197
20,373,160,3710207
21,183,237,2239725
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,77,77,77
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,77,77,77
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,77,77,77
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,77,77,77
61,0,0,0
62,0,0,0
63,0,0,0
64,160,106,2237401
65,481,267,3919473
66,213,213,3816891
67,640,267,3728963
68,853,320,3583893
69,53,0,642683
70,77,77,77
71,0,0,0
72,800,213,3622525
73,266,319,4401769
74,0,0,7614135
75,0,0,8098062
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,76,76,76
81,0,0,1687357
82,0,0,7276904
