time,af41_bps,af42_bps,af43_bps
1,2436,1658,11240104
2,2471,2471,12467728
3,1570,2637,12525468
4,2300,2382,12466093
5,2270,2250,12487285
6,2439,2378,12497345
7,2135,1558,12514796
8,1187,1365,12491490
9,2536,2248,12508966
10,1920,1401,8770189
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,236,236,1760972
32,1771,1314,12505296
33,1762,1997,12499361
34,2326,2385,12494487
35,1843,1612,12482415
36,1844,2248,12507759
37,2097,2381,12495479
38,2107,1746,12456986
39,1979,1630,12522594
40,2067,2354,12498827
41,2352,2237,12506201
42,2355,2178,12485104
43,2827,2654,12501327
44,2306,2190,12489477
45,1755,2208,12501238
46,2615,2729,12459419
47,2583,2583,12518407
48,2871,2813,12459770
49,2604,2894,12530618
50,2894,2894,12484033
51,2900,2900,12520605
52,2879,2879,12488537
53,2680,2680,12491622
54,1837,2526,12501174
55,1825,1992,12494148
56,2248,2363,12453485
57,2253,2312,12536261
58,2071,1956,12493386
59,1861,2036,12491935
60,2046,1695,12497348
61,0,0,6518929
62,0,0,0
63,0,0,0
64,0,0,0
