# OWD receiver: AF41  port=5001
[1782647911.907625] seq=1 owd=174.681 ms
[1782647911.927590] seq=2 owd=174.623 ms
[1782647911.947652] seq=3 owd=174.683 ms
[1782647911.967556] seq=4 owd=174.596 ms
[1782647911.987506] seq=5 owd=174.530 ms
[1782647912.007495] seq=6 owd=174.523 ms
[1782647912.027497] seq=7 owd=174.525 ms
[1782647912.047447] seq=8 owd=174.471 ms
[1782647912.067360] seq=9 owd=174.391 ms
[1782647912.087440] seq=10 owd=174.472 ms
[1782647912.107466] seq=11 owd=174.483 ms
[1782647912.127488] seq=12 owd=174.519 ms
[1782647912.158252] seq=13 owd=185.285 ms
[1782647912.222690] seq=14 owd=229.724 ms
[1782647912.270344] seq=15 owd=257.382 ms
[1782647912.302633] seq=16 owd=269.665 ms
[1782647912.359564] seq=18 owd=286.598 ms
[1782647912.388052] seq=19 owd=295.067 ms
[1782647912.918034] seq=45 owd=305.043 ms
[1782647912.937713] seq=46 owd=304.720 ms
[1782647912.950572] seq=47 owd=297.583 ms
[1782647912.965388] seq=48 owd=292.414 ms
[1782647912.979084] seq=49 owd=286.094 ms
[1782647912.996692] seq=50 owd=283.707 ms
[1782647913.037656] seq=52 owd=284.677 ms
[1782647913.067922] seq=53 owd=294.932 ms
[1782647913.185138] seq=59 owd=292.160 ms
[1782647913.304944] seq=65 owd=291.971 ms
[1782647913.322119] seq=66 owd=289.148 ms
[1782647913.337903] seq=67 owd=284.935 ms
[1782647913.353065] seq=68 owd=280.104 ms
[1782647913.372392] seq=69 owd=279.445 ms
[1782647913.394663] seq=70 owd=281.697 ms
[1782647913.416027] seq=71 owd=283.063 ms
[1782647913.437455] seq=72 owd=284.481 ms
[1782647913.498032] seq=75 owd=285.055 ms
[1782647913.525325] seq=76 owd=292.351 ms
[1782647913.550143] seq=77 owd=297.163 ms
[1782647913.722219] seq=86 owd=289.261 ms
[1782647913.741073] seq=87 owd=288.107 ms
[1782647913.789470] seq=90 owd=276.504 ms
[1782647913.815405] seq=91 owd=282.443 ms
[1782647913.837968] seq=92 owd=285.001 ms
[1782647913.923318] seq=96 owd=290.322 ms
[1782647913.948478] seq=97 owd=295.483 ms
[1782647914.197622] seq=109 owd=304.650 ms
[1782647914.226322] seq=110 owd=313.357 ms
[1782647914.329957] seq=116 owd=296.986 ms
[1782647914.348677] seq=117 owd=295.705 ms
[1782647914.367091] seq=118 owd=294.105 ms
[1782647914.407312] seq=120 owd=294.334 ms
[1782647914.428425] seq=121 owd=295.444 ms
[1782647914.469937] seq=123 owd=296.958 ms
[1782647914.490485] seq=124 owd=297.495 ms
[1782647914.509072] seq=125 owd=296.089 ms
[1782647914.528541] seq=126 owd=295.553 ms
[1782647914.948257] seq=147 owd=295.284 ms
[1782647914.977904] seq=148 owd=304.935 ms
[1782647915.036750] seq=151 owd=303.770 ms
[1782647915.055398] seq=152 owd=302.410 ms
[1782647915.077493] seq=153 owd=304.504 ms
[1782647915.090892] seq=154 owd=297.902 ms
[1782647915.104499] seq=155 owd=291.512 ms
[1782647915.198613] seq=160 owd=285.646 ms
[1782647915.227601] seq=161 owd=294.629 ms
[1782647915.237528] seq=162 owd=284.552 ms
[1782647915.275333] seq=164 owd=282.363 ms
[1782647915.300893] seq=165 owd=287.923 ms
[1782647915.440971] seq=171 owd=308.001 ms
[1782647915.460349] seq=172 owd=307.371 ms
[1782647915.638216] seq=181 owd=305.242 ms
[1782647915.654509] seq=182 owd=301.531 ms
[1782647915.670168] seq=183 owd=297.199 ms
[1782647915.683646] seq=184 owd=290.673 ms
[1782647915.697494] seq=185 owd=284.516 ms
[1782647915.715472] seq=186 owd=282.498 ms
[1782647915.738676] seq=187 owd=285.706 ms
[1782647915.768902] seq=188 owd=295.923 ms
[1782647915.788508] seq=189 owd=295.539 ms
[1782647915.918623] seq=196 owd=285.661 ms
[1782647915.940951] seq=197 owd=287.978 ms
[1782647915.962342] seq=198 owd=289.372 ms
[1782647916.088019] seq=204 owd=295.039 ms
[1782647916.110393] seq=205 owd=297.421 ms
[1782647916.143168] seq=206 owd=310.195 ms
[1782647916.163425] seq=207 owd=310.437 ms
[1782647916.165917] seq=208 owd=292.938 ms
[1782647916.202546] seq=210 owd=289.567 ms
[1782647916.220843] seq=211 owd=287.878 ms
[1782647916.272915] seq=214 owd=279.943 ms
[1782647916.295975] seq=215 owd=283.003 ms
[1782647916.317827] seq=216 owd=284.859 ms
[1782647916.372796] seq=219 owd=279.833 ms
[1782647916.395245] seq=220 owd=282.276 ms
[1782647916.419842] seq=221 owd=286.869 ms
[1782647916.520221] seq=226 owd=287.222 ms
[1782647916.542598] seq=227 owd=289.605 ms
[1782647916.563716] seq=228 owd=290.736 ms
[1782647916.585425] seq=229 owd=292.444 ms
[1782647916.609619] seq=230 owd=296.646 ms
[1782647916.668159] seq=233 owd=295.166 ms
[1782647916.799257] seq=240 owd=286.279 ms
[1782647916.827565] seq=241 owd=294.597 ms
[1782647917.056164] seq=252 owd=303.181 ms
[1782647917.067939] seq=253 owd=294.953 ms
[1782647917.083018] seq=254 owd=290.028 ms
[1782647917.103061] seq=255 owd=290.077 ms
[1782647917.132172] seq=256 owd=299.193 ms
[1782647917.150700] seq=257 owd=297.731 ms
[1782647917.162786] seq=258 owd=289.817 ms
[1782647917.182261] seq=259 owd=289.254 ms
[1782647917.206907] seq=260 owd=293.947 ms
[1782647917.222043] seq=261 owd=289.066 ms
[1782647917.232296] seq=262 owd=279.328 ms
[1782647917.250658] seq=263 owd=277.690 ms
[1782647917.275129] seq=264 owd=282.162 ms
[1782647917.351192] seq=268 owd=278.210 ms
[1782647917.376288] seq=269 owd=283.328 ms
[1782647917.401644] seq=270 owd=288.666 ms
[1782647917.475791] seq=274 owd=282.806 ms
[1782647917.496946] seq=275 owd=283.957 ms
[1782647917.518834] seq=276 owd=285.847 ms
[1782647917.541916] seq=277 owd=288.927 ms
[1782647917.565637] seq=278 owd=292.653 ms
[1782647917.689979] seq=284 owd=296.983 ms
[1782647917.714093] seq=285 owd=301.095 ms
[1782647917.733065] seq=286 owd=300.077 ms
[1782647917.748770] seq=287 owd=295.778 ms
[1782647917.876916] seq=294 owd=283.945 ms
[1782647917.911423] seq=295 owd=298.451 ms
[1782647918.162386] seq=307 owd=309.397 ms
[1782647918.171270] seq=308 owd=298.284 ms
[1782647918.183360] seq=309 owd=290.386 ms
[1782647918.203111] seq=310 owd=290.135 ms
[1782647918.220812] seq=311 owd=287.802 ms
[1782647918.232847] seq=312 owd=279.875 ms
[1782647918.249064] seq=313 owd=276.094 ms
[1782647918.274956] seq=314 owd=281.987 ms
[1782647918.300084] seq=315 owd=287.115 ms
[1782647918.373909] seq=319 owd=280.923 ms
[1782647918.397759] seq=320 owd=284.770 ms
[1782647918.423394] seq=321 owd=290.403 ms
[1782647918.996645] seq=348 owd=323.663 ms
[1782647919.012796] seq=349 owd=319.810 ms
[1782647919.027311] seq=350 owd=314.325 ms
[1782647919.165882] seq=358 owd=292.895 ms
[1782647919.182819] seq=359 owd=289.847 ms
[1782647919.203166] seq=360 owd=290.190 ms
[1782647919.220879] seq=361 owd=287.908 ms
[1782647919.236883] seq=362 owd=283.910 ms
[1782647919.265264] seq=363 owd=292.294 ms
[1782647919.372914] seq=368 owd=299.911 ms
[1782647919.919519] seq=396 owd=286.547 ms
[1782647919.941319] seq=397 owd=288.349 ms
[1782647919.961828] seq=398 owd=288.849 ms
[1782647920.077005] seq=404 owd=284.030 ms
[1782647920.105090] seq=405 owd=292.096 ms
[1782647920.299028] seq=415 owd=286.057 ms
[1782647920.322934] seq=416 owd=289.961 ms
[1782647920.352034] seq=417 owd=299.067 ms
[1782647920.488978] seq=424 owd=295.999 ms
[1782647920.501920] seq=425 owd=288.970 ms
[1782647920.529925] seq=426 owd=296.930 ms
[1782647920.783123] seq=438 owd=310.137 ms
[1782647920.801457] seq=439 owd=308.466 ms
[1782647920.818493] seq=440 owd=305.490 ms
[1782647920.834828] seq=441 owd=301.836 ms
[1782647920.850652] seq=442 owd=297.655 ms
[1782647920.866541] seq=443 owd=293.553 ms
[1782647920.882690] seq=444 owd=289.714 ms
[1782647920.905558] seq=445 owd=292.577 ms
[1782647920.927524] seq=446 owd=294.550 ms
[1782647920.950322] seq=447 owd=297.343 ms
[1782647920.978506] seq=448 owd=305.530 ms
[1782647921.166769] seq=458 owd=293.795 ms
[1782647921.184604] seq=459 owd=291.633 ms
[1782647921.299769] seq=465 owd=286.811 ms
[1782647921.323589] seq=466 owd=290.627 ms
[1782647921.464782] seq=473 owd=291.783 ms
[1782647921.492301] seq=474 owd=299.323 ms
[1782647921.519230] seq=475 owd=306.243 ms
[1782647921.548220] seq=476 owd=315.227 ms
[1782647921.570500] seq=477 owd=317.511 ms
[1782647921.592492] seq=478 owd=319.500 ms
[1782647921.608975] seq=479 owd=315.999 ms
[1782647921.626400] seq=480 owd=313.416 ms
[1782647921.642043] seq=481 owd=309.046 ms
[1782647921.659876] seq=482 owd=306.890 ms
[1782647921.817356] seq=490 owd=304.347 ms
[1782647943.019684] seq=1555 owd=206.703 ms
[1782647943.144899] seq=1557 owd=291.919 ms
[1782647943.166470] seq=1558 owd=293.498 ms
[1782647943.190499] seq=1559 owd=297.526 ms
[1782647943.208564] seq=1560 owd=295.594 ms
[1782647943.218235] seq=1561 owd=285.245 ms
[1782647943.259334] seq=1563 owd=286.363 ms
[1782647943.286076] seq=1564 owd=293.104 ms
[1782647943.320368] seq=1566 owd=287.399 ms
[1782647943.335514] seq=1567 owd=282.526 ms
[1782647943.391907] seq=1570 owd=278.929 ms
[1782647943.416548] seq=1571 owd=283.543 ms
[1782647943.438854] seq=1572 owd=285.865 ms
[1782647943.538591] seq=1577 owd=285.623 ms
[1782647943.568221] seq=1578 owd=295.254 ms
[1782647943.590638] seq=1579 owd=297.647 ms
[1782647943.610881] seq=1580 owd=297.903 ms
[1782647944.253845] seq=1613 owd=280.874 ms
[1782647944.281420] seq=1614 owd=288.450 ms
[1782647944.389406] seq=1619 owd=296.420 ms
[1782647944.412133] seq=1620 owd=299.070 ms
[1782647944.429628] seq=1621 owd=296.649 ms
[1782647944.446014] seq=1622 owd=293.015 ms
[1782647944.461998] seq=1623 owd=289.019 ms
[1782647944.477112] seq=1624 owd=284.131 ms
[1782647944.495098] seq=1625 owd=282.111 ms
[1782647944.513264] seq=1626 owd=280.291 ms
[1782647944.540097] seq=1627 owd=287.126 ms
[1782647944.569703] seq=1628 owd=296.731 ms
[1782647944.911042] seq=1646 owd=278.081 ms
[1782647944.934585] seq=1647 owd=281.617 ms
[1782647944.958581] seq=1648 owd=285.606 ms
[1782647944.979188] seq=1649 owd=286.197 ms
[1782647945.045086] seq=1652 owd=292.094 ms
[1782647945.066769] seq=1653 owd=293.781 ms
[1782647945.090441] seq=1654 owd=297.448 ms
[1782647945.117736] seq=1655 owd=304.736 ms
[1782647945.138463] seq=1656 owd=305.479 ms
[1782647945.153218] seq=1657 owd=300.233 ms
[1782647945.163699] seq=1658 owd=290.723 ms
[1782647945.178562] seq=1659 owd=285.594 ms
[1782647945.202155] seq=1660 owd=289.190 ms
[1782647945.222278] seq=1661 owd=289.307 ms
[1782647945.234771] seq=1662 owd=281.784 ms
[1782647945.253497] seq=1663 owd=280.522 ms
[1782647945.317508] seq=1666 owd=284.543 ms
[1782647945.344018] seq=1667 owd=291.054 ms
[1782647945.368466] seq=1668 owd=295.504 ms
[1782647945.492319] seq=1675 owd=279.346 ms
[1782647945.513987] seq=1676 owd=281.001 ms
[1782647945.533807] seq=1677 owd=280.835 ms
[1782647945.555529] seq=1678 owd=282.564 ms
[1782647945.612167] seq=1681 owd=279.187 ms
[1782647945.636255] seq=1682 owd=283.262 ms
[1782647945.661155] seq=1683 owd=288.174 ms
[1782647945.739291] seq=1687 owd=286.299 ms
[1782647945.760846] seq=1688 owd=287.851 ms
[1782647945.783870] seq=1689 owd=290.873 ms
[1782647945.803589] seq=1690 owd=290.599 ms
[1782647945.824644] seq=1691 owd=291.661 ms
[1782647945.840709] seq=1692 owd=287.746 ms
[1782647945.864654] seq=1693 owd=291.695 ms
[1782647945.952475] seq=1697 owd=299.487 ms
[1782647945.977837] seq=1698 owd=304.862 ms
[1782647945.997128] seq=1699 owd=304.143 ms
[1782647946.018309] seq=1700 owd=305.332 ms
[1782647946.037456] seq=1701 owd=304.471 ms
[1782647946.055695] seq=1702 owd=302.700 ms
[1782647946.270893] seq=1714 owd=277.920 ms
[1782647946.294491] seq=1715 owd=281.513 ms
[1782647946.316873] seq=1716 owd=283.896 ms
[1782647946.376764] seq=1719 owd=283.792 ms
[1782647946.403311] seq=1720 owd=290.336 ms
[1782647946.610479] seq=1731 owd=277.516 ms
[1782647946.632173] seq=1732 owd=279.206 ms
[1782647946.655080] seq=1733 owd=282.114 ms
[1782647946.738125] seq=1737 owd=285.125 ms
[1782647946.769757] seq=1738 owd=296.761 ms
[1782647946.909333] seq=1745 owd=296.358 ms
[1782647946.922981] seq=1746 owd=290.003 ms
[1782647946.945235] seq=1747 owd=292.263 ms
[1782647946.968513] seq=1748 owd=295.541 ms
[1782647947.237617] seq=1762 owd=284.636 ms
[1782647947.254971] seq=1763 owd=281.995 ms
[1782647947.314216] seq=1766 owd=281.241 ms
[1782647947.338006] seq=1767 owd=285.029 ms
[1782647947.362890] seq=1768 owd=289.920 ms
[1782647947.446434] seq=1772 owd=293.457 ms
[1782647947.471642] seq=1773 owd=298.671 ms
[1782647947.500586] seq=1774 owd=307.613 ms
[1782647947.528806] seq=1775 owd=315.827 ms
[1782647947.547671] seq=1776 owd=314.698 ms
[1782647947.564378] seq=1777 owd=311.402 ms
[1782647947.579799] seq=1778 owd=306.820 ms
[1782647947.600694] seq=1779 owd=307.716 ms
[1782647947.619697] seq=1780 owd=306.671 ms
[1782647947.631659] seq=1781 owd=298.680 ms
[1782647947.965639] seq=1798 owd=292.644 ms
[1782647947.988596] seq=1799 owd=295.608 ms
[1782647948.012427] seq=1800 owd=299.457 ms
[1782647948.038696] seq=1801 owd=305.700 ms
[1782647948.063251] seq=1802 owd=310.256 ms
[1782647948.080982] seq=1803 owd=307.994 ms
[1782647948.151622] seq=1807 owd=298.639 ms
[1782647948.161248] seq=1808 owd=288.248 ms
[1782647948.175869] seq=1809 owd=282.902 ms
[1782647948.199986] seq=1810 owd=287.018 ms
[1782647948.273203] seq=1814 owd=280.229 ms
[1782647948.290689] seq=1815 owd=277.712 ms
[1782647948.314872] seq=1816 owd=281.898 ms
[1782647948.343474] seq=1817 owd=290.500 ms
[1782647948.425282] seq=1821 owd=292.301 ms
[1782647948.516438] seq=1826 owd=283.443 ms
[1782647948.535122] seq=1827 owd=282.134 ms
[1782647948.558914] seq=1828 owd=285.933 ms
[1782647948.589113] seq=1829 owd=296.141 ms
[1782647948.769473] seq=1838 owd=296.500 ms
[1782647948.796749] seq=1839 owd=303.776 ms
[1782647948.814598] seq=1840 owd=301.624 ms
[1782647948.833456] seq=1841 owd=300.478 ms
[1782647948.852335] seq=1842 owd=299.331 ms
[1782647948.872410] seq=1843 owd=299.421 ms
[1782647948.889193] seq=1844 owd=296.206 ms
[1782647948.907499] seq=1845 owd=294.500 ms
[1782647948.925812] seq=1846 owd=292.824 ms
[1782647948.943326] seq=1847 owd=290.324 ms
[1782647948.961008] seq=1848 owd=288.023 ms
[1782647948.977087] seq=1849 owd=284.112 ms
[1782647948.996472] seq=1850 owd=283.500 ms
[1782647949.013163] seq=1851 owd=280.201 ms
[1782647949.035674] seq=1852 owd=282.702 ms
[1782647949.067326] seq=1853 owd=294.369 ms
[1782647949.211981] seq=1860 owd=299.007 ms
[1782647949.262950] seq=1863 owd=289.974 ms
[1782647949.277787] seq=1864 owd=284.809 ms
[1782647949.342157] seq=1867 owd=289.185 ms
[1782647949.364654] seq=1868 owd=291.667 ms
[1782647949.385720] seq=1869 owd=292.744 ms
[1782647949.406583] seq=1870 owd=293.596 ms
[1782647949.426899] seq=1871 owd=293.913 ms
[1782647949.451562] seq=1872 owd=298.579 ms
[1782647949.476592] seq=1873 owd=303.612 ms
[1782647949.560501] seq=1878 owd=287.510 ms
[1782647949.572625] seq=1879 owd=279.645 ms
[1782647949.594200] seq=1880 owd=281.231 ms
[1782647949.657652] seq=1883 owd=284.683 ms
[1782647949.685170] seq=1884 owd=292.185 ms
[1782647950.229163] seq=1911 owd=296.189 ms
[1782647950.243685] seq=1912 owd=290.710 ms
[1782647950.297793] seq=1915 owd=284.819 ms
[1782647950.354440] seq=1918 owd=281.456 ms
[1782647950.384999] seq=1919 owd=292.021 ms
[1782647950.830065] seq=1940 owd=317.078 ms
[1782647950.845575] seq=1941 owd=312.592 ms
[1782647950.862761] seq=1942 owd=309.773 ms
[1782647950.878661] seq=1943 owd=305.670 ms
[1782647950.899139] seq=1944 owd=306.162 ms
[1782647951.080620] seq=1954 owd=287.647 ms
[1782647951.106525] seq=1955 owd=293.554 ms
[1782647951.240545] seq=1962 owd=287.553 ms
[1782647951.304960] seq=1965 owd=291.934 ms
[1782647951.329466] seq=1966 owd=296.479 ms
[1782647951.353665] seq=1967 owd=300.604 ms
[1782647951.380368] seq=1968 owd=307.384 ms
[1782647951.403037] seq=1969 owd=310.073 ms
[1782647951.424556] seq=1970 owd=311.582 ms
[1782647951.520295] seq=1975 owd=307.287 ms
[1782647951.533979] seq=1976 owd=300.984 ms
[1782647951.548406] seq=1977 owd=295.415 ms
[1782647951.565985] seq=1978 owd=292.998 ms
[1782647951.587280] seq=1979 owd=294.293 ms
[1782647951.603790] seq=1980 owd=290.804 ms
[1782647951.621296] seq=1981 owd=288.313 ms
[1782647951.642182] seq=1982 owd=289.199 ms
[1782647951.662774] seq=1983 owd=289.796 ms
[1782647951.683660] seq=1984 owd=290.682 ms
[1782647951.701727] seq=1985 owd=288.749 ms
[1782647951.720647] seq=1986 owd=287.668 ms
[1782647951.795459] seq=1990 owd=282.493 ms
[1782647951.820283] seq=1991 owd=287.317 ms
[1782647951.845376] seq=1992 owd=292.408 ms
[1782647952.203258] seq=2010 owd=290.286 ms
