time,leri_cr1_tx_bps,cr1_leri_rx_bps,leri_cr1_drops,cr1_leri_drops
1,9564446,6889830,1081,757
2,10722363,8097594,1265,852
3,10262199,7111802,1577,970
4,10586380,7826340,1354,871
5,10651025,8040769,1336,888
6,10658024,7879128,1302,906
7,10338274,7278937,1526,963
8,10650893,7858574,1306,901
9,10448140,7457898,1453,963
10,6760249,5195542,1000,631
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,172,130,0,0
31,4746264,3531247,392,261
32,10611195,7829541,1337,886
33,10806994,8244778,1202,857
34,10840709,8286628,1153,838
35,10729836,8096623,1266,856
36,10509287,7707835,1407,933
37,10579115,7771840,1340,892
38,10493861,7603170,1424,922
39,10255139,7135362,1586,1010
40,10687537,8034632,1272,854
41,10305516,7217642,1555,1007
42,10362737,7272314,1537,994
43,10540140,7663135,1378,952
44,10660104,7847946,1289,899
45,11775562,11232972,526,310
46,11005487,8801235,1049,565
47,12493456,12882598,0,0
48,12345962,12067289,111,84
49,12486092,12496268,0,0
50,12531441,12521655,0,0
51,12492292,12362312,0,0
52,12478841,12604754,0,0
53,11045405,8513465,1039,667
54,10528951,7702609,1391,912
55,10688879,8045059,1280,865
56,10751899,8116013,1227,865
57,10591173,7851245,1376,905
58,10663200,7967909,1296,872
59,10792805,8219566,1209,824
60,10244429,9493395,571,360
61,1545,1545,0,0
62,437,437,0,0
63,891,1226,0,0
64,612,276,0,0
