time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,77,77,77
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,53,0,0
14,960,853,4905844
15,1332,1385,7263362
16,641,1497,6002807
17,1333,1494,6576632
18,1253,1253,6841065
19,1442,1548,6906831
20,640,587,6170807
21,694,854,6493099
22,1014,640,6387499
23,800,480,5496595
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,77,77,77
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,77,77,77
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,373,427,1823091
45,587,640,7020727
46,1442,1281,6875244
47,1281,1602,7299125
48,877,877,7136835
49,1388,1068,6600019
50,1336,1764,6715382
51,801,587,6478676
52,640,587,6055115
53,1336,1336,6891099
54,855,855,5988403
55,747,320,6078106
56,855,160,6432425
57,1276,1170,6825631
58,451,451,3095540
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,1015,908,4645970
67,1228,1762,6514654
68,1138,820,6830925
69,853,1067,7220614
70,1390,1336,6476738
71,1339,1446,7046343
72,643,697,6953998
73,535,374,9645892
74,0,0,866164
75,0,0,0
76,0,0,0
77,77,77,77
78,0,0,497
79,0,0,0
80,0,0,69
81,0,0,0
82,0,0,0
