time,af41_bps,af42_bps,af43_bps
1,1713,2035,10500388
2,1339,2387,12495010
3,2143,2607,12488011
4,2160,1952,12522080
5,2280,1812,12478633
6,2135,2019,12485731
7,2633,2106,12491693
8,2386,2077,12514507
9,2476,2089,12152035
10,2172,2368,12802957
11,1647,2411,12546004
12,1915,2406,12496022
13,1978,2261,12486678
14,2524,1491,12479998
15,2019,1789,12533096
16,1805,1805,12454014
17,2056,1351,12517001
18,2088,1644,12491998
19,2559,1512,12489209
20,2025,2257,12517862
21,2955,2955,12486451
22,2534,2188,12506711
23,2686,2628,12476902
24,2902,2902,12512838
25,2039,2548,12492708
26,1242,1302,12495922
27,1570,1396,12506381
28,2599,2252,12475296
29,2830,2830,12498051
30,2854,2911,12148509
31,2947,2947,12856589
32,2849,2849,12495616
33,2991,2930,12474507
34,2411,2259,12522534
35,1698,1406,12484795
36,1198,2055,12488604
37,2266,2615,12461567
38,2966,2908,12542349
39,2885,2885,12479585
40,2891,2891,12509168
41,2854,2915,12435239
42,2928,2928,12531297
43,2908,2908,12498605
44,2905,2905,12495204
45,3002,2890,12474764
46,2900,2900,12466303
47,2516,2097,12562516
48,2090,2322,12483889
49,2096,1805,12487809
50,2303,1785,12499074
51,1869,1343,12496996
52,1808,1692,12509329
53,1754,1754,12494153
54,2918,3042,12498149
55,2454,1484,12491507
56,2133,1383,12492813
57,2514,2455,12495018
58,2210,2501,12501506
59,2383,1872,12491972
60,1923,1224,12481991
61,0,0,7402190
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,1565461,0
68,0,12369943,0
69,0,12643453,0
70,385,12489363,0
